Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Rubén Blanco,es ESP,22-122,90,2,0,2,100.0,0.6,5,20,25.0,30,1,53.3,43.9,7,57.1,47.7,18,0,0.0,0,,13,2017-2018
Iván Cuéllar,es ESP,33-181,90,7,1,6,100.0,2.0,13,34,38.2,32,6,84.4,49.4,7,100.0,64.7,7,0,0.0,6,23.1,13,2017-2018
Fernando Pacheco,es ESP,25-191,90,6,2,4,66.7,1.1,14,30,46.7,30,0,83.3,53.3,5,100.0,59.6,21,1,4.8,0,3.5,13,2017-2018
Marko Dmitrović,rs SRB,25-305,90,2,1,1,50.0,0.3,10,31,32.3,33,4,69.7,52.9,8,100.0,71.9,16,1,6.3,2,18.7,13,2017-2018
Kiko Casilla,es ESP,31-054,90,3,2,1,33.3,0.8,7,11,63.6,17,2,29.4,33.2,7,85.7,54.7,10,0,0.0,0,2.0,13,2017-2018
Roberto,es ESP,31-288,90,9,3,5,66.7,4.3,9,19,47.4,27,2,51.9,41.3,10,50.0,42.4,17,1,5.9,1,8.7,13,2017-2018
Antonio Adán,es ESP,30-196,90,7,2,5,71.4,2.1,5,23,21.7,45,4,37.8,36.2,6,100.0,61.0,28,3,10.7,2,14.7,13,2017-2018
Yassine Bounou,ma MAR,26-234,90,6,2,4,66.7,1.4,12,29,41.4,29,3,79.3,50.4,6,100.0,68.5,10,0,0.0,2,14.8,13,2017-2018
Oier Olazábal,es ESP,28-072,90,10,5,6,50.0,4.5,5,11,45.5,25,4,32.0,33.6,3,100.0,56.3,6,0,0.0,4,21.5,13,2017-2018
Jan Oblak,si SVN,24-322,90,2,0,2,100.0,0.1,6,16,37.5,18,4,33.3,39.2,11,90.9,57.8,14,0,0.0,1,26.0,13,2017-2018
Rubén,es ESP,33-157,90,3,2,1,33.3,1.7,9,17,52.9,19,2,57.9,39.8,8,75.0,55.5,8,1,12.5,0,12.0,13,2017-2018
Kepa Arrizabalaga,es ESP,23-054,90,4,2,2,50.0,1.9,7,23,30.4,25,3,48.0,39.3,11,100.0,58.9,13,0,0.0,1,21.0,13,2017-2018
Gerónimo Rulli,ar ARG,25-190,90,7,2,5,71.4,2.9,2,4,50.0,15,0,26.7,32.9,2,0.0,24.5,5,0,0.0,2,19.0,13,2017-2018
Raúl Lizoain,es ESP,26-303,90,3,2,1,33.3,0.8,4,19,21.1,32,5,40.6,37.1,13,46.2,44.4,28,1,3.6,0,8.5,13,2017-2018
Mariano Barbosa,ar ARG,33-122,90,4,3,1,50.0,1.8,2,8,25.0,23,6,17.4,29.2,9,44.4,41.3,10,0,0.0,1,15.3,13,2017-2018
Sergio Rico,es ESP,24-086,90,4,2,2,50.0,2.1,0,10,0.0,21,3,19.0,27.0,9,66.7,51.1,13,0,0.0,0,10.8,13,2017-2018
Neto,br BRA,28-130,90,8,1,7,87.5,1.8,6,17,35.3,23,5,60.9,44.8,5,60.0,49.8,11,0,0.0,0,6.8,13,2017-2018
Marc-André ter Stegen,de GER,25-210,90,1,1,0,0.0,1.0,3,5,60.0,20,5,15.0,28.4,6,33.3,35.2,4,0,0.0,1,16.0,13,2017-2018
Pau López,es ESP,22-349,90,3,0,3,100.0,0.1,4,15,26.7,21,3,52.4,42.9,4,100.0,73.3,14,1,7.1,2,20.8,13,2017-2018
Vicente Guaita,es ESP,30-321,90,5,1,4,80.0,2.2,12,29,41.4,33,2,75.8,48.8,5,80.0,62.8,18,0,0.0,4,24.7,13,2017-2018
