Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Matchweek,Season
Cristhian Stuani,7,uy URU,FW,31-093,45,1,0,1,1,0,0,0,0,14,0,0,0,0.8,0.0,0.0,0,0,4,10,40.0,0,5,0,0,0,19,2017-2018
   Michael Olunga,14,ke KEN,FW,23-293,45,3,1,0,0,4,3,0,0,20,2,0,0,1.5,1.5,0.3,4,2,6,14,42.9,2,14,3,1,1,19,2017-2018
Borja García,24,es ESP,AM,27-072,90,1,0,0,0,3,1,0,0,45,1,1,2,0.6,0.6,0.1,4,0,27,33,81.8,5,25,4,5,3,19,2017-2018
Portu,9,es ESP,AM,25-237,77,1,0,0,0,2,2,0,0,29,0,0,0,0.4,0.4,0.3,6,3,17,20,85.0,5,25,4,5,2,19,2017-2018
   Douglas Luiz,12,br BRA,AM,19-249,13,0,0,0,0,1,1,0,0,4,1,0,0,0.3,0.3,0.0,2,1,1,1,100.0,1,2,1,0,0,19,2017-2018
Álex Granell,6,es ESP,CM,29-164,90,0,0,0,0,2,0,1,0,59,3,1,2,0.1,0.1,0.3,1,0,35,49,71.4,6,29,1,0,0,19,2017-2018
Pere Pons,8,es ESP,CM,24-327,77,0,1,0,0,0,0,1,0,36,2,1,0,0.0,0.0,0.3,2,1,18,29,62.1,6,19,2,3,2,19,2017-2018
   Aleix García,23,es ESP,CM,20-199,13,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.1,1,0,5,8,62.5,0,3,1,0,0,19,2017-2018
Johan Mojica,3,co COL,WB,25-145,90,0,1,0,0,0,0,0,0,30,2,1,0,0.0,0.0,0.4,3,2,14,20,70.0,0,19,4,7,3,19,2017-2018
Aday,11,es ESP,WB,30-028,90,0,0,0,0,0,0,0,0,45,0,1,2,0.0,0.0,0.1,2,0,26,38,68.4,1,16,1,2,2,19,2017-2018
Juanpe,15,es ESP,CB,26-258,90,0,0,0,0,0,0,0,0,27,1,1,0,0.0,0.0,0.0,0,0,19,26,73.1,2,16,0,0,0,19,2017-2018
Bernardo Espinosa,2,co COL,CB,28-186,90,0,0,0,0,2,0,0,0,32,1,6,0,0.1,0.1,0.0,0,0,14,17,82.4,1,8,0,0,0,19,2017-2018
Jonás Ramalho,4,es ESP,CB,24-217,90,0,0,0,0,0,0,0,0,33,1,1,0,0.0,0.0,0.0,0,0,19,26,73.1,4,12,0,0,0,19,2017-2018
Yassine Bounou,13,ma MAR,GK,26-283,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,13,30,43.3,0,14,0,0,0,19,2017-2018
Cristhian Stuani,7,uy URU,FW,31-093,45,1,0,1,1,0,0,0,0,14,0,0,0,0.8,0.0,0.0,0,0,4,10,40.0,0,5,0,0,0,19,2017-2018
   Michael Olunga,14,ke KEN,FW,23-293,45,3,1,0,0,4,3,0,0,20,2,0,0,1.5,1.5,0.3,4,2,6,14,42.9,2,14,3,1,1,19,2017-2018
Borja García,24,es ESP,AM,27-072,90,1,0,0,0,3,1,0,0,45,1,1,2,0.6,0.6,0.1,4,0,27,33,81.8,5,25,4,5,3,19,2017-2018
Portu,9,es ESP,AM,25-237,77,1,0,0,0,2,2,0,0,29,0,0,0,0.4,0.4,0.3,6,3,17,20,85.0,5,25,4,5,2,19,2017-2018
   Douglas Luiz,12,br BRA,AM,19-249,13,0,0,0,0,1,1,0,0,4,1,0,0,0.3,0.3,0.0,2,1,1,1,100.0,1,2,1,0,0,19,2017-2018
Álex Granell,6,es ESP,CM,29-164,90,0,0,0,0,2,0,1,0,59,3,1,2,0.1,0.1,0.3,1,0,35,49,71.4,6,29,1,0,0,19,2017-2018
Pere Pons,8,es ESP,CM,24-327,77,0,1,0,0,0,0,1,0,36,2,1,0,0.0,0.0,0.3,2,1,18,29,62.1,6,19,2,3,2,19,2017-2018
   Aleix García,23,es ESP,CM,20-199,13,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.1,1,0,5,8,62.5,0,3,1,0,0,19,2017-2018
Johan Mojica,3,co COL,WB,25-145,90,0,1,0,0,0,0,0,0,30,2,1,0,0.0,0.0,0.4,3,2,14,20,70.0,0,19,4,7,3,19,2017-2018
Aday,11,es ESP,WB,30-028,90,0,0,0,0,0,0,0,0,45,0,1,2,0.0,0.0,0.1,2,0,26,38,68.4,1,16,1,2,2,19,2017-2018
Juanpe,15,es ESP,CB,26-258,90,0,0,0,0,0,0,0,0,27,1,1,0,0.0,0.0,0.0,0,0,19,26,73.1,2,16,0,0,0,19,2017-2018
Bernardo Espinosa,2,co COL,CB,28-186,90,0,0,0,0,2,0,0,0,32,1,6,0,0.1,0.1,0.0,0,0,14,17,82.4,1,8,0,0,0,19,2017-2018
Jonás Ramalho,4,es ESP,CB,24-217,90,0,0,0,0,0,0,0,0,33,1,1,0,0.0,0.0,0.0,0,0,19,26,73.1,4,12,0,0,0,19,2017-2018
Yassine Bounou,13,ma MAR,GK,26-283,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,13,30,43.3,0,14,0,0,0,19,2017-2018
Gareth Bale,11,wls WAL,FW,28-181,69,0,0,0,0,3,0,0,0,23,0,0,0,0.3,0.3,0.1,5,0,11,19,57.9,2,19,5,2,2,19,2017-2018
   Marco Asensio,20,es ESP,"LM,FW",21-357,21,0,0,0,0,1,0,0,0,19,2,0,0,0.2,0.2,0.0,1,0,13,16,81.3,1,13,1,0,0,19,2017-2018
Cristiano Ronaldo,7,pt POR,FW,32-342,90,0,0,0,0,11,4,0,0,44,1,0,1,1.3,1.3,0.1,5,0,21,28,75.0,3,30,6,1,0,19,2017-2018
Isco,22,es ESP,AM,25-267,69,0,0,0,0,1,0,0,0,71,1,0,1,0.0,0.0,0.8,9,0,52,63,82.5,7,60,8,1,1,19,2017-2018
   Lucas Vázquez,17,es ESP,"RM,AM",26-196,21,0,0,0,0,0,0,1,0,17,1,0,0,0.0,0.0,0.1,1,0,12,15,80.0,1,15,1,0,0,19,2017-2018
Toni Kroos,8,de GER,"LM,CM",28-009,90,0,0,0,0,5,1,0,0,111,2,1,0,0.2,0.2,0.2,8,0,90,101,89.1,19,83,5,0,0,19,2017-2018
Luka Modrić,10,hr CRO,"RM,CM",32-126,90,0,0,0,0,3,1,0,0,78,0,1,0,0.2,0.2,0.4,11,0,65,72,90.3,16,67,6,3,2,19,2017-2018
Casemiro,14,br BRA,DM,25-324,90,0,0,0,0,1,0,0,0,77,2,2,0,0.0,0.0,0.1,4,0,63,67,94.0,8,47,4,2,1,19,2017-2018
Marcelo,12,br BRA,LB,29-246,90,0,0,0,0,1,1,0,0,98,2,0,0,0.0,0.0,0.3,6,0,64,90,71.1,8,72,7,2,1,19,2017-2018
Nacho,6,es ESP,CB,27-360,90,0,0,0,0,1,0,0,0,61,3,1,2,0.0,0.0,0.0,0,0,55,56,98.2,4,43,1,1,1,19,2017-2018
Raphaël Varane,5,fr FRA,CB,24-263,90,0,0,0,0,1,0,0,0,56,0,3,1,0.0,0.0,0.0,0,0,40,46,87.0,1,39,2,0,0,19,2017-2018
Dani Carvajal,2,es ESP,RB,26-002,90,0,0,0,0,0,0,1,0,84,5,3,0,0.0,0.0,0.1,3,0,62,76,81.6,9,56,3,0,0,19,2017-2018
Keylor Navas,1,cr CRC,GK,31-029,90,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,17,20,85.0,0,15,0,0,0,19,2017-2018
Gareth Bale,11,wls WAL,FW,28-181,69,0,0,0,0,3,0,0,0,23,0,0,0,0.3,0.3,0.1,5,0,11,19,57.9,2,19,5,2,2,19,2017-2018
   Marco Asensio,20,es ESP,"LM,FW",21-357,21,0,0,0,0,1,0,0,0,19,2,0,0,0.2,0.2,0.0,1,0,13,16,81.3,1,13,1,0,0,19,2017-2018
Cristiano Ronaldo,7,pt POR,FW,32-342,90,0,0,0,0,11,4,0,0,44,1,0,1,1.3,1.3,0.1,5,0,21,28,75.0,3,30,6,1,0,19,2017-2018
Isco,22,es ESP,AM,25-267,69,0,0,0,0,1,0,0,0,71,1,0,1,0.0,0.0,0.8,9,0,52,63,82.5,7,60,8,1,1,19,2017-2018
