player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Cristhian Stuani,7,uy URU,FW,31-183,90,19,0,1,8,11,6,19,1,1,100.0,0,0.0,8,31,14,0,1,0,2,1,10,2,32,2017-2018
Borja García,24,es ESP,AM,27-162,45,21,1,4,9,8,1,21,0,0,,0,,13,43,14,0,0,0,2,0,15,1,32,2017-2018
   Aday,11,es ESP,"LB,AM",30-118,45,33,0,4,14,16,0,33,0,0,,0,,21,128,92,2,0,0,0,0,19,2,32,2017-2018
Portu,9,es ESP,"AM,RM",25-327,90,21,0,2,7,13,5,21,3,0,0.0,3,100.0,19,84,45,2,0,2,1,5,17,7,32,2017-2018
Álex Granell,6,es ESP,CM,29-254,90,73,3,11,47,17,0,73,3,3,100.0,0,0.0,45,225,118,2,2,0,1,0,41,0,32,2017-2018
Pere Pons,8,es ESP,CM,25-052,90,45,1,7,29,9,0,45,1,0,0.0,1,100.0,29,105,40,1,0,0,0,1,22,1,32,2017-2018
Johan Mojica,3,co COL,"WB,LM",25-235,85,45,0,5,20,20,3,45,0,0,,0,,30,120,43,3,0,0,2,1,32,6,32,2017-2018
   Kévin Soni,27,cm CMR,LM,19-361,5,5,0,0,3,2,0,5,1,0,0.0,1,100.0,3,48,38,1,1,0,1,0,3,2,32,2017-2018
Pablo Maffeo,25,es ESP,WB,20-275,45,25,0,3,12,10,0,25,0,0,,0,,13,68,30,1,1,0,0,1,12,3,32,2017-2018
   Anthony Lozano,19,hn HON,"FW,WB",24-353,45,15,0,2,6,7,5,15,0,0,,0,,6,28,10,1,0,0,0,2,10,1,32,2017-2018
Juanpe,15,es ESP,CB,26-348,90,37,2,20,16,1,0,37,0,0,,0,,16,52,21,0,0,0,0,0,14,0,32,2017-2018
Bernardo Espinosa,2,co COL,CB,28-276,90,36,4,26,9,1,1,36,0,0,,0,,20,88,35,0,0,0,1,0,20,0,32,2017-2018
