player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Carlos Bacca,9,co COL,FW,31-176,90,19,16,3,0,0,0,1,0,0,0,0,0,14,0,2,27,2017-2018
Dani Raba,28,es ESP,FW,22-125,45,13,13,0,0,0,0,0,0,0,0,0,0,9,0,0,27,2017-2018
   Enes Ünal,15,tr TUR,FW,20-297,45,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,27,2017-2018
Pablo Fornals,8,es ESP,AM,22-009,78,41,39,1,0,1,0,1,1,0,0,0,0,25,1,4,27,2017-2018
   Roger Martínez,24,co COL,AM,23-253,12,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,27,2017-2018
Manu Trigueros,14,es ESP,LM,26-137,90,63,54,9,4,0,2,5,0,5,1,1,0,47,0,0,27,2017-2018
Samu Castillejo,10,es ESP,RM,23-044,58,32,28,3,1,0,0,7,0,2,1,0,0,22,1,1,27,2017-2018
   Roberto Soriano,20,it ITA,RM,27-023,32,18,17,0,0,0,0,0,0,0,0,0,0,12,1,0,27,2017-2018
Rodri,16,es ESP,DM,21-254,90,78,74,3,3,0,1,0,0,0,0,0,0,66,1,1,27,2017-2018
Jaume Costa,11,es ESP,LB,29-350,90,59,50,9,0,0,1,6,9,0,0,0,0,45,0,0,27,2017-2018
Álvaro González,3,es ESP,CB,28-054,90,62,58,4,3,0,0,0,1,0,0,0,0,54,0,0,27,2017-2018
Daniele Bonera,23,it ITA,CB,36-276,90,68,62,6,5,0,2,0,1,0,0,0,0,61,0,0,27,2017-2018
Mario Gaspar,2,es ESP,RB,27-099,90,64,53,11,0,0,0,3,11,0,0,0,0,49,0,2,27,2017-2018
Sergio Asenjo,1,es ESP,GK,28-248,90,21,14,7,4,0,0,0,0,0,0,0,0,17,0,0,27,2017-2018
Cristhian Stuani,7,uy URU,FW,31-142,70,16,15,1,0,0,0,0,0,0,0,0,0,10,0,0,27,2017-2018
   Anthony Lozano,19,hn HON,FW,24-312,20,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,27,2017-2018
Borja García,24,es ESP,AM,27-121,90,43,41,2,2,0,2,3,0,0,0,0,0,37,0,1,27,2017-2018
Portu,9,es ESP,AM,25-286,90,18,18,0,0,0,0,1,0,0,0,0,0,13,0,2,27,2017-2018
Álex Granell,6,es ESP,CM,29-213,90,36,32,4,4,0,0,2,0,0,0,0,0,26,0,0,27,2017-2018
Pere Pons,8,es ESP,CM,25-011,62,19,19,0,0,0,0,0,0,0,0,0,0,11,0,2,27,2017-2018
   Aleix García,23,es ESP,CM,20-248,28,20,16,3,2,0,2,1,0,1,0,0,0,16,1,0,27,2017-2018
Carles Planas,21,es ESP,WB,26-364,24,8,7,1,0,0,0,1,1,0,0,0,0,2,0,0,27,2017-2018
   Johan Mojica,3,co COL,WB,25-194,66,33,26,7,0,0,1,5,7,0,0,0,0,20,0,5,27,2017-2018
Pablo Maffeo,25,es ESP,WB,20-234,90,29,23,6,0,0,0,1,5,1,0,0,0,16,0,1,27,2017-2018
Juanpe,15,es ESP,CB,26-307,90,29,27,2,2,0,4,1,0,0,0,0,0,18,0,1,27,2017-2018
Bernardo Espinosa,2,co COL,CB,28-235,90,11,11,0,0,0,0,1,0,0,0,0,0,7,0,1,27,2017-2018
Jonás Ramalho,4,es ESP,CB,24-266,90,19,14,3,3,0,0,0,0,0,0,0,0,8,2,0,27,2017-2018
Yassine Bounou,13,ma MAR,GK,26-332,90,37,15,22,5,0,0,0,0,0,0,0,0,12,0,0,27,2017-2018
Luis Muriel,20,co COL,FW,26-321,67,16,15,1,0,1,0,0,0,0,0,0,0,11,0,1,27,2017-2018
   Nolito,24,es ESP,FW,31-139,23,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,27,2017-2018
Joaquín Correa,11,ar ARG,LW,23-202,89,41,40,1,1,0,1,0,0,0,0,0,0,32,0,2,27,2017-2018
   Guido Pizarro,14,ar ARG,LW,28-005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2017-2018
Pablo Sarabia,17,es ESP,RW,25-296,90,22,21,1,0,1,0,0,1,0,0,0,0,14,0,1,27,2017-2018
Franco Vázquez,22,ar ARG,AM,29-009,90,44,44,0,0,0,0,1,0,0,0,0,0,33,0,0,27,2017-2018
Steven Nzonzi,15,fr FRA,DM,29-078,90,64,64,0,0,0,0,1,0,0,0,0,0,58,0,1,27,2017-2018
Éver Banega,10,ar ARG,DM,29-247,90,74,62,11,3,0,0,9,0,8,6,2,0,60,1,1,27,2017-2018
Sergio Escudero,18,es ESP,LB,28-182,90,62,51,11,3,0,0,0,8,0,0,0,0,49,0,0,27,2017-2018
