Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Pau López,es ESP,22-304,90,3,0,3,100.0,0.6,6,15,40.0,14,7,42.9,38.9,11,81.8,55.1,13,2,15.4,2,16.3,8,2017-2018
Raúl Fernández,es ESP,29-214,90,5,0,5,100.0,1.9,7,29,24.1,23,2,82.6,54.7,10,100.0,65.6,26,1,3.8,2,18.3,8,2017-2018
Kepa Arrizabalaga,es ESP,23-011,90,5,0,5,100.0,1.5,10,20,50.0,18,4,66.7,48.8,8,100.0,70.9,14,0,0.0,0,12.0,8,2017-2018
Sergio Rico,es ESP,24-043,90,2,1,1,50.0,1.0,7,20,35.0,19,6,42.1,36.5,15,80.0,51.1,19,0,0.0,0,11.3,8,2017-2018
Vicente Guaita,es ESP,30-277,90,6,2,4,66.7,2.8,13,22,59.1,19,2,73.7,52.5,8,100.0,67.8,15,0,0.0,2,14.0,8,2017-2018
Kiko Casilla,es ESP,31-012,90,3,1,2,66.7,1.1,4,9,44.4,16,5,25.0,34.6,8,62.5,45.5,9,0,0.0,0,12.5,8,2017-2018
Fernando Pacheco,es ESP,25-149,90,6,2,4,66.7,1.6,5,15,33.3,12,1,75.0,45.1,6,100.0,72.2,19,0,0.0,0,6.0,8,2017-2018
Gerónimo Rulli,ar ARG,25-147,90,0,0,0,,0.0,3,6,50.0,31,3,9.7,25.7,10,30.0,33.7,13,1,7.7,0,6.5,8,2017-2018
Jan Oblak,si SVN,24-280,90,7,1,6,85.7,1.8,5,23,21.7,15,1,86.7,57.0,10,100.0,66.0,14,0,0.0,0,12.0,8,2017-2018
Marc-André ter Stegen,de GER,25-167,90,4,1,3,75.0,0.6,1,3,33.3,26,7,11.5,24.3,3,0.0,25.7,5,1,20.0,2,17.6,8,2017-2018
Marko Dmitrović,rs SRB,25-264,90,2,0,2,100.0,0.7,13,25,52.0,24,2,70.8,48.7,9,88.9,66.3,7,0,0.0,4,17.1,8,2017-2018
Francis Uzoho,ng NGA,18-352,90,3,0,3,100.0,0.3,5,24,20.8,19,4,73.7,50.1,10,100.0,63.2,25,2,8.0,0,6.5,8,2017-2018
Gorka Iraizoz,es ESP,36-223,90,3,2,1,33.3,1.7,9,16,56.3,23,8,56.5,41.8,4,75.0,51.5,5,0,0.0,0,14.0,8,2017-2018
Mariano Barbosa,ar ARG,33-080,90,5,1,4,80.0,1.2,2,13,15.4,13,4,7.7,26.2,12,100.0,63.5,34,0,0.0,0,6.5,8,2017-2018
Roberto,es ESP,31-247,90,9,2,7,77.8,2.6,3,6,50.0,22,9,18.2,30.9,8,25.0,37.1,12,0,0.0,0,15.5,8,2017-2018
Iván Cuéllar,es ESP,33-141,90,5,0,5,100.0,1.3,10,27,37.0,25,1,84.0,50.8,6,100.0,63.3,16,3,18.8,0,4.7,8,2017-2018
Antonio Adán,es ESP,30-155,90,9,6,3,33.3,3.3,3,7,42.9,22,2,22.7,28.9,8,25.0,29.8,12,0,0.0,0,11.0,8,2017-2018
Neto,br BRA,28-088,90,6,3,2,50.0,3.8,1,12,8.3,14,3,50.0,39.7,8,62.5,47.3,17,0,0.0,0,12.0,8,2017-2018
Leandro Chichizola,ar ARG,27-203,90,7,5,2,28.6,3.5,7,14,50.0,21,4,38.1,30.7,10,60.0,49.5,3,1,33.3,0,10.8,8,2017-2018
Rubén Blanco,es ESP,22-083,51,5,,5,,1.0,6,12,50.0,11,1,81.8,47.5,5,60.0,41.8,15,,,1,17.5,8,2017-2018
Sergio Álvarez,es ESP,31-074,36,6,2,4,66.7,1.3,0,14,0.0,15,0,66.7,48.0,5,80.0,66.6,10,0,0.0,0,3.0,8,2017-2018
