Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Yassine Bounou,ma MAR,27-008,90,2,1,1,50.0,1.4,8,16,50.0,14,2,64.3,50.4,7,100.0,65.4,3,0,0.0,0,11.0,32,2017-2018
Dani Giménez,es ESP,34-257,90,5,0,5,100.0,1.3,2,16,12.5,28,3,50.0,39.6,5,40.0,37.2,24,0,0.0,0,3.0,32,2017-2018
David Soria,es ESP,25-010,90,4,2,2,50.0,1.7,3,5,60.0,23,6,21.7,25.5,2,0.0,29.0,2,1,50.0,1,15.8,32,2017-2018
Sergio Asenjo,es ESP,28-290,90,4,2,1,50.0,1.4,6,24,25.0,24,7,37.5,33.5,20,75.0,50.0,25,2,8.0,0,7.4,32,2017-2018
Marc-André ter Stegen,de GER,25-349,90,5,1,4,100.0,2.0,3,6,50.0,20,6,10.0,24.9,11,36.4,38.7,15,0,0.0,0,5.0,32,2017-2018
Neto,br BRA,28-269,90,7,2,5,71.4,2.3,2,8,25.0,8,3,12.5,23.0,11,63.6,45.7,9,0,0.0,0,11.0,32,2017-2018
Leandro Chichizola,ar ARG,28-018,90,11,1,10,90.9,2.8,8,20,40.0,46,9,32.6,31.4,9,55.6,47.3,15,0,0.0,2,15.2,32,2017-2018
Toño Ramírez,es ESP,31-142,90,0,0,0,,0.0,7,18,38.9,32,6,21.9,28.1,11,100.0,64.0,16,1,6.3,0,7.7,32,2017-2018
Iván Cuéllar,es ESP,33-322,90,2,0,2,100.0,0.5,7,26,26.9,26,2,76.9,55.7,6,100.0,65.0,6,1,16.7,1,17.3,32,2017-2018
Sergio Álvarez,es ESP,31-254,90,7,1,6,85.7,1.7,13,27,48.1,36,7,44.4,40.1,13,84.6,59.5,19,2,10.5,0,11.7,32,2017-2018
Kepa Arrizabalaga,es ESP,23-193,90,3,3,0,0.0,1.3,13,20,65.0,39,3,43.6,36.5,6,50.0,45.2,11,0,0.0,5,19.7,32,2017-2018
Rubén,es ESP,33-296,90,4,2,2,50.0,0.6,5,14,35.7,15,4,46.7,41.1,10,70.0,50.5,33,3,9.1,0,5.7,32,2017-2018
Marko Dmitrović,rs SRB,26-081,90,1,1,0,0.0,0.3,10,31,32.3,32,4,81.3,55.7,6,83.3,65.3,4,0,0.0,2,31.5,32,2017-2018
Fernando Pacheco,es ESP,25-332,90,4,0,4,100.0,0.6,11,30,36.7,17,1,88.2,51.9,15,100.0,66.6,42,1,2.4,0,7.0,32,2017-2018
Jan Oblak,si SVN,25-098,90,3,0,3,100.0,0.9,8,20,40.0,26,7,53.8,40.5,6,100.0,65.7,15,1,6.7,0,12.0,32,2017-2018
Oier Olazábal,es ESP,28-213,90,5,3,2,40.0,1.3,3,6,50.0,13,4,30.8,34.5,5,40.0,40.4,10,0,0.0,1,34.0,32,2017-2018
Vicente Guaita,es ESP,31-095,90,0,0,0,,0.0,7,28,25.0,27,3,66.7,45.7,11,90.9,65.9,18,0,0.0,4,20.3,32,2017-2018
Pau López,es ESP,23-123,90,4,1,3,75.0,1.0,4,15,26.7,22,5,45.5,41.3,8,62.5,47.5,8,1,12.5,3,18.0,32,2017-2018
Roberto,es ESP,32-064,90,6,2,4,66.7,2.2,6,18,33.3,17,3,47.1,39.2,10,100.0,69.6,15,0,0.0,0,5.3,32,2017-2018
Keylor Navas,cr CRC,31-121,90,3,1,2,66.7,1.3,3,8,37.5,20,5,20.0,29.4,8,50.0,42.0,16,0,0.0,0,7.3,32,2017-2018
