Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Antonio Adán,es ESP,30-174,90,2,2,0,0.0,0.6,5,9,55.6,37,6,10.8,25.2,7,71.4,45.6,9,0,0.0,2,21.7,11,2017-2018
Vicente Guaita,es ESP,30-297,90,4,2,2,50.0,1.3,7,25,28.0,18,1,83.3,52.6,10,100.0,64.8,24,0,0.0,0,7.5,11,2017-2018
Neto,br BRA,28-108,90,6,0,6,100.0,0.5,2,6,33.3,20,9,15.0,29.4,4,75.0,51.5,15,0,0.0,1,13.0,11,2017-2018
Iván Cuéllar,es ESP,33-161,90,6,3,3,66.7,2.3,9,21,42.9,21,4,71.4,49.8,7,85.7,64.3,9,1,11.1,1,14.4,11,2017-2018
Costel Pantilimon,ro ROU,30-276,90,3,1,2,66.7,0.6,11,22,50.0,23,5,65.2,45.6,9,77.8,52.6,8,1,12.5,0,10.0,11,2017-2018
Jan Oblak,si SVN,24-301,90,1,0,1,100.0,0.2,6,18,33.3,22,4,40.9,36.2,10,90.0,62.2,14,1,7.1,1,16.0,11,2017-2018
Fernando Pacheco,es ESP,25-170,90,3,0,3,100.0,0.7,13,25,52.0,20,2,90.0,54.4,7,100.0,63.7,21,2,9.5,0,9.0,11,2017-2018
Pau López,es ESP,22-326,90,5,1,4,80.0,0.6,9,19,47.4,20,5,45.0,38.1,10,100.0,66.5,9,2,22.2,1,12.7,11,2017-2018
Marc-André ter Stegen,de GER,25-188,90,3,1,2,66.7,0.9,3,11,27.3,32,6,25.0,30.6,4,75.0,53.3,7,1,14.3,3,18.0,11,2017-2018
David Soria,es ESP,24-214,90,5,2,3,60.0,1.9,5,10,50.0,17,5,35.3,31.9,8,50.0,47.1,6,0,0.0,0,12.5,11,2017-2018
Raúl Fernández,es ESP,29-237,90,5,2,3,60.0,1.7,8,20,40.0,22,3,59.1,41.8,9,77.8,54.7,13,0,0.0,0,21.0,11,2017-2018
Yassine Bounou,ma MAR,26-214,90,4,1,3,75.0,1.5,5,16,31.3,18,2,55.6,43.2,7,85.7,60.3,19,1,5.3,1,10.7,11,2017-2018
Rubén Blanco,es ESP,22-103,90,5,1,4,80.0,0.8,8,22,36.4,29,2,51.7,40.4,9,77.8,55.1,28,0,0.0,2,12.0,11,2017-2018
Kepa Arrizabalaga,es ESP,23-033,90,5,3,2,40.0,2.2,7,16,43.8,18,3,50.0,40.6,8,87.5,63.0,14,0,0.0,0,14.5,11,2017-2018
Gerónimo Rulli,ar ARG,25-169,90,5,1,4,80.0,1.0,8,26,30.8,53,5,30.2,35.4,10,100.0,52.4,16,0,0.0,1,16.0,11,2017-2018
Marko Dmitrović,rs SRB,25-285,90,6,3,3,50.0,2.2,6,20,30.0,14,4,64.3,42.0,11,100.0,66.9,13,1,7.7,3,17.4,11,2017-2018
Mariano Barbosa,ar ARG,33-101,90,2,0,2,100.0,0.2,0,3,0.0,11,3,18.2,32.1,3,33.3,38.0,16,0,0.0,1,23.0,11,2017-2018
Roberto,es ESP,31-268,90,3,2,1,33.3,1.0,5,33,15.2,23,1,91.3,57.5,12,100.0,71.8,10,1,10.0,2,15.4,11,2017-2018
Kiko Casilla,es ESP,31-034,90,1,0,1,100.0,0.3,1,2,50.0,17,1,11.8,27.4,2,0.0,31.0,5,0,0.0,0,3.0,11,2017-2018
Raúl Lizoain,es ESP,26-282,90,9,3,6,66.7,2.6,6,12,50.0,31,9,16.1,26.5,14,50.0,43.4,29,0,0.0,1,13.3,11,2017-2018
