player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Cristhian Stuani,7,uy URU,FW,31-170,90,0,0,0,3,1,0,0,0,0,0,0,0,1,1,3,25.0,30,2017-2018
Borja García,24,es ESP,AM,27-149,82,0,0,0,0,2,0,5,0,0,0,0,0,4,1,1,50.0,30,2017-2018
   David Timor,16,es ESP,"CM,AM",28-165,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,30,2017-2018
Portu,9,es ESP,AM,25-314,76,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0.0,30,2017-2018
   Anthony Lozano,19,hn HON,AM,24-340,14,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,100.0,30,2017-2018
Álex Granell,6,es ESP,CM,29-241,90,0,0,0,3,1,0,8,1,2,0,0,0,5,1,0,100.0,30,2017-2018
Pere Pons,8,es ESP,"CM,AM",25-039,90,0,0,0,1,2,0,0,2,3,0,0,0,3,3,3,50.0,30,2017-2018
Aday,11,es ESP,WB,30-105,90,0,0,0,2,1,0,6,0,1,0,0,0,4,1,0,100.0,30,2017-2018
Pablo Maffeo,25,es ESP,WB,20-262,90,1,0,0,0,2,0,3,1,4,0,0,0,9,4,2,66.7,30,2017-2018
Juanpe,15,es ESP,CB,26-335,90,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0.0,30,2017-2018
Bernardo Espinosa,2,co COL,CB,28-263,90,0,0,0,1,0,0,0,0,1,0,0,0,5,6,0,100.0,30,2017-2018
Jonás Ramalho,4,es ESP,CB,24-294,90,0,0,0,1,0,0,0,1,1,0,0,0,5,3,1,75.0,30,2017-2018
Yassine Bounou,13,ma MAR,GK,26-360,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,30,2017-2018
Roger Martí,9,es ESP,FW,27-087,90,1,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0.0,30,2017-2018
Emmanuel Boateng,21,gh GHA,FW,21-312,63,0,0,0,0,4,1,0,0,0,0,0,0,5,4,5,44.4,30,2017-2018
   Armando Sadiku,7,al ALB,FW,26-308,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,30,2017-2018
José Luis Morales,11,es ESP,"LM,RM",30-251,90,0,0,0,0,2,0,3,1,1,0,0,0,8,1,4,20.0,30,2017-2018
José Campaña,24,es ESP,CM,24-304,90,0,0,0,1,0,0,6,2,2,0,0,0,3,1,1,50.0,30,2017-2018
Jefferson Lerma,8,co COL,CM,23-157,90,1,0,0,3,4,0,0,4,0,0,0,0,7,3,1,75.0,30,2017-2018
Jason,23,es ESP,RM,23-268,76,0,0,0,1,1,0,3,0,1,0,0,0,3,1,0,100.0,30,2017-2018
   Ivi,14,es ESP,LM,23-275,14,0,0,0,0,0,0,3,2,1,0,0,0,1,0,0,,30,2017-2018
Coke,12,es ESP,LB,30-339,90,0,0,0,2,1,0,0,2,1,0,0,0,5,2,5,28.6,30,2017-2018
Rober,4,es ESP,CB,23-043,90,0,0,0,1,0,0,1,4,0,0,0,0,7,0,0,,30,2017-2018
Erick Cabaco,18,uy URU,CB,22-346,82,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,30,2017-2018
   Sergio Postigo,15,es ESP,CB,29-147,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,30,2017-2018
Pedro López Muñoz,19,es ESP,RB,34-150,90,0,0,0,1,1,0,5,2,0,0,0,0,4,0,2,0.0,30,2017-2018
Oier Olazábal,13,es ESP,GK,28-198,90,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,30,2017-2018
Iñaki Williams,11,gh GHA,"FW,RW",23-289,90,1,0,0,1,1,3,4,0,3,0,0,0,4,2,1,66.7,30,2017-2018
Iñigo Córdoba,28,es ESP,LW,21-018,71,0,0,0,1,1,0,2,0,0,0,0,0,6,0,1,0.0,30,2017-2018
   Aritz Aduriz,20,es ESP,FW,37-048,19,0,0,0,0,1,1,0,0,0,0,0,0,1,3,1,75.0,30,2017-2018
Markel Susaeta,14,es ESP,"RW,LW",30-107,90,0,0,0,0,1,0,4,0,2,0,0,0,4,0,0,,30,2017-2018
Raúl García,22,es ESP,AM,31-263,78,0,0,0,0,2,1,2,0,2,0,0,0,2,5,2,71.4,30,2017-2018
   Beñat Etxebarria,7,es ESP,AM,31-040,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,30,2017-2018
