player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Cristhian Stuani,7,uy URU,FW,31-183,90,6,12,50.0,63,23,4,7,57.1,1,1,100.0,0,1,0.0,0,0.2,0.0,2,1,0,0,1,32,2017-2018
Borja García,24,es ESP,AM,27-162,45,9,15,60.0,152,37,5,5,100.0,0,2,0.0,3,5,60.0,0,0.0,0.0,0,0,0,0,0,32,2017-2018
   Aday,11,es ESP,"LB,AM",30-118,45,25,31,80.6,359,98,15,15,100.0,6,10,60.0,3,4,75.0,0,0.0,0.0,0,1,0,0,1,32,2017-2018
Portu,9,es ESP,"AM,RM",25-327,90,7,13,53.8,178,67,3,5,60.0,1,2,50.0,3,3,100.0,0,0.0,0.1,1,0,2,2,1,32,2017-2018
Álex Granell,6,es ESP,CM,29-254,90,47,66,71.2,1006,355,18,19,94.7,20,23,87.0,9,20,45.0,0,0.0,0.2,0,10,3,2,11,32,2017-2018
Pere Pons,8,es ESP,CM,25-052,90,29,36,80.6,374,107,17,19,89.5,8,9,88.9,1,2,50.0,0,0.0,0.0,0,4,0,0,3,32,2017-2018
Johan Mojica,3,co COL,"WB,LM",25-235,85,17,37,45.9,303,76,7,9,77.8,7,10,70.0,2,8,25.0,0,0.1,0.1,1,0,1,1,0,32,2017-2018
   Kévin Soni,27,cm CMR,LM,19-361,5,2,2,100.0,28,8,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,1,0,1,32,2017-2018
Pablo Maffeo,25,es ESP,WB,20-275,45,16,24,66.7,260,95,6,7,85.7,5,8,62.5,3,6,50.0,0,0.0,0.1,0,1,2,2,1,32,2017-2018
   Anthony Lozano,19,hn HON,"FW,WB",24-353,45,4,9,44.4,33,0,3,4,75.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,32,2017-2018
