player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Cristhian Stuani,7,uy URU,FW,31-170,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,30,2017-2018
Borja García,24,es ESP,AM,27-149,82,1,0,1,0,0,1,3,33.3,2,3,0,3,0,1,2,0,30,2017-2018
   David Timor,16,es ESP,"CM,AM",28-165,8,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,30,2017-2018
Portu,9,es ESP,AM,25-314,76,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,30,2017-2018
   Anthony Lozano,19,hn HON,AM,24-340,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,30,2017-2018
Álex Granell,6,es ESP,CM,29-241,90,3,2,2,1,0,2,5,40.0,3,2,1,1,1,4,0,0,30,2017-2018
Pere Pons,8,es ESP,"CM,AM",25-039,90,4,3,3,0,1,1,6,16.7,5,2,0,2,2,6,0,0,30,2017-2018
Aday,11,es ESP,WB,30-105,90,2,1,1,1,0,1,2,50.0,1,2,0,2,0,2,1,0,30,2017-2018
Pablo Maffeo,25,es ESP,WB,20-262,90,6,4,3,1,2,2,3,66.7,1,2,1,1,1,7,2,0,30,2017-2018
Juanpe,15,es ESP,CB,26-335,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,4,0,30,2017-2018
Bernardo Espinosa,2,co COL,CB,28-263,90,2,1,2,0,0,0,0,,0,1,0,1,0,2,3,0,30,2017-2018
Jonás Ramalho,4,es ESP,CB,24-294,90,1,1,1,0,0,1,1,100.0,0,1,1,0,1,2,8,0,30,2017-2018
Yassine Bounou,13,ma MAR,GK,26-360,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,30,2017-2018
Roger Martí,9,es ESP,FW,27-087,90,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,30,2017-2018
Emmanuel Boateng,21,gh GHA,FW,21-312,63,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,30,2017-2018
   Armando Sadiku,7,al ALB,FW,26-308,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,30,2017-2018
José Luis Morales,11,es ESP,"LM,RM",30-251,90,1,1,1,0,0,0,2,0.0,2,0,0,0,1,2,0,0,30,2017-2018
José Campaña,24,es ESP,CM,24-304,90,2,2,1,1,0,1,3,33.3,2,3,0,3,2,4,0,0,30,2017-2018
Jefferson Lerma,8,co COL,CM,23-157,90,1,0,1,0,0,1,1,100.0,0,0,0,0,4,5,0,0,30,2017-2018
Jason,23,es ESP,RM,23-268,76,2,1,0,1,1,1,2,50.0,1,0,0,0,0,2,0,0,30,2017-2018
