player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Lionel Messi,10,ar ARG,FW,33-234,90,59,77,76.6,777,213,39,48,81.3,12,14,85.7,4,4,100.0,1,0.4,0.6,2,5,1,0,3,23,2020-2021
Antoine Griezmann,7,fr FRA,LW,29-329,80,45,50,90.0,615,139,24,27,88.9,12,12,100.0,3,3,100.0,2,1.1,0.2,5,3,0,0,3,23,2020-2021
   Ousmane Dembélé,11,fr FRA,LW,23-274,10,10,10,100.0,118,15,8,8,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,23,2020-2021
Francisco Trincão,17,pt POR,RW,21-046,90,32,39,82.1,326,28,26,30,86.7,5,5,100.0,0,0,,0,0.1,0.0,1,3,1,0,2,23,2020-2021
Riqui Puig,12,es ESP,LM,21-184,90,105,113,92.9,1480,321,64,67,95.5,22,25,88.0,12,12,100.0,0,0.1,0.2,2,10,2,0,12,23,2020-2021
Sergio Busquets,5,es ESP,CM,32-212,45,57,63,90.5,837,237,30,30,100.0,20,20,100.0,3,3,100.0,1,0.0,0.1,1,6,2,0,5,23,2020-2021
   Samuel Umtiti,23,fr FRA,CB,27-091,45,38,41,92.7,568,177,21,23,91.3,12,13,92.3,3,3,100.0,0,0.0,0.0,0,2,0,0,0,23,2020-2021
Ilaix Moriba,27,gn GUI,RM,18-025,63,46,51,90.2,562,74,30,32,93.8,12,14,85.7,1,1,100.0,1,0.1,0.2,1,0,0,0,3,23,2020-2021
   Pedri,16,es ESP,RM,18-080,27,28,33,84.8,469,145,14,17,82.4,12,13,92.3,2,3,66.7,0,0.0,0.1,0,6,0,0,4,23,2020-2021
Junior Firpo,24,es ESP,LB,24-175,90,59,63,93.7,669,181,42,42,100.0,13,14,92.9,0,1,0.0,0,0.3,0.1,1,0,0,0,2,23,2020-2021
Clément Lenglet,15,fr FRA,CB,25-241,90,106,112,94.6,1652,562,55,55,100.0,40,43,93.0,6,9,66.7,0,0.0,0.0,0,5,0,0,4,23,2020-2021
Frenkie de Jong,21,nl NED,"CB,CM",23-277,71,96,101,95.0,1478,482,48,51,94.1,44,44,100.0,2,2,100.0,0,0.0,0.0,0,9,0,0,3,23,2020-2021
   Miralem Pjanić,8,ba BIH,CM,30-317,19,24,26,92.3,330,130,14,15,93.3,8,9,88.9,1,1,100.0,0,0.0,0.0,0,0,0,0,0,23,2020-2021
Óscar Mingueza,28,es ESP,RB,21-276,71,68,75,90.7,878,159,44,46,95.7,21,21,100.0,1,1,100.0,0,0.0,0.4,1,4,1,1,3,23,2020-2021
   Sergiño Dest,2,us USA,RB,20-102,19,15,16,93.8,131,20,9,10,90.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,23,2020-2021
Marc-André ter Stegen,1,de GER,GK,28-289,90,26,29,89.7,634,434,4,4,100.0,16,16,100.0,6,9,66.7,0,0.0,0.0,0,0,0,0,0,23,2020-2021
Lucas Pérez,7,es ESP,FW,32-156,80,22,31,71.0,565,190,4,6,66.7,11,14,78.6,7,11,63.6,0,0.0,0.2,0,4,2,0,9,23,2020-2021
   Borja Sainz,29,es ESP,FW,20-012,10,2,3,66.7,36,0,0,0,,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,23,2020-2021
