player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Fernando Pacheco,es ESP,28-230,90,4,2,2,50.0,2.1,6,15,40.0,26,3,46.2,38.0,10,30.0,30.3,11,1,9.1,1,12.6,17,2020-2021
Jan Oblak,si SVN,27-362,90,1,1,1,0.0,0.1,6,12,50.0,18,3,44.4,38.7,6,66.7,52.2,4,0,0.0,1,20.7,17,2020-2021
Marko Dmitrović,rs SRB,28-345,90,3,0,3,100.0,1.3,9,23,39.1,22,2,86.4,60.8,4,100.0,76.3,11,0,0.0,2,35.5,17,2020-2021
Rui Silva,pt POR,26-331,90,7,2,4,71.4,2.0,16,36,44.4,28,0,92.9,55.3,11,90.9,61.3,24,1,4.2,2,21.0,17,2020-2021
Álex Remiro,es ESP,25-285,90,2,1,1,50.0,0.9,5,12,41.7,27,4,33.3,33.1,6,50.0,39.7,7,0,0.0,1,24.0,17,2020-2021
Sergio Herrera,es ESP,27-212,90,2,1,1,50.0,1.1,13,34,38.2,27,2,85.2,50.0,11,100.0,55.4,30,1,3.3,3,17.5,17,2020-2021
Álvaro Fernández,es ESP,22-265,90,6,1,5,83.3,3.3,4,10,40.0,18,3,22.2,31.7,17,35.3,42.4,5,0,0.0,0,10.0,17,2020-2021
Marc-André ter Stegen,de GER,28-248,90,4,0,4,100.0,1.0,2,3,66.7,23,7,8.7,25.1,3,33.3,38.0,8,2,25.0,0,8.5,17,2020-2021
Jaume Doménech,es ESP,30-060,90,2,1,1,50.0,0.4,1,2,50.0,20,6,5.0,22.2,5,20.0,26.6,19,0,0.0,0,,17,2020-2021
Jeremías Ledesma,ar ARG,27-326,90,4,1,3,75.0,0.7,14,28,50.0,24,0,95.8,61.0,5,100.0,69.0,27,2,7.4,2,12.6,17,2020-2021
Unai Simón,es ESP,23-209,90,9,3,6,66.7,2.2,3,6,50.0,22,8,27.3,32.5,3,0.0,22.3,10,0,0.0,0,13.5,2,2020-2021
Marc-André ter Stegen,de GER,28-251,90,3,2,1,33.3,0.7,2,4,50.0,25,8,12.0,29.2,4,25.0,39.3,11,1,9.1,0,9.0,2,2020-2021
Rubén Blanco,es ESP,25-167,90,6,4,2,33.3,2.7,2,10,20.0,28,6,21.4,27.9,6,66.7,46.7,9,0,0.0,2,18.0,18,2020-2021
Sergio Asenjo,es ESP,31-194,90,3,0,3,100.0,0.9,6,11,54.5,24,2,33.3,36.3,4,75.0,50.5,16,1,6.3,0,5.0,18,2020-2021
Yassine Bounou,ma MAR,29-279,90,3,2,2,33.3,0.5,9,19,47.4,24,2,45.8,38.1,9,88.9,58.8,19,0,0.0,2,16.3,18,2020-2021
Álex Remiro,es ESP,25-291,90,7,3,4,57.1,3.7,1,6,16.7,14,3,35.7,37.0,5,20.0,30.8,15,0,0.0,0,7.8,18,2020-2021
Rui Silva,pt POR,26-337,90,4,4,0,0.0,2.1,6,18,33.3,16,1,62.5,41.9,9,88.9,60.1,3,0,0.0,3,19.1,18,2020-2021
Marc-André ter Stegen,de GER,28-254,90,4,0,4,100.0,0.7,1,1,100.0,33,8,0.0,19.4,7,14.3,23.1,11,1,9.1,1,13.7,18,2020-2021
Sergio Herrera,es ESP,27-218,90,1,0,1,100.0,0.1,15,29,51.7,25,2,76.0,49.0,10,100.0,59.3,20,0,0.0,1,7.6,18,2020-2021
Thibaut Courtois,be BEL,28-243,90,2,0,2,100.0,0.1,1,6,16.7,31,7,19.4,25.0,6,0.0,20.7,11,0,0.0,1,13.0,18,2020-2021
