player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
   Anthony Lozano,9,hn HON,FW,27-361,45,18,17,1,0,0,0,2,0,0,0,0,0,13,0,1,31,2020-2021
Alfonso Espino,22,uy URU,LB,29-106,64,24,22,2,0,0,0,3,2,0,0,0,0,17,0,1,31,2020-2021
   Iván Alejo,14,es ESP,LB,26-070,26,11,9,2,0,0,0,3,0,2,1,1,0,6,0,2,31,2020-2021
Marcos Mauro López Gutiérrez,4,ar ARG,CB,30-102,90,27,25,2,2,0,0,0,0,0,0,0,0,23,0,1,31,2020-2021
Fali,3,es ESP,"CM,CB",27-252,90,51,48,3,3,0,0,1,0,0,0,0,0,41,0,0,31,2020-2021
Isaac Carcelen,20,es ESP,RB,27-363,45,32,25,7,1,0,0,2,6,0,0,0,0,21,0,0,31,2020-2021
   Carlos Akapo,15,gq EQG,RB,28-040,45,28,23,4,2,0,0,2,2,0,0,0,0,25,1,0,31,2020-2021
Jeremías Ledesma,1,ar ARG,GK,28-067,90,31,15,16,4,0,0,0,0,0,0,0,0,18,0,0,31,2020-2021
Karim Benzema,9,fr FRA,FW,33-123,73,40,39,1,0,0,0,1,0,0,0,0,0,38,0,0,31,2020-2021
   Mariano,24,do DOM,FW,27-263,17,6,6,0,0,0,0,0,0,0,0,0,0,4,0,1,31,2020-2021
Vinicius Júnior,20,br BRA,LW,20-283,60,27,26,1,0,0,0,0,0,1,0,0,0,22,0,1,31,2020-2021
   Marco Asensio,11,es ESP,LW,25-090,30,22,22,0,0,0,0,0,0,0,0,0,0,19,0,0,31,2020-2021
Rodrygo,25,br BRA,RW,20-102,90,40,37,2,0,0,0,2,0,2,2,0,0,33,1,0,31,2020-2021
Marcelo,12,br BRA,"LM,LB",32-344,73,56,48,8,3,0,0,3,5,0,0,0,0,41,0,2,31,2020-2021
   Miguel Gutiérrez,35,es ESP,LB,19-268,17,17,17,0,0,0,0,1,0,0,0,0,0,13,0,0,31,2020-2021
Casemiro,14,br BRA,CM,29-057,90,86,85,1,1,0,0,1,0,0,0,0,0,70,0,4,31,2020-2021
Blanco,31,,CM,20-272,90,,,,,,,0,,,,,,,,,31,2020-2021
Álvaro Odriozola,19,es ESP,RM,25-128,60,27,19,8,1,0,1,2,7,0,0,0,0,23,0,3,31,2020-2021
   Isco,22,es ESP,LM,29-000,30,38,37,1,1,0,0,1,0,0,0,0,0,35,0,0,31,2020-2021
Nacho,6,es ESP,CB,31-093,90,63,61,2,1,0,0,0,1,0,0,0,0,53,0,1,31,2020-2021
Raphaël Varane,5,fr FRA,CB,27-361,60,42,41,1,1,0,0,0,0,0,0,0,0,40,0,0,31,2020-2021
   Dani Carvajal,2,es ESP,RB,29-100,30,35,34,1,0,0,0,1,1,0,0,0,0,34,0,0,31,2020-2021
Éder Militão,3,br BRA,CB,23-093,90,62,61,1,1,0,1,1,0,0,0,0,0,56,0,1,31,2020-2021
