player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Jan Oblak,si SVN,27-264,90,6,1,5,83.3,2.0,3,10,30.0,17,3,47.1,37.1,4,50.0,42.0,16,1,6.3,0,8.3,3,2020-2021
Rui Silva,pt POR,26-233,90,10,6,3,40.0,6.0,7,18,38.9,27,4,51.9,39.6,10,40.0,36.1,6,0,0.0,4,24.6,3,2020-2021
Roberto,es ESP,34-230,90,1,1,0,0.0,0.8,4,15,26.7,24,7,45.8,43.9,5,80.0,65.8,5,0,0.0,1,18.0,3,2020-2021
Iván Villar,es ESP,23-080,90,4,1,3,100.0,1.6,4,14,28.6,13,3,61.5,39.6,8,75.0,55.6,20,0,0.0,2,20.0,3,2020-2021
Alberto Cifuentes,es ESP,41-121,90,5,3,2,40.0,2.7,15,27,55.6,25,2,76.0,49.1,8,100.0,59.0,15,0,0.0,4,27.0,3,2020-2021
Yassine Bounou,ma MAR,29-175,90,5,1,4,80.0,1.2,1,3,33.3,16,6,12.5,23.5,5,20.0,30.4,16,0,0.0,0,5.5,3,2020-2021
Neto,br BRA,31-070,90,1,0,1,100.0,0.1,3,3,100.0,27,7,11.1,24.1,5,0.0,13.0,13,0,0.0,2,12.8,3,2020-2021
Sergio Asenjo,es ESP,31-091,90,9,4,6,66.7,2.5,4,9,44.4,24,7,25.0,30.5,7,42.9,37.0,11,0,0.0,0,4.0,3,2020-2021
Álex Remiro,es ESP,25-189,90,5,1,4,80.0,1.4,7,11,63.6,21,3,52.4,38.5,2,0.0,27.5,7,1,14.3,2,19.3,4,2020-2021
Jaume Doménech,es ESP,29-329,90,3,0,3,100.0,0.3,8,21,38.1,23,8,43.5,38.7,11,100.0,64.5,25,1,4.0,0,2.5,4,2020-2021
David Soria,es ESP,27-178,90,2,0,2,100.0,0.3,8,28,28.6,22,0,95.5,60.3,7,100.0,62.3,11,0,0.0,0,5.0,4,2020-2021
Joel Robles,es ESP,30-104,90,4,3,1,25.0,1.9,7,13,53.8,31,5,41.9,33.3,6,0.0,12.7,7,0,0.0,1,18.8,4,2020-2021
Sergio Asenjo,es ESP,31-094,90,3,1,2,66.7,0.7,5,16,31.3,35,5,20.0,32.7,10,90.0,57.4,13,0,0.0,1,21.0,4,2020-2021
Fernando Pacheco,es ESP,28-135,90,5,3,2,60.0,3.2,6,11,54.5,28,6,28.6,32.5,5,60.0,42.6,11,0,0.0,1,14.0,4,2020-2021
Andrés Fernández,es ESP,33-288,90,2,0,2,100.0,0.4,10,26,38.5,42,4,52.4,37.6,13,30.8,35.5,18,0,0.0,0,7.0,4,2020-2021
Jan Oblak,si SVN,27-267,90,3,0,3,100.0,0.3,4,11,36.4,24,6,33.3,34.1,8,37.5,43.6,15,0,0.0,1,22.0,4,2020-2021
Marko Dmitrović,rs SRB,28-250,90,2,1,1,50.0,0.7,6,12,50.0,27,3,40.7,35.8,4,25.0,35.5,6,0,0.0,4,22.1,4,2020-2021
Édgar Badía,es ESP,28-231,90,4,0,4,100.0,0.4,16,37,43.2,35,6,68.6,46.5,14,92.9,61.4,33,0,0.0,0,5.5,4,2020-2021
Thibaut Courtois,be BEL,28-142,90,5,0,5,100.0,0.8,3,7,42.9,30,6,10.0,28.0,9,44.4,42.7,19,0,0.0,2,17.3,4,2020-2021
Roberto,es ESP,34-233,90,5,1,4,80.0,1.5,8,25,32.0,22,5,63.6,47.4,12,91.7,61.4,15,0,0.0,2,19.5,4,2020-2021
