player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Shinji Okazaki,12,jp JPN,FW,34-157,90,12,15,80.0,165,3,6,8,75.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,2,2020-2021
David Ferreiro,7,es ESP,LW,32-172,72,15,25,60.0,237,98,8,12,66.7,6,6,100.0,1,6,16.7,0,0.1,0.1,1,1,1,0,3,2,2020-2021
   Dani Escriche,23,es ESP,LW,22-180,18,4,4,100.0,55,15,1,1,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,2,2020-2021
Rafa Mir,9,es ESP,RW,23-094,52,5,11,45.5,59,19,2,3,66.7,2,4,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,2,2020-2021
   Sergio Gómez,10,es ESP,"AM,RW",20-016,38,18,26,69.2,280,110,10,11,90.9,3,5,60.0,3,6,50.0,0,0.1,0.0,1,4,0,0,5,2,2020-2021
Juan Carlos,21,es ESP,AM,29-189,51,11,15,73.3,121,17,8,9,88.9,2,4,50.0,0,0,,0,0.0,0.0,0,1,0,0,1,2,2020-2021
   Borja García,24,es ESP,"DM,AM",29-323,39,25,26,96.2,366,47,10,10,100.0,6,6,100.0,3,3,100.0,0,0.0,0.0,0,1,0,0,3,2,2020-2021
Pedro Mosquera,5,es ESP,DM,32-152,90,70,74,94.6,1134,300,35,36,97.2,24,24,100.0,6,8,75.0,0,0.1,0.1,1,5,1,1,8,2,2020-2021
Eugeni Valderrama,8,es ESP,DM,26-063,52,40,47,85.1,671,171,19,19,100.0,18,21,85.7,3,6,50.0,0,0.0,0.0,0,3,0,0,3,2,2020-2021
   Joaquín Muñoz,6,es ESP,"RW,DM",21-194,38,8,14,57.1,68,13,5,6,83.3,1,1,100.0,0,1,0.0,0,0.0,0.0,1,1,0,0,1,2,2020-2021
Javi Galán,11,es ESP,LB,25-306,90,54,63,85.7,846,271,26,29,89.7,16,21,76.2,7,7,100.0,0,0.0,0.2,0,3,3,3,3,2,2020-2021
Dimitris Siovas,18,gr GRE,CB,32-004,90,92,111,82.9,1683,439,30,34,88.2,56,63,88.9,5,13,38.5,0,0.0,0.0,0,4,0,0,6,2,2020-2021
Jorge Pulido,14,es ESP,CB,29-165,90,100,111,90.1,1765,542,45,48,93.8,45,47,95.7,8,13,61.5,0,0.0,0.0,0,3,0,0,5,2,2020-2021
Pablo Maffeo,3,es ESP,RB,23-070,90,57,69,82.6,860,215,31,35,88.6,20,23,87.0,4,7,57.1,0,0.0,0.0,0,4,0,0,4,2,2020-2021
Andrés Fernández,25,es ESP,GK,33-278,90,22,26,84.6,487,316,6,6,100.0,11,11,100.0,4,8,50.0,0,0.0,0.0,0,0,0,0,0,2,2020-2021
Álvaro Negredo,18,es ESP,FW,35-031,68,4,7,57.1,95,8,2,3,66.7,1,1,100.0,1,3,33.3,0,0.0,0.0,0,1,0,0,0,2,2020-2021
   Filip Malbašić,24,rs SRB,FW,27-307,22,2,4,50.0,35,11,1,1,100.0,1,3,33.3,0,0,,1,0.6,0.0,1,1,0,0,1,2,2020-2021
Jorge Pombo,11,es ESP,LW,26-211,90,10,15,66.7,147,36,6,7,85.7,4,5,80.0,0,3,0.0,0,0.0,0.0,0,0,1,0,1,2,2020-2021
Salvi,7,es ESP,RW,29-174,80,9,19,47.4,175,41,5,8,62.5,2,5,40.0,2,5,40.0,0,0.1,0.0,1,1,0,0,1,2,2020-2021
   Iván Alejo,14,es ESP,RW,25-223,10,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,2,2020-2021
Álex Fernández,8,es ESP,AM,27-341,90,19,28,67.9,269,77,11,12,91.7,8,11,72.7,0,4,0.0,0,0.0,0.0,0,2,0,0,1,2,2020-2021
Jens Jønsson,2,dk DEN,DM,27-254,45,11,15,73.3,171,12,6,10,60.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,2,2020-2021
   Yann Bodiger,12,fr FRA,DM,25-224,45,7,14,50.0,129,52,3,5,60.0,2,4,50.0,2,4,50.0,0,0.0,0.0,1,2,0,0,1,2,2020-2021
José Mari,6,es ESP,DM,32-289,63,13,20,65.0,295,78,4,6,66.7,6,7,85.7,3,6,50.0,0,0.0,0.1,1,4,0,0,1,2,2020-2021
   Augusto Fernández,17,ar ARG,DM,34-163,27,1,3,33.3,15,0,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,2,2020-2021
Alfonso Espino,22,uy URU,LB,28-259,90,18,29,62.1,374,240,5,6,83.3,11,16,68.8,2,6,33.3,0,0.0,0.0,0,1,0,0,3,2,2020-2021
Cala,16,es ESP,CB,30-299,45,10,11,90.9,263,42,2,2,100.0,5,5,100.0,3,4,75.0,0,0.0,0.0,0,0,0,0,1,2,2020-2021
   Fali,3,es ESP,CB,27-039,45,9,12,75.0,227,100,3,3,100.0,4,4,100.0,2,5,40.0,0,0.0,0.0,0,1,0,0,1,2,2020-2021
Marcos Mauro López Gutiérrez,4,ar ARG,CB,29-255,90,16,21,76.2,318,75,5,6,83.3,10,12,83.3,1,2,50.0,0,0.0,0.0,0,0,0,0,0,2,2020-2021
Isaac Carcelen,20,es ESP,RB,27-150,90,23,36,63.9,474,286,9,12,75.0,10,15,66.7,4,9,44.4,0,0.0,0.0,0,2,1,1,3,2,2020-2021
Alberto Cifuentes,1,es ESP,GK,41-114,90,8,35,22.9,459,407,0,0,,0,0,,8,35,22.9,0,0.0,0.0,0,0,0,0,0,2,2020-2021
Roberto Soldado,9,es ESP,FW,35-116,83,13,25,52.0,250,26,7,10,70.0,2,3,66.7,3,6,50.0,0,0.0,0.0,0,2,0,0,2,2,2020-2021
   Jorge Molina,23,es ESP,FW,38-151,7,3,3,100.0,69,26,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,2,2,2020-2021
Darwin Machís,11,ve VEN,LW,27-226,83,13,24,54.2,269,135,5,6,83.3,5,9,55.6,2,6,33.3,1,1.0,0.6,3,1,0,0,0,2,2020-2021
   Germán Sánchez,6,es ESP,CB,33-283,7,3,6,50.0,65,35,0,0,,3,5,60.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,2,2020-2021
Antonio Puertas,10,es ESP,RW,28-212,63,14,17,82.4,198,36,9,10,90.0,5,5,100.0,0,2,0.0,0,0.0,0.0,0,1,0,0,1,2,2020-2021
   Ángel Montoro,19,es ESP,"RW,CM",32-087,27,8,12,66.7,130,44,5,6,83.3,2,4,50.0,1,1,100.0,0,0.3,0.2,1,0,1,1,0,2,2020-2021
Yangel Herrera,21,ve VEN,AM,22-250,63,16,23,69.6,235,63,8,9,88.9,3,7,42.9,3,4,75.0,0,0.0,0.2,0,3,0,0,3,2,2020-2021
   Kenedy,24,br BRA,"AM,LM",24-225,27,4,8,50.0,43,1,3,4,75.0,1,3,33.3,0,1,0.0,0,0.0,0.0,0,0,0,0,0,2,2020-2021
Maxime Gonalons,4,fr FRA,"DM,CM",31-194,90,42,51,82.4,824,227,16,22,72.7,21,24,87.5,4,4,100.0,0,0.0,0.0,0,3,0,0,4,2,2020-2021
Luis Milla,5,es ESP,"DM,RM",25-349,89,41,50,82.0,768,340,14,15,93.3,22,27,81.5,5,7,71.4,0,0.1,0.2,1,2,1,0,5,2,2020-2021
   Víctor Díaz,16,es ESP,RB,32-100,1,3,6,50.0,79,41,0,2,0.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,2,2020-2021
Carlos Neva,15,es ESP,LB,24-100,90,25,31,80.6,446,122,13,15,86.7,9,11,81.8,3,5,60.0,0,0.0,0.0,0,1,1,1,0,2,2020-2021
Domingos Duarte,22,pt POR,CB,25-194,90,42,48,87.5,735,262,15,16,93.8,24,26,92.3,3,5,60.0,0,0.0,0.0,0,3,0,0,5,2,2020-2021
Jesús Vallejo,20,es ESP,CB,23-259,90,31,44,70.5,688,231,10,13,76.9,12,12,100.0,9,16,56.3,0,0.0,0.0,0,0,0,0,0,2,2020-2021
Dimitri Foulquier,2,fr FRA,"RB,RM",27-181,90,37,48,77.1,517,252,22,26,84.6,15,17,88.2,0,2,0.0,0,0.0,0.1,0,1,1,0,4,2,2020-2021
Rui Silva,1,pt POR,GK,26-226,90,18,32,56.3,521,355,2,2,100.0,12,12,100.0,4,18,22.2,0,0.0,0.0,0,1,0,0,0,2,2020-2021
Deyverson,14,br BRA,FW,29-135,90,10,28,35.7,228,54,3,12,25.0,6,7,85.7,1,6,16.7,0,0.0,0.0,0,2,0,0,1,2,2020-2021
Joselu,9,es ESP,"FW,RW",30-177,90,19,31,61.3,401,78,8,10,80.0,4,10,40.0,5,6,83.3,0,0.0,0.0,1,2,0,0,2,2,2020-2021
Pere Pons,20,es ESP,"CM,LM",27-213,90,14,16,87.5,193,55,7,7,100.0,6,8,75.0,0,0,,0,0.0,0.0,0,3,1,0,4,2,2020-2021
Rodrigo Battaglia,6,ar ARG,CM,29-070,90,32,39,82.1,523,80,15,17,88.2,14,15,93.3,2,5,40.0,0,0.0,0.0,0,2,0,0,2,2,2020-2021
Abdallahi Mahmoud,30,mr MTN,CM,20-139,45,3,4,75.0,50,10,2,2,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,2,2020-2021
   Rubén Duarte,3,es ESP,LB,24-338,45,20,31,64.5,393,253,8,10,80.0,9,15,60.0,3,5,60.0,0,0.5,0.4,1,4,1,1,3,2,2020-2021
Luis Rioja,11,es ESP,"WB,LM",26-340,71,20,29,69.0,351,150,10,11,90.9,7,10,70.0,2,4,50.0,0,0.1,0.1,1,1,2,1,2,2,2020-2021
