player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Édgar Badía,es ESP,28-305,90,5,1,4,80.0,1.7,2,7,28.6,22,6,18.2,31.6,7,42.9,27.7,15,0,0.0,0,2.0,13,2020-2021
Rui Silva,pt POR,26-310,90,1,0,1,100.0,0.2,9,18,50.0,20,1,70.0,45.2,5,80.0,52.2,18,0,0.0,1,18.5,13,2020-2021
Marc-André ter Stegen,de GER,28-227,90,3,0,3,100.0,0.6,6,6,100.0,22,6,18.2,25.8,6,33.3,32.3,6,0,0.0,1,40.0,13,2020-2021
Aitor Fernández,es ESP,29-224,90,13,1,12,92.3,2.4,9,18,50.0,31,7,51.6,39.0,11,18.2,21.4,18,1,5.6,2,12.3,13,2020-2021
Rubén Blanco,es ESP,25-142,90,2,0,2,100.0,1.0,4,18,22.2,37,7,29.7,31.5,8,87.5,50.8,21,0,0.0,2,14.5,13,2020-2021
Jeremías Ledesma,ar ARG,27-305,90,4,4,0,25.0,1.7,11,25,44.0,28,1,75.0,48.0,4,100.0,67.5,2,0,0.0,2,19.0,13,2020-2021
Thibaut Courtois,be BEL,28-218,90,4,1,3,75.0,0.6,3,3,100.0,20,6,10.0,27.8,6,16.7,29.7,11,2,18.2,0,9.3,19,2020-2021
Unai Simón,es ESP,23-187,90,5,3,2,40.0,2.0,10,31,32.3,30,5,63.3,44.3,12,100.0,64.5,15,1,6.7,0,4.5,19,2020-2021
Marc-André ter Stegen,de GER,28-230,90,5,1,4,80.0,1.7,11,20,55.0,34,2,47.1,39.1,4,100.0,60.5,5,0,0.0,1,11.5,19,2020-2021
Álex Remiro,es ESP,25-267,90,4,2,2,50.0,1.1,13,25,52.0,38,4,57.9,39.4,5,60.0,43.6,3,0,0.0,0,7.3,19,2020-2021
Unai Simón,es ESP,23-190,90,1,0,1,100.0,0.1,3,5,60.0,21,7,19.0,25.7,1,100.0,70.0,13,3,23.1,0,4.0,14,2020-2021
Álvaro Fernández,es ESP,22-249,90,3,2,1,66.7,1.7,5,20,25.0,45,6,35.6,34.6,8,50.0,38.8,16,1,6.3,0,6.3,14,2020-2021
Jan Oblak,si SVN,27-347,90,3,1,2,66.7,0.8,3,4,75.0,14,2,21.4,31.1,6,16.7,28.5,12,0,0.0,1,21.0,14,2020-2021
Édgar Badía,es ESP,28-311,90,6,3,3,66.7,2.8,2,4,50.0,23,4,13.0,26.1,9,11.1,22.8,9,0,0.0,2,22.7,14,2020-2021
Marc-André ter Stegen,de GER,28-233,90,4,2,2,50.0,1.8,5,9,55.6,25,5,32.0,32.0,8,12.5,22.6,7,1,14.3,0,3.0,14,2020-2021
Jaume Doménech,es ESP,30-044,90,9,2,6,77.8,2.3,10,19,52.6,19,1,57.9,43.2,9,88.9,61.6,16,0,0.0,1,20.5,14,2020-2021
Rubén,es ESP,36-180,90,6,3,3,50.0,2.8,20,30,66.7,25,1,88.0,54.4,8,100.0,61.0,5,0,0.0,2,21.0,14,2020-2021
Sergio Asenjo,es ESP,31-174,90,1,1,0,100.0,1.0,4,12,33.3,25,8,24.0,28.0,8,75.0,50.9,15,2,13.3,0,5.0,14,2020-2021
Aitor Fernández,es ESP,29-230,90,5,1,4,80.0,0.5,7,13,53.8,33,12,30.3,32.5,10,30.0,28.3,22,1,4.5,2,16.0,14,2020-2021
Álex Remiro,es ESP,25-270,90,5,2,3,60.0,2.1,7,11,63.6,27,6,22.2,30.8,6,83.3,61.8,9,1,11.1,2,13.2,14,2020-2021
