player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Édgar Badía,es ESP,29-022,90,3,1,2,66.7,1.2,15,24,62.5,21,4,61.9,43.1,13,84.6,49.1,11,1,9.1,0,7.0,26,2020-2021
Tomáš Vaclík,cz CZE,31-342,90,3,2,1,33.3,2.1,2,4,50.0,16,2,18.8,24.2,7,14.3,24.9,18,0,0.0,0,12.0,26,2020-2021
Jeremías Ledesma,ar ARG,28-021,90,1,0,0,100.0,1.0,18,33,54.5,19,0,100.0,56.7,14,100.0,66.7,36,0,0.0,0,3.0,26,2020-2021
Marko Dmitrović,rs SRB,29-041,90,2,1,1,50.0,0.8,3,8,37.5,14,3,28.6,30.6,9,44.4,37.1,8,0,0.0,1,18.0,26,2020-2021
Sergio Herrera,es ESP,27-274,90,6,2,4,66.7,1.0,9,19,47.4,26,5,50.0,40.2,7,85.7,55.7,7,0,0.0,0,,26,2020-2021
Marc-André ter Stegen,de GER,28-310,90,3,0,3,100.0,0.4,2,4,50.0,29,6,10.3,22.9,7,14.3,21.3,20,1,5.0,1,12.0,26,2020-2021
Álvaro Fernández,es ESP,22-328,90,7,4,3,42.9,2.6,5,11,45.5,27,8,33.3,34.2,6,33.3,26.0,9,1,11.1,1,18.0,26,2020-2021
Rubén Blanco,es ESP,25-225,44,2,2,,0.0,1.0,2,6,33.3,13,4,23.1,27.5,4,75.0,51.5,9,1,11.1,1,14.0,26,2020-2021
Iván Villar,es ESP,23-241,46,3,1,2,66.7,0.8,3,16,18.8,18,5,44.4,36.9,8,100.0,68.5,15,0,0.0,0,12.0,26,2020-2021
Jan Oblak,si SVN,28-059,90,8,1,7,87.5,1.7,8,24,33.3,22,1,72.7,48.1,9,88.9,56.2,18,0,0.0,0,11.0,26,2020-2021
Thibaut Courtois,be BEL,28-300,90,5,1,4,80.0,1.6,0,4,0.0,29,8,10.3,25.0,7,14.3,29.0,5,0,0.0,3,28.0,26,2020-2021
Álex Remiro,es ESP,25-348,90,1,0,1,100.0,0.2,4,11,36.4,17,0,52.9,45.8,2,100.0,65.0,11,0,0.0,0,5.0,26,2020-2021
Cárdenas,es ESP,23-344,90,7,1,6,85.7,3.2,8,18,44.4,29,7,37.9,32.5,13,53.8,42.8,18,0,0.0,1,13.0,26,2020-2021
Unai Simón,es ESP,23-269,90,3,1,2,66.7,1.1,2,10,20.0,20,9,25.0,27.8,8,62.5,49.6,22,4,18.2,0,6.3,26,2020-2021
Rui Silva,pt POR,27-028,90,5,2,2,60.0,2.0,12,19,63.2,18,2,72.2,43.0,8,75.0,46.0,17,0,0.0,1,26.5,26,2020-2021
Joel Robles,es ESP,30-264,90,3,2,1,33.3,1.4,2,5,40.0,22,8,22.7,27.9,3,0.0,21.7,6,0,0.0,0,9.5,26,2020-2021
Fernando Pacheco,es ESP,28-294,90,7,3,4,71.4,2.7,10,21,47.6,19,2,73.7,48.6,10,70.0,43.8,23,0,0.0,0,,26,2020-2021
Jan Oblak,si SVN,28-062,90,2,1,1,50.0,0.9,9,16,56.3,21,5,52.4,37.4,9,55.6,43.2,14,0,0.0,2,34.0,18,2020-2021
Unai Simón,es ESP,23-272,90,5,2,3,80.0,1.6,1,6,16.7,18,7,27.8,34.2,5,20.0,31.0,9,0,0.0,1,21.5,18,2020-2021
Aitor Fernández,es ESP,29-313,90,2,0,2,100.0,0.2,1,12,8.3,16,2,43.8,42.2,6,83.3,57.3,12,0,0.0,0,10.0,27,2020-2021
Jasper Cillessen,nl NED,31-324,90,3,1,2,66.7,0.3,3,11,27.3,24,5,37.5,31.7,9,22.2,31.1,11,1,9.1,5,23.7,27,2020-2021
