player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Sergi Enrich,9,es ESP,FW,30-199,67,0,0,0,1,2,0,0,0,1,0,0,0,5,3,6,33.3,1,2020-2021
   Recio,18,es ESP,CM,29-245,23,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,100.0,1,2020-2021
Kiké,17,es ESP,FW,30-292,90,0,0,0,2,4,0,4,0,2,0,0,0,8,12,7,63.2,1,2020-2021
Takashi Inui,14,jp JPN,LM,32-102,60,0,0,0,2,0,0,3,0,1,0,0,0,5,0,0,,1,2020-2021
   Damian Kądzior,19,pl POL,"LW,RW,LM",28-088,30,0,0,0,1,1,0,3,0,0,0,0,0,4,0,1,0.0,1,2020-2021
Edu Expósito,10,es ESP,CM,24-042,90,0,0,0,3,2,0,0,0,1,0,0,0,8,2,3,40.0,1,2020-2021
Papakouli Diop,8,sn SEN,CM,34-177,86,2,1,1,2,1,0,0,1,3,0,0,0,6,3,2,60.0,1,2020-2021
Pedro León,21,es ESP,"RM,RW",33-293,83,0,0,0,1,0,0,7,0,0,0,0,0,3,1,0,100.0,1,2020-2021
   Rafa Soares,11,pt POR,LW,25-126,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,2020-2021
Pedro Bigas,3,es ESP,LB,29-363,90,1,0,0,3,0,0,1,0,1,0,0,0,4,7,1,87.5,1,2020-2021
Paulo Oliveira,4,pt POR,CB,28-248,90,0,0,0,0,0,0,0,3,1,0,0,0,4,5,1,83.3,1,2020-2021
Sergio Álvarez,6,es ESP,CB,28-233,90,1,0,0,2,0,0,0,1,2,0,0,0,3,3,3,50.0,1,2020-2021
Rober Correa,20,es ESP,RB,27-358,90,0,0,0,0,2,0,1,0,1,0,0,0,3,5,0,100.0,1,2020-2021
Marko Dmitrović,1,rs SRB,GK,28-232,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,2020-2021
Iago Aspas,10,es ESP,FW,33-042,90,0,0,0,0,2,0,1,0,0,0,0,0,4,0,5,0.0,1,2020-2021
Nolito,9,es ESP,LW,33-333,90,1,0,0,2,0,0,2,1,0,0,0,0,9,0,3,0.0,1,2020-2021
Emre Mor,11,tr TUR,RW,23-050,85,0,0,0,0,3,3,1,0,1,0,0,0,4,2,4,33.3,1,2020-2021
   Santi Mina,22,es ESP,RW,24-280,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,100.0,1,2020-2021
Renato Tapia,14,pe PER,LM,25-046,90,0,0,0,2,1,0,0,3,0,0,0,0,2,2,8,20.0,1,2020-2021
Okay Yokuşlu,5,tr TUR,CM,26-187,90,1,0,0,4,2,0,0,1,0,0,0,0,6,7,3,70.0,1,2020-2021
Brais Méndez,23,es ESP,RM,23-249,76,0,0,0,1,2,1,1,2,1,0,0,0,6,1,9,10.0,1,2020-2021
   Miguel Baeza,27,es ESP,RM,20-169,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,1,2020-2021
Lucas Olaza,15,uy URU,LB,26-053,90,1,0,0,1,3,0,5,1,1,0,0,0,6,2,1,66.7,1,2020-2021
Néstor Araujo,4,mx MEX,CB,29-014,90,0,0,0,1,0,0,0,2,1,0,0,0,2,4,1,80.0,1,2020-2021
Joseph Aidoo,18,gh GHA,CB,24-349,90,0,0,0,0,0,0,0,1,3,0,0,0,6,3,7,30.0,1,2020-2021
