player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Aitor Fernández,es ESP,29-252,90,4,1,3,75.0,0.5,3,11,27.3,32,5,25.0,32.0,15,20.0,25.2,21,0,0.0,0,16.0,18,2020-2021
Marko Dmitrović,rs SRB,28-352,90,2,2,0,0.0,1.4,8,23,34.8,26,2,80.8,57.6,2,100.0,83.5,12,0,0.0,2,19.7,18,2020-2021
Jeremías Ledesma,ar ARG,27-332,90,2,1,1,100.0,1.1,7,22,31.8,26,3,61.5,42.8,6,100.0,64.0,13,2,15.4,1,17.2,18,2020-2021
Fernando Pacheco,es ESP,28-237,90,7,3,4,57.1,2.6,5,10,50.0,21,6,33.3,31.6,3,100.0,62.0,13,1,7.7,1,12.0,18,2020-2021
Jordi Masip,es ESP,32-007,90,6,1,5,83.3,1.2,8,24,33.3,21,2,71.4,44.1,9,100.0,67.7,16,0,0.0,0,4.0,18,2020-2021
Jaume Doménech,es ESP,30-066,90,4,0,4,100.0,0.3,13,27,48.1,38,5,63.2,40.9,6,50.0,45.5,13,0,0.0,0,,18,2020-2021
Édgar Badía,es ESP,28-334,90,7,3,4,71.4,3.6,6,9,66.7,25,8,20.0,27.5,6,66.7,38.5,13,0,0.0,0,8.7,18,2020-2021
Rubén Yáñez,es ESP,27-091,90,4,1,3,75.0,1.4,3,6,50.0,16,4,37.5,34.3,2,0.0,19.5,9,0,0.0,0,7.0,18,2020-2021
Álvaro Fernández,es ESP,22-273,90,5,2,3,60.0,1.3,4,4,100.0,27,7,14.8,28.4,6,0.0,23.0,14,0,0.0,0,4.0,18,2020-2021
Claudio Bravo,cl CHI,37-273,90,3,0,3,100.0,0.6,9,21,42.9,24,4,62.5,45.3,8,75.0,51.5,11,0,0.0,0,20.0,18,2020-2021
Rui Silva,pt POR,26-340,90,3,0,3,100.0,0.4,10,26,38.5,26,1,76.9,49.8,6,100.0,60.2,15,0,0.0,1,16.5,4,2020-2021
Sergio Herrera,es ESP,27-221,90,3,2,1,33.3,1.0,5,21,23.8,26,4,73.1,42.8,3,66.7,49.0,6,0,0.0,3,22.8,4,2020-2021
Jan Oblak,si SVN,28-005,90,2,0,2,100.0,0.9,14,24,58.3,17,1,70.6,43.3,13,92.3,53.4,27,0,0.0,0,8.0,1,2020-2021
Yassine Bounou,ma MAR,29-282,90,4,2,2,50.0,1.0,2,4,50.0,19,4,21.1,26.8,0,,,8,0,0.0,0,,1,2020-2021
Jordi Masip,es ESP,32-016,90,3,2,1,33.3,1.7,5,8,62.5,18,6,38.9,31.4,4,25.0,35.8,10,0,0.0,3,19.8,19,2020-2021
Édgar Badía,es ESP,28-342,90,2,2,0,0.0,0.8,9,17,52.9,24,4,37.5,35.6,12,66.7,44.6,13,0,0.0,0,4.7,19,2020-2021
Jeremías Ledesma,ar ARG,27-341,90,5,2,3,60.0,2.1,9,23,39.1,19,1,84.2,52.9,7,100.0,65.7,7,0,0.0,0,16.3,19,2020-2021
Aitor Fernández,es ESP,29-261,90,2,2,0,0.0,1.2,2,5,40.0,22,0,18.2,26.5,6,16.7,26.0,17,0,0.0,2,22.3,19,2020-2021
Fernando Pacheco,es ESP,28-246,90,3,2,1,33.3,1.6,4,13,30.8,21,2,52.4,41.8,2,100.0,63.5,7,0,0.0,0,10.0,19,2020-2021
Yassine Bounou,ma MAR,29-289,90,3,1,1,66.7,1.5,8,17,47.1,30,1,46.7,37.5,5,60.0,48.6,12,0,0.0,0,12.5,19,2020-2021
