player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Claudio Bravo,cl CHI,37-340,90,1,0,1,100.0,0.0,4,18,22.2,26,6,50.0,41.5,5,100.0,73.4,11,1,9.1,0,6.0,28,2020-2021
Aitor Fernández,es ESP,29-320,90,6,2,4,66.7,1.7,2,6,33.3,34,8,17.6,28.2,7,0.0,16.0,9,1,11.1,2,12.0,28,2020-2021
Unai Simón,es ESP,23-282,90,2,1,1,50.0,0.9,6,7,85.7,20,4,25.0,28.6,5,40.0,37.4,11,0,0.0,0,14.0,28,2020-2021
Marko Dmitrović,rs SRB,29-055,90,4,1,3,75.0,1.0,10,26,38.5,22,2,77.3,50.5,9,100.0,72.3,18,1,5.6,1,13.5,28,2020-2021
Iván Villar,es ESP,23-254,90,4,3,1,25.0,1.8,3,7,42.9,23,5,17.4,28.0,8,37.5,34.4,10,0,0.0,1,14.0,28,2020-2021
Thibaut Courtois,be BEL,28-313,90,3,1,2,66.7,0.6,3,14,21.4,37,7,29.7,35.4,6,50.0,42.3,7,0,0.0,1,19.0,28,2020-2021
Andrés Fernández,es ESP,34-093,90,2,0,2,100.0,0.4,7,20,35.0,27,5,66.7,43.6,6,33.3,35.2,9,0,0.0,0,,28,2020-2021
Juan Pérez,es ESP,24-248,90,3,0,3,100.0,0.2,2,20,10.0,13,2,46.2,41.5,14,100.0,61.8,22,0,0.0,1,10.8,28,2020-2021
Roberto,es ESP,35-038,90,4,1,3,75.0,0.5,7,25,28.0,22,0,72.7,46.2,9,100.0,62.3,23,1,4.3,0,6.5,28,2020-2021
Yassine Bounou,ma MAR,29-349,90,2,1,1,100.0,1.0,6,10,60.0,30,4,23.3,32.5,4,75.0,44.0,11,1,9.1,5,27.8,28,2020-2021
David Soria,es ESP,27-351,90,2,1,1,50.0,1.0,17,31,54.8,22,1,95.5,53.7,10,100.0,63.4,24,0,0.0,3,26.5,28,2020-2021
Édgar Badía,es ESP,29-037,90,5,1,3,80.0,2.8,15,28,53.6,27,6,74.1,46.2,9,88.9,57.7,17,2,11.8,0,4.7,28,2020-2021
Jasper Cillessen,nl NED,31-333,90,3,1,2,66.7,1.1,4,19,21.1,21,5,52.4,43.8,13,61.5,48.8,15,0,0.0,0,,28,2020-2021
Rui Silva,pt POR,27-042,90,8,2,6,75.0,1.9,13,26,50.0,31,5,61.3,42.6,7,100.0,63.4,13,0,0.0,3,16.5,28,2020-2021
Sergio Asenjo,es ESP,31-266,90,3,1,2,66.7,1.0,2,5,40.0,19,5,10.5,22.1,8,37.5,37.6,25,2,8.0,1,11.5,28,2020-2021
Jeremías Ledesma,ar ARG,28-036,90,4,2,2,75.0,2.4,8,22,36.4,18,2,77.8,50.7,9,88.9,61.2,13,0,0.0,0,5.0,28,2020-2021
Jan Oblak,si SVN,28-073,90,3,0,2,100.0,1.3,5,15,33.3,19,2,47.4,36.9,9,66.7,47.4,9,0,0.0,2,20.5,28,2020-2021
Fernando Pacheco,es ESP,28-307,90,4,1,3,75.0,1.2,8,20,40.0,24,4,66.7,43.8,7,57.1,45.4,14,0,0.0,0,4.0,28,2020-2021
Álex Remiro,es ESP,25-362,90,10,6,4,40.0,4.8,5,13,38.5,22,2,54.5,43.8,2,50.0,37.0,2,1,50.0,1,8.7,28,2020-2021
Marc-André ter Stegen,de GER,28-325,90,5,1,4,80.0,1.2,2,12,16.7,51,3,21.6,28.2,1,100.0,46.0,2,0,0.0,2,23.3,28,2020-2021
