player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Ángel Rodríguez,22,es ESP,FW,34-184,78,0,0,0,0,4,2,0,0,23,0,0,0,0.8,0.8,0.1,4,1,13,17,76.5,4,16,2,4,4,11,2021-2022
   Fernando Niño,26,es ESP,FW,21-003,12,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,0,0,11,2021-2022
Amath,23,sn SEN,"FW,LW",25-103,77,0,0,0,0,0,0,0,0,21,1,3,1,0.0,0.0,0.0,1,0,11,14,78.6,0,13,3,4,3,11,2021-2022
   Jaume Costa,18,es ESP,LW,33-223,12,0,0,0,0,0,0,0,1,8,0,0,0,0.0,0.0,0.0,0,0,4,8,50.0,0,3,0,0,0,11,2021-2022
Dani Rodríguez,14,es ESP,"LM,RW",33-143,89,0,0,0,0,2,0,0,0,40,2,2,0,0.1,0.1,0.0,2,1,25,34,73.5,3,24,2,3,3,11,2021-2022
   Joan Sastre Vanrell,2,es ESP,RW,24-180,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,11,2021-2022
Iddrisu Baba,12,gh GHA,"CM,RM",25-278,90,0,0,0,0,1,0,0,0,38,3,0,0,0.1,0.1,0.0,0,0,20,22,90.9,0,20,0,1,1,11,2021-2022
Iñigo Ruiz de Galarreta,4,es ESP,"CM,LM",28-082,77,0,0,0,0,2,1,0,0,34,0,1,1,0.3,0.3,0.0,1,0,20,26,76.9,4,16,0,2,2,11,2021-2022
   Salva Sevilla,8,es ESP,LM,37-223,13,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,2,0,0,0,11,2021-2022
Antonio Sánchez,10,es ESP,RM,24-299,71,1,0,0,0,2,1,1,0,31,1,1,0,0.3,0.3,0.1,2,0,16,24,66.7,3,16,3,3,1,11,2021-2022
   Aleksandar Sedlar,20,rs SRB,"CM,RM",29-318,19,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,5,0,0,0,11,2021-2022
