Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Marc-André ter Stegen,de GER,29-232,90,3,2,1,33.3,0.7,2,2,100.0,32,3,6.3,21.2,4,0.0,21.8,5,0,0.0,0,21.0,18,2021-2022
Édgar Badía,es ESP,29-309,90,7,3,4,57.1,2.4,8,21,38.1,22,5,68.2,43.1,9,66.7,44.2,10,1,10.0,0,9.0,18,2021-2022
Yassine Bounou,ma MAR,30-257,90,3,1,2,66.7,0.5,2,7,28.6,29,3,17.2,27.5,8,25.0,30.0,15,0,0.0,0,9.0,18,2021-2022
Jan Oblak,si SVN,28-345,90,2,2,0,0.0,1.0,6,24,25.0,26,4,53.8,39.2,10,100.0,59.1,12,0,0.0,0,6.0,18,2021-2022
Luís Maximiano,pt POR,22-348,90,5,1,4,80.0,1.2,6,25,24.0,32,5,62.5,46.0,6,83.3,59.2,11,0,0.0,1,20.0,18,2021-2022
Manolo Reina,es ESP,36-262,90,6,4,2,33.3,2.4,4,15,26.7,24,6,45.8,35.2,11,36.4,37.4,18,0,0.0,1,33.0,18,2021-2022
Julen Agirrezabala,es ESP,20-358,90,8,2,6,75.0,2.1,3,11,27.3,16,1,43.8,34.0,5,80.0,52.2,15,0,0.0,0,10.5,18,2021-2022
Rui Silva,pt POR,27-315,90,6,3,3,50.0,1.9,4,11,36.4,20,1,45.0,36.0,5,40.0,40.8,15,0,0.0,0,7.5,18,2021-2022
David Soria,es ESP,28-259,90,3,0,3,100.0,0.6,12,27,44.4,23,2,87.0,50.2,8,87.5,54.6,16,2,12.5,0,9.5,18,2021-2022
Sergio Herrera,es ESP,28-197,90,3,1,2,66.7,1.4,11,31,35.5,32,2,65.6,42.8,12,83.3,56.3,18,0,0.0,2,31.3,18,2021-2022
Thibaut Courtois,be BEL,29-222,90,0,0,0,,0.0,3,4,75.0,17,5,11.8,19.6,9,22.2,28.7,7,0,0.0,3,24.5,18,2021-2022
Jeremías Ledesma,ar ARG,28-309,90,9,0,9,100.0,2.3,6,41,14.6,22,1,90.9,57.0,21,100.0,68.2,25,3,12.0,0,8.4,18,2021-2022
Cárdenas,es ESP,24-267,90,8,4,4,62.5,2.9,5,10,50.0,24,7,37.5,33.6,7,14.3,27.3,8,1,12.5,1,11.3,18,2021-2022
Jasper Cillessen,nl NED,32-242,90,9,3,5,66.7,3.4,5,14,35.7,25,3,48.0,37.4,5,40.0,35.4,15,0,0.0,0,13.5,18,2021-2022
Gerónimo Rulli,ar ARG,29-215,90,2,2,0,0.0,0.3,2,3,66.7,26,2,7.7,24.2,7,14.3,30.7,13,0,0.0,2,27.0,4,2021-2022
Fernando Pacheco,es ESP,29-217,90,10,5,5,50.0,5.0,13,23,56.5,30,4,50.0,42.4,10,80.0,50.9,11,1,9.1,1,12.5,4,2021-2022
Yassine Bounou,ma MAR,30-260,90,7,1,6,85.7,1.4,10,18,55.6,29,3,37.9,37.3,9,77.8,43.8,20,2,10.0,0,4.7,4,2021-2022
Marc-André ter Stegen,de GER,29-235,90,1,1,0,0.0,0.3,1,5,20.0,34,3,8.8,26.0,7,28.6,27.4,6,1,16.7,2,15.0,4,2021-2022
Luís Maximiano,pt POR,22-351,90,3,1,2,66.7,0.6,7,22,31.8,24,4,66.7,45.5,10,60.0,43.0,18,1,5.6,1,18.2,9,2021-2022
Jan Oblak,si SVN,28-349,90,4,2,2,50.0,1.6,7,12,58.3,24,5,37.5,30.5,3,100.0,60.3,8,0,0.0,0,,9,2021-2022
