Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Manolo Reina,es ESP,36-148,90,3,0,3,100.0,0.3,6,12,50.0,18,3,44.4,39.2,10,40.0,29.0,7,0,0.0,0,14.5,3,2021-2022
Diego López,es ESP,39-297,90,6,1,5,83.3,1.6,0,4,0.0,18,4,16.7,26.6,6,16.7,25.7,5,0,0.0,1,13.5,3,2021-2022
Giorgi Mamardashvili,ge GEO,20-332,90,2,0,2,100.0,0.3,3,17,17.6,23,4,56.5,42.8,5,80.0,57.6,12,0,0.0,0,13.0,3,2021-2022
Fernando Pacheco,es ESP,29-101,90,4,3,1,25.0,2.9,10,21,47.6,30,3,50.0,37.6,8,75.0,52.0,13,1,7.7,0,4.0,3,2021-2022
Matías Dituro,ar ARG,34-112,90,2,1,1,50.0,1.1,12,25,48.0,36,3,58.3,42.7,6,66.7,55.7,13,0,0.0,2,25.0,3,2021-2022
Unai Simón,es ESP,24-078,90,0,0,0,,0.0,10,26,38.5,24,4,66.7,51.8,13,76.9,48.2,20,1,5.0,2,18.3,3,2021-2022
Álex Remiro,es ESP,26-157,90,0,0,0,,0.0,8,14,57.1,24,3,41.7,38.9,7,57.1,42.6,11,3,27.3,0,4.7,3,2021-2022
Cárdenas,es ESP,24-153,90,2,1,1,50.0,0.2,4,10,40.0,33,7,24.2,29.5,7,28.6,26.3,4,0,0.0,2,22.7,3,2021-2022
Kiko Casilla,es ESP,34-330,90,5,1,4,80.0,0.5,11,28,39.3,18,3,66.7,46.8,16,100.0,62.8,25,1,4.0,0,11.3,3,2021-2022
Yassine Bounou,ma MAR,30-145,90,4,1,3,75.0,0.3,0,2,0.0,18,4,5.6,21.3,4,25.0,34.5,11,1,9.1,2,17.5,3,2021-2022
Rui Silva,pt POR,27-202,90,3,1,2,66.7,0.5,4,10,40.0,25,4,32.0,31.6,8,25.0,31.3,13,0,0.0,1,18.5,3,2021-2022
Thibaut Courtois,be BEL,29-109,90,6,0,6,100.0,0.8,5,13,38.5,33,6,36.4,34.9,4,25.0,23.0,10,0,0.0,2,23.0,3,2021-2022
Marc-André ter Stegen,de GER,29-121,90,3,1,2,66.7,0.2,7,16,43.8,40,2,30.0,30.3,7,57.1,39.6,7,1,14.3,2,17.3,3,2021-2022
David Soria,es ESP,28-147,90,3,2,1,33.3,0.4,10,22,45.5,33,1,60.6,40.5,3,66.7,45.0,5,0,0.0,0,12.7,3,2021-2022
Stole Dimitrievski,mk MKD,27-247,90,3,0,3,100.0,0.4,7,17,41.2,21,7,57.1,41.4,5,100.0,68.4,13,0,0.0,2,13.8,3,2021-2022
Aarón Escandell,es ESP,25-336,90,6,4,2,50.0,2.0,9,24,37.5,30,7,56.7,38.8,10,70.0,48.9,12,0,0.0,1,8.3,3,2021-2022
Jeremías Ledesma,ar ARG,28-197,90,4,3,1,75.0,2.6,4,23,17.4,14,1,85.7,52.8,11,100.0,70.6,29,2,6.9,0,5.3,3,2021-2022
Sergio Herrera,es ESP,28-085,90,3,2,1,66.7,1.5,11,16,68.8,25,4,56.0,40.9,4,50.0,45.8,15,2,13.3,8,21.1,3,2021-2022
Jan Oblak,si SVN,28-234,90,2,2,0,0.0,0.8,1,2,50.0,13,6,15.4,28.2,1,0.0,7.0,4,0,0.0,0,,3,2021-2022
Gerónimo Rulli,ar ARG,29-101,90,3,2,2,33.3,0.9,4,15,26.7,32,3,21.9,31.9,14,57.1,52.6,29,1,3.4,2,19.6,3,2021-2022
