player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Fernando Niño,26,es ESP,FW,20-343,66,0,0,0,1,1,0,0,0,1,0,0,0,2,2,4,33.3,8,2021-2022
   Ángel Rodríguez,22,es ESP,FW,34-159,24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,8,2021-2022
Amath,23,sn SEN,LW,25-078,90,1,0,0,3,3,0,0,0,1,0,0,0,2,0,2,0.0,8,2021-2022
Dani Rodríguez,14,es ESP,RW,33-118,90,0,0,0,4,3,0,0,0,0,0,0,0,2,1,1,50.0,8,2021-2022
Lee Kang-in,19,kr KOR,AM,20-225,80,0,0,0,0,2,0,9,1,1,0,0,0,3,0,1,0.0,8,2021-2022
   Jordi Mboula,7,es ESP,AM,22-200,10,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,8,2021-2022
Iñigo Ruiz de Galarreta,4,es ESP,DM,28-057,80,0,0,0,2,3,0,2,0,2,0,0,0,6,0,0,,8,2021-2022
   Rodrigo Battaglia,16,ar ARG,DM,30-082,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,8,2021-2022
Iddrisu Baba,12,gh GHA,DM,25-253,90,1,0,0,3,1,0,1,0,0,0,0,0,8,0,2,0.0,8,2021-2022
Jaume Costa,18,es ESP,LB,33-198,88,1,0,0,1,1,0,2,1,0,0,0,0,4,0,1,0.0,8,2021-2022
   Brian Oliván,3,es ESP,LB,27-184,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,8,2021-2022
Franco Russo,5,ar ARG,CB,26-342,90,0,0,0,2,3,0,0,0,0,0,0,0,6,0,1,0.0,8,2021-2022
Martin Valjent,24,sk SVK,CB,25-295,90,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,100.0,8,2021-2022
Pablo Maffeo,15,es ESP,RB,24-082,88,0,0,0,1,5,0,3,1,1,0,0,0,1,2,2,50.0,8,2021-2022
   Joan Sastre Vanrell,2,es ESP,RB,24-155,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,8,2021-2022
Manolo Reina,1,es ESP,GK,36-184,90,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,8,2021-2022
José Luis Morales,11,es ESP,FW,34-071,90,0,0,0,0,3,2,2,0,1,0,0,0,1,1,0,100.0,8,2021-2022
Roger Martí,9,es ESP,FW,30-272,90,1,0,0,2,1,0,1,0,1,0,0,0,0,2,2,50.0,8,2021-2022
Pablo Martínez,25,es ESP,LM,23-222,85,0,0,0,4,2,0,1,3,0,0,0,0,8,1,0,100.0,8,2021-2022
   Rúben Vezo,14,pt POR,LM,27-160,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,8,2021-2022
Gonzalo Melero,22,es ESP,CM,27-273,90,1,0,0,2,4,0,1,2,1,0,0,0,6,0,0,,8,2021-2022
José Luis García Vayá,8,es ESP,CM,23-052,90,1,0,0,5,0,0,6,2,0,0,0,0,5,1,0,100.0,8,2021-2022
Jorge de Frutos,18,es ESP,RM,24-224,76,0,0,0,4,1,0,3,1,1,0,0,0,8,0,0,,8,2021-2022
   Álex Cantero,29,es ESP,RM,21-116,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,8,2021-2022
Carlos Clerc,19,es ESP,LB,29-223,45,0,0,0,1,0,0,1,1,1,0,0,0,3,0,1,0.0,8,2021-2022
   Enric Franquesa,3,es ESP,LB,24-218,45,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0.0,8,2021-2022
Rober,4,es ESP,CB,26-228,90,1,0,0,1,0,0,0,0,0,0,0,0,1,3,1,75.0,8,2021-2022
Óscar Duarte,6,cr CRC,CB,32-121,76,0,0,0,2,0,0,0,0,0,0,0,0,5,7,1,87.5,8,2021-2022
   Shkodran Mustafi,13,de GER,CB,29-168,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,8,2021-2022
Jorge Miramón,20,es ESP,RB,32-122,85,0,0,0,3,4,0,1,2,2,0,0,0,4,0,0,,8,2021-2022
   Coke,23,es ESP,RB,34-159,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,2021-2022
Aitor Fernández,1,es ESP,GK,30-152,90,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,8,2021-2022
Milutin Osmajić,29,me MNE,FW,22-069,59,0,0,0,1,1,0,1,0,1,0,0,0,1,4,4,50.0,8,2021-2022
   Iván Alejo,14,es ESP,"LM,RM",26-234,31,1,0,0,2,1,0,1,0,0,0,0,0,5,0,1,0.0,8,2021-2022
Álvaro Negredo,18,es ESP,FW,36-043,59,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,100.0,8,2021-2022
   Pedro Benito,35,es ESP,FW,21-189,31,0,0,0,3,0,0,1,0,0,0,0,0,0,0,4,0.0,8,2021-2022
Álex Fernández,8,es ESP,LM,28-352,69,0,0,0,1,1,0,1,0,3,0,0,0,3,1,0,100.0,8,2021-2022
   Martín,28,es ESP,CM,22-215,21,1,0,0,2,0,0,0,0,1,0,0,0,0,3,3,50.0,8,2021-2022
Tomás Alarcón,12,cl CHI,CM,22-256,90,1,0,0,2,1,0,4,2,0,0,0,0,6,0,1,0.0,8,2021-2022
Jens Jønsson,2,dk DEN,CM,28-265,70,0,0,0,0,0,0,0,2,1,0,0,0,5,2,1,66.7,8,2021-2022
   Chapela,27,es ESP,RM,22-134,20,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,,8,2021-2022
Salvi,7,es ESP,"RM,FW",30-186,90,0,0,0,1,4,0,1,0,2,0,0,0,3,2,0,100.0,8,2021-2022
Alfonso Espino,22,uy URU,LB,29-270,90,0,0,0,1,0,0,3,2,3,0,0,0,12,0,2,0.0,8,2021-2022
Fali,3,es ESP,CB,28-051,78,0,0,0,1,0,0,0,2,1,0,0,0,7,2,1,66.7,8,2021-2022
   Cala,16,es ESP,CB,31-310,12,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,66.7,8,2021-2022
Varazdat Haroyan,5,am ARM,CB,29-039,90,0,0,0,0,0,1,0,0,1,0,0,0,4,2,1,66.7,8,2021-2022
Isaac Carcelen,20,es ESP,RB,28-162,90,0,0,0,2,1,0,1,4,4,0,0,0,14,1,1,50.0,8,2021-2022
Jeremías Ledesma,1,ar ARG,GK,28-231,90,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0,8,2021-2022
Gonçalo Guedes,7,pt POR,FW,24-307,90,0,0,0,1,2,0,7,0,0,0,0,0,3,0,2,0.0,8,2021-2022
Marcos André,22,br BRA,FW,24-347,84,0,0,0,2,2,0,0,0,1,0,0,0,1,3,6,33.3,8,2021-2022
   Manu Vallejo,21,es ESP,FW,24-230,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,2021-2022
Hugo Duro,19,es ESP,LM,21-326,90,0,0,0,0,3,0,2,0,2,0,0,0,3,3,2,60.0,8,2021-2022
Hugo Guillamón,6,,CM,21-244,77,1,0,0,2,4,0,0,0,1,,,0,,,,,8,2021-2022
   Uroš Račić,8,rs SRB,CM,23-199,13,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,75.0,8,2021-2022
Daniel Wass,18,dk DEN,CM,32-124,90,0,0,0,0,1,0,1,2,0,0,0,0,6,2,0,100.0,8,2021-2022
Yunus Musah,4,us USA,RM,18-307,84,0,0,0,1,1,0,1,0,0,0,0,0,5,2,1,66.7,8,2021-2022
   Hélder Costa,11,ao ANG,RM,27-263,6,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0.0,8,2021-2022
Toni Lato,3,es ESP,LB,23-315,90,0,0,0,2,0,1,5,0,4,0,0,0,12,0,1,0.0,8,2021-2022
Omar Alderete,15,py PAR,CB,24-280,59,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,50.0,8,2021-2022
   Mouctar Diakhaby,12,gn GUI,CB,24-287,31,1,0,0,0,1,0,0,0,1,0,0,0,3,1,2,33.3,8,2021-2022
Gabriel Paulista,5,br BRA,CB,30-310,90,0,0,0,0,0,0,0,3,0,0,0,0,13,2,1,66.7,8,2021-2022
