Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Matchweek,Season
Jutglà,29,es ESP,FW,22-320,71,1,0,0,0,4,3,0,0,31,0,0,0,1.0,1.0,0.0,1,0,19,23,82.6,0,11,2,2,1,18,2021-2022
   Nicolás González,28,es ESP,FW,19-349,19,1,0,0,0,3,2,0,0,19,0,0,0,0.3,0.3,0.0,1,0,10,14,71.4,1,12,1,1,1,18,2021-2022
Abdessamad Ezzalzouli,33,ma MAR,LW,20-001,88,0,0,0,0,4,0,0,0,51,1,2,0,0.1,0.1,0.5,4,0,35,38,92.1,3,39,8,9,7,18,2021-2022
   Alejandro Balde,31,es ESP,LW,18-061,2,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,1,0,3,3,100.0,0,5,0,0,0,18,2021-2022
Ousmane Dembélé,7,fr FRA,RW,24-217,90,0,1,0,0,1,0,0,0,62,0,0,1,0.1,0.1,0.7,6,2,33,48,68.8,7,45,7,3,2,18,2021-2022
Gavi,30,es ESP,AM,17-135,90,1,1,0,0,4,1,0,0,77,1,1,3,0.7,0.7,0.2,6,2,61,65,93.8,8,57,5,3,2,18,2021-2022
Jordi Alba,18,es ESP,LM,32-272,90,0,0,0,0,1,0,0,0,111,1,1,1,0.0,0.0,0.1,6,0,84,102,82.4,9,47,1,1,0,18,2021-2022
Frenkie de Jong,21,nl NED,RM,24-220,75,0,0,0,0,1,1,0,0,49,0,1,0,0.4,0.4,0.0,1,0,40,47,85.1,0,24,0,0,0,18,2021-2022
   Riqui Puig,6,es ESP,RM,22-127,15,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,12,14,85.7,2,8,0,0,0,18,2021-2022
Sergio Busquets,5,es ESP,DM,33-155,90,0,0,0,0,1,0,0,0,88,2,0,1,0.0,0.0,0.0,2,0,75,83,90.4,8,31,0,0,0,18,2021-2022
Clément Lenglet,15,fr FRA,CB,26-184,90,0,1,0,0,0,0,0,0,106,5,0,1,0.0,0.0,0.2,1,1,85,97,87.6,7,67,4,0,0,18,2021-2022
Eric García,24,es ESP,CB,20-343,90,0,0,0,0,0,0,1,0,108,0,4,0,0.0,0.0,0.0,3,0,99,103,96.1,8,83,3,0,0,18,2021-2022
Ronald Araújo,4,uy URU,CB,22-286,90,0,0,0,0,0,0,0,0,78,3,0,1,0.0,0.0,0.0,1,0,67,72,93.1,6,43,2,2,2,18,2021-2022
Marc-André ter Stegen,1,de GER,GK,29-232,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,35,36,97.2,0,20,0,0,0,18,2021-2022
Jutglà,29,es ESP,FW,22-320,71,1,0,0,0,4,3,0,0,31,0,0,0,1.0,1.0,0.0,1,0,19,23,82.6,0,11,2,2,1,18,2021-2022
   Nicolás González,28,es ESP,FW,19-349,19,1,0,0,0,3,2,0,0,19,0,0,0,0.3,0.3,0.0,1,0,10,14,71.4,1,12,1,1,1,18,2021-2022
Abdessamad Ezzalzouli,33,ma MAR,LW,20-001,88,0,0,0,0,4,0,0,0,51,1,2,0,0.1,0.1,0.5,4,0,35,38,92.1,3,39,8,9,7,18,2021-2022
   Alejandro Balde,31,es ESP,LW,18-061,2,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,1,0,3,3,100.0,0,5,0,0,0,18,2021-2022
Ousmane Dembélé,7,fr FRA,RW,24-217,90,0,1,0,0,1,0,0,0,62,0,0,1,0.1,0.1,0.7,6,2,33,48,68.8,7,45,7,3,2,18,2021-2022
Gavi,30,es ESP,AM,17-135,90,1,1,0,0,4,1,0,0,77,1,1,3,0.7,0.7,0.2,6,2,61,65,93.8,8,57,5,3,2,18,2021-2022
Jordi Alba,18,es ESP,LM,32-272,90,0,0,0,0,1,0,0,0,111,1,1,1,0.0,0.0,0.1,6,0,84,102,82.4,9,47,1,1,0,18,2021-2022
Frenkie de Jong,21,nl NED,RM,24-220,75,0,0,0,0,1,1,0,0,49,0,1,0,0.4,0.4,0.0,1,0,40,47,85.1,0,24,0,0,0,18,2021-2022
   Riqui Puig,6,es ESP,RM,22-127,15,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,12,14,85.7,2,8,0,0,0,18,2021-2022
Sergio Busquets,5,es ESP,DM,33-155,90,0,0,0,0,1,0,0,0,88,2,0,1,0.0,0.0,0.0,2,0,75,83,90.4,8,31,0,0,0,18,2021-2022
Clément Lenglet,15,fr FRA,CB,26-184,90,0,1,0,0,0,0,0,0,106,5,0,1,0.0,0.0,0.2,1,1,85,97,87.6,7,67,4,0,0,18,2021-2022
Eric García,24,es ESP,CB,20-343,90,0,0,0,0,0,0,1,0,108,0,4,0,0.0,0.0,0.0,3,0,99,103,96.1,8,83,3,0,0,18,2021-2022
Ronald Araújo,4,uy URU,CB,22-286,90,0,0,0,0,0,0,0,0,78,3,0,1,0.0,0.0,0.0,1,0,67,72,93.1,6,43,2,2,2,18,2021-2022
Marc-André ter Stegen,1,de GER,GK,29-232,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,35,36,97.2,0,20,0,0,0,18,2021-2022
Iván Romero,36,es ESP,FW,20-252,53,0,0,0,0,0,0,0,0,18,2,2,1,0.0,0.0,0.0,0,0,7,9,77.8,0,10,0,3,1,18,2021-2022
   Rafa Mir,12,es ESP,FW,24-183,37,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,1,0,4,7,57.1,1,6,0,0,0,18,2021-2022
Papu Gómez,24,ar ARG,"LW,FW",33-306,83,0,0,0,0,0,0,1,0,36,0,1,2,0.0,0.0,0.0,0,0,26,31,83.9,0,28,2,4,2,18,2021-2022
   Munir El Haddadi,11,ma MAR,FW,26-108,7,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,1,2,1,0,0,18,2021-2022
Lucas Ocampos,5,ar ARG,"RW,RB",27-160,90,1,0,0,0,2,1,0,0,59,3,1,3,0.3,0.3,0.0,1,0,25,35,71.4,5,43,4,6,1,18,2021-2022
Ivan Rakitić,10,hr CRO,"LM,CM",33-283,90,1,0,0,0,2,1,0,0,72,2,1,3,0.1,0.1,0.0,2,0,41,56,73.2,3,36,0,2,0,18,2021-2022
