Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Sergio Herrera,es ESP,28-273,90,1,0,1,100.0,0.1,13,26,50.0,18,2,83.3,53.5,11,100.0,66.7,14,1,7.1,0,10.3,27,2021-2022
Gerónimo Rulli,ar ARG,29-289,90,3,1,2,66.7,0.6,1,5,20.0,45,8,11.1,24.2,11,0.0,20.8,12,1,8.3,4,20.7,27,2021-2022
Diego López,es ESP,40-122,90,3,0,3,100.0,0.4,8,22,36.4,27,4,55.6,42.0,7,100.0,58.7,19,2,10.5,0,9.5,27,2021-2022
David Soria,es ESP,28-335,90,1,2,0,-100.0,0.1,7,17,41.2,20,3,55.0,40.9,6,100.0,55.7,8,1,12.5,1,10.3,27,2021-2022
Jaume Doménech,es ESP,31-120,90,0,1,0,,0.0,8,17,47.1,21,4,57.1,40.0,10,50.0,38.4,19,1,5.3,1,12.5,27,2021-2022
Luís Maximiano,pt POR,23-059,90,4,3,1,50.0,1.3,4,14,28.6,18,2,55.6,39.9,9,44.4,37.8,17,1,5.9,0,5.0,27,2021-2022
Thibaut Courtois,be BEL,29-298,90,1,1,0,100.0,1.0,2,4,50.0,22,3,13.6,24.3,2,50.0,43.0,3,1,33.3,2,17.2,27,2021-2022
Álex Remiro,es ESP,26-346,90,8,4,4,62.5,3.3,7,19,36.8,30,5,43.3,37.1,8,75.0,49.9,20,0,0.0,0,,27,2021-2022
Jeremías Ledesma,ar ARG,29-021,90,3,0,3,100.0,1.1,12,25,48.0,29,1,58.6,41.5,10,80.0,58.1,18,0,0.0,0,10.7,27,2021-2022
Luca Zidane,fr FRA,23-297,90,7,2,5,71.4,1.5,6,11,54.5,18,5,33.3,34.5,10,50.0,45.7,18,2,11.1,0,7.0,27,2021-2022
Édgar Badía,es ESP,30-022,90,8,2,6,87.5,3.1,11,24,45.8,17,1,70.6,43.1,14,85.7,56.1,20,1,5.0,0,5.0,27,2021-2022
Marc-André ter Stegen,de GER,29-310,90,3,1,2,66.7,1.2,1,5,20.0,23,1,17.4,27.0,11,9.1,25.5,17,0,0.0,2,19.5,27,2021-2022
Matías Dituro,ar ARG,34-302,90,3,3,1,33.3,1.3,7,21,33.3,38,6,39.5,35.7,7,85.7,49.6,12,4,33.3,0,6.6,27,2021-2022
Sergio Rico,es ESP,28-186,90,8,4,4,62.5,1.9,3,9,33.3,19,6,36.8,37.6,7,28.6,32.3,12,0,0.0,1,19.0,27,2021-2022
Claudio Bravo,cl CHI,38-327,90,6,3,3,50.0,3.0,7,11,63.6,21,3,47.6,36.9,6,16.7,25.8,7,0,0.0,2,18.3,27,2021-2022
Jan Oblak,si SVN,29-058,90,6,1,5,83.3,0.6,10,28,35.7,20,1,85.0,55.4,12,91.7,58.3,23,0,0.0,0,7.0,27,2021-2022
Unai Simón,es ESP,24-269,90,2,1,1,50.0,0.4,4,8,50.0,21,4,33.3,30.2,5,20.0,28.6,10,1,10.0,1,17.3,27,2021-2022
Cárdenas,es ESP,24-344,90,8,3,5,75.0,3.8,3,15,20.0,27,5,44.4,37.6,13,23.1,21.8,14,1,7.1,2,20.8,27,2021-2022
Jan Oblak,si SVN,29-063,90,2,1,1,50.0,1.3,8,25,32.0,20,1,65.0,44.2,16,75.0,51.8,14,2,14.3,1,11.0,28,2021-2022
Jeremías Ledesma,ar ARG,29-026,90,5,2,3,60.0,1.7,7,17,41.2,23,4,56.5,40.2,4,100.0,64.0,1,1,100.0,3,24.0,28,2021-2022
