Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Rui Silva,pt POR,27-194,90,3,1,2,100.0,1.4,1,4,25.0,21,6,9.5,22.8,4,50.0,43.8,18,0,0.0,1,19.7,2,2021-2022
Jeremías Ledesma,ar ARG,28-188,90,7,1,6,85.7,1.5,9,25,36.0,13,1,100.0,59.4,12,100.0,66.6,17,0,0.0,0,,2,2021-2022
Fernando Pacheco,es ESP,29-095,90,2,1,1,50.0,0.8,11,22,50.0,25,1,68.0,46.6,11,45.5,34.0,12,0,0.0,0,13.5,2,2021-2022
Manolo Reina,es ESP,36-142,90,4,0,4,100.0,0.7,5,9,55.6,26,5,30.8,30.3,7,14.3,21.4,9,0,0.0,0,12.8,2,2021-2022
Diego López,es ESP,39-291,90,2,0,2,100.0,0.2,3,10,30.0,20,2,45.0,33.1,7,14.3,18.7,10,0,0.0,0,4.8,2,2021-2022
Gerónimo Rulli,ar ARG,29-093,90,3,0,3,100.0,1.1,3,4,75.0,30,4,6.7,21.4,9,22.2,28.7,17,0,0.0,2,15.4,2,2021-2022
Aarón Escandell,es ESP,25-328,90,6,1,5,100.0,1.6,10,33,30.3,29,2,75.9,49.5,15,73.3,50.1,10,0,0.0,5,18.4,2,2021-2022
Giorgi Mamardashvili,ge GEO,20-326,90,2,1,1,50.0,0.6,2,13,15.4,17,6,52.9,39.2,7,57.1,55.9,12,0,0.0,0,5.8,2,2021-2022
Julen Agirrezabala,es ESP,20-238,90,3,1,2,66.7,0.6,5,11,45.5,15,4,53.3,40.1,9,33.3,30.3,11,1,9.1,2,14.0,2,2021-2022
Neto,br BRA,32-033,90,6,1,5,83.3,1.5,9,11,81.8,38,10,23.7,29.4,11,18.2,33.2,26,0,0.0,3,17.0,2,2021-2022
Álex Remiro,es ESP,26-151,90,1,0,1,100.0,0.0,6,13,46.2,26,3,30.8,32.2,8,62.5,53.1,13,0,0.0,0,,2,2021-2022
Stole Dimitrievski,mk MKD,27-240,90,8,1,7,100.0,1.6,6,20,30.0,27,4,59.3,42.7,5,80.0,59.8,14,0,0.0,6,20.6,2,2021-2022
Jan Oblak,si SVN,28-227,90,2,0,2,100.0,0.1,4,7,57.1,12,4,33.3,35.8,10,30.0,33.9,9,0,0.0,0,16.0,2,2021-2022
Kiko Casilla,es ESP,34-324,90,4,1,3,75.0,1.3,3,8,37.5,23,7,30.4,32.6,12,8.3,18.8,5,0,0.0,0,13.0,2,2021-2022
Aitor Fernández,es ESP,30-111,86,5,3,2,40.0,2.1,9,16,56.3,18,,66.7,40.9,10,40.0,29.7,15,,,1,19.3,2,2021-2022
Rúben Vezo,pt POR,27-119,2,0,0,0,,0.0,2,4,50.0,3,0,100.0,57.0,1,100.0,65.0,4,0,0.0,0,,2,2021-2022
Thibaut Courtois,be BEL,29-103,90,4,3,1,25.0,1.7,1,3,33.3,18,4,16.7,27.3,3,0.0,21.7,13,0,0.0,0,17.0,2,2021-2022
David Soria,es ESP,28-141,90,3,1,2,66.7,0.6,14,22,63.6,22,3,63.6,42.7,10,80.0,47.3,11,1,9.1,0,5.0,2,2021-2022
Yassine Bounou,ma MAR,30-140,90,0,0,0,,0.0,4,10,40.0,24,6,25.0,31.6,10,40.0,36.9,16,1,6.3,1,14.5,2,2021-2022
Sergio Herrera,es ESP,28-079,90,0,0,0,,0.0,9,18,50.0,16,0,81.3,47.8,7,71.4,54.6,9,0,0.0,2,21.8,2,2021-2022
Matías Dituro,ar ARG,34-107,90,7,0,6,100.0,1.9,6,23,26.1,32,2,46.9,37.3,11,72.7,53.2,17,1,5.9,4,21.3,2,2021-2022
