Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Jan Oblak,si SVN,28-254,90,0,0,0,,0.0,5,17,29.4,23,6,43.5,39.3,12,58.3,52.7,13,0,0.0,1,32.0,5,2021-2022
Unai Simón,es ESP,24-099,90,2,0,2,100.0,0.6,5,14,35.7,24,4,41.7,35.0,17,23.5,31.7,13,1,7.7,2,14.2,5,2021-2022
Kiko Casilla,es ESP,34-351,90,6,1,5,83.3,1.2,4,12,33.3,26,7,42.3,32.8,8,12.5,25.0,19,1,5.3,1,14.4,5,2021-2022
Cárdenas,es ESP,24-174,90,2,1,1,50.0,0.8,2,9,22.2,15,2,53.3,38.8,5,20.0,24.0,16,0,0.0,2,16.3,5,2021-2022
Antonio Sivera,es ESP,25-038,90,5,2,3,80.0,1.8,8,22,36.4,21,2,66.7,47.4,13,61.5,48.4,17,0,0.0,0,8.0,5,2021-2022
Sergio Herrera,es ESP,28-105,90,3,0,3,100.0,0.1,15,26,57.7,25,1,80.0,48.8,6,100.0,59.8,21,4,19.0,1,12.0,5,2021-2022
Manolo Reina,es ESP,36-171,90,3,0,3,100.0,0.8,5,14,35.7,22,4,40.9,36.8,8,62.5,43.5,12,0,0.0,0,7.0,5,2021-2022
Gerónimo Rulli,ar ARG,29-122,90,1,0,1,100.0,0.1,1,8,12.5,34,3,14.7,26.1,6,50.0,35.2,6,0,0.0,5,23.8,5,2021-2022
Álex Remiro,es ESP,26-179,90,4,0,4,100.0,0.4,9,17,52.9,33,7,36.4,34.2,8,62.5,47.6,17,1,5.9,1,8.5,5,2021-2022
Yassine Bounou,ma MAR,30-167,90,4,0,3,100.0,1.7,6,16,37.5,30,5,36.7,34.4,6,83.3,51.8,13,5,38.5,0,9.9,5,2021-2022
Claudio Bravo,cl CHI,38-159,90,4,2,2,50.0,0.8,2,6,33.3,20,4,30.0,31.6,4,0.0,24.3,14,0,0.0,0,10.5,5,2021-2022
Diego López,es ESP,39-320,90,9,2,8,77.8,2.3,2,11,18.2,22,5,31.8,33.0,8,50.0,43.3,17,0,0.0,5,21.3,5,2021-2022
Giorgi Mamardashvili,ge GEO,20-355,90,10,2,8,80.0,1.6,9,17,52.9,17,3,64.7,44.5,9,66.7,41.1,11,0,0.0,0,10.3,5,2021-2022
Thibaut Courtois,be BEL,29-131,90,4,1,3,75.0,0.8,2,8,25.0,20,4,25.0,30.4,7,42.9,31.9,19,1,5.3,0,10.5,5,2021-2022
Marc-André ter Stegen,de GER,29-143,90,2,1,1,50.0,0.7,0,1,0.0,24,2,4.2,24.6,3,0.0,14.0,8,0,0.0,3,25.8,5,2021-2022
Luís Maximiano,pt POR,22-258,90,6,1,5,83.3,1.7,14,27,51.9,16,1,93.8,51.9,15,80.0,48.5,46,3,6.5,2,14.8,5,2021-2022
David Soria,es ESP,28-170,90,4,2,2,50.0,1.3,13,26,50.0,23,1,78.3,51.4,9,88.9,57.8,24,1,4.2,1,19.5,6,2021-2022
Jan Oblak,si SVN,28-257,90,1,1,1,0.0,0.2,4,9,44.4,20,6,40.0,34.9,3,33.3,36.0,10,2,20.0,3,18.8,6,2021-2022
Cárdenas,es ESP,24-177,90,2,2,0,0.0,1.6,2,7,28.6,22,2,31.8,35.0,1,0.0,19.0,8,0,0.0,0,10.4,6,2021-2022
Matías Dituro,ar ARG,34-136,90,2,0,1,100.0,1.2,8,18,44.4,28,5,42.9,37.8,8,75.0,57.0,9,2,22.2,1,11.0,6,2021-2022
