Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Giorgi Mamardashvili,ge GEO,20-318,90,4,0,4,100.0,0.8,11,19,57.9,10,1,80.0,51.1,13,84.6,56.4,26,0,0.0,0,12.0,1,2021-2022
David Soria,es ESP,28-131,90,2,1,1,100.0,1.2,2,7,28.6,9,0,55.6,36.7,2,100.0,56.5,3,0,0.0,2,25.0,1,2021-2022
Manolo Reina,es ESP,36-135,90,0,1,0,,0.0,4,10,40.0,15,3,46.7,37.8,10,30.0,28.7,12,0,0.0,0,2.0,1,2021-2022
Rui Silva,pt POR,27-188,90,2,1,1,50.0,1.3,3,7,42.9,24,0,25.0,30.0,8,12.5,30.3,11,0,0.0,1,18.7,1,2021-2022
Jeremías Ledesma,ar ARG,28-182,90,3,1,2,66.7,1.1,9,26,34.6,20,2,55.0,45.2,18,83.3,63.4,13,0,0.0,0,16.3,1,2021-2022
Aitor Fernández,es ESP,30-103,90,2,1,1,50.0,1.1,8,15,53.3,18,4,55.6,38.6,11,45.5,44.9,10,0,0.0,3,21.2,1,2021-2022
Fernando Pacheco,es ESP,29-088,90,7,4,3,42.9,2.0,9,11,81.8,16,3,25.0,31.9,13,53.8,38.3,9,0,0.0,0,,1,2021-2022
Thibaut Courtois,be BEL,29-095,90,4,1,3,100.0,1.2,1,6,16.7,27,7,18.5,30.2,4,25.0,40.0,13,0,0.0,3,21.3,1,2021-2022
Sergio Herrera,es ESP,28-070,90,3,0,3,100.0,0.2,13,28,46.4,28,3,75.0,47.5,8,87.5,61.0,10,0,0.0,1,16.3,1,2021-2022
Diego López,es ESP,39-284,90,1,0,1,100.0,0.0,5,17,29.4,25,6,48.0,39.2,13,38.5,36.8,28,2,7.1,1,13.5,1,2021-2022
Matías Dituro,ar ARG,34-099,90,4,2,2,50.0,2.5,6,9,66.7,25,4,28.0,33.0,7,28.6,36.9,5,0,0.0,2,28.7,1,2021-2022
Jan Oblak,si SVN,28-220,90,2,1,1,100.0,1.2,5,15,33.3,26,5,53.8,43.1,5,20.0,30.8,15,1,6.7,0,10.3,1,2021-2022
Neto,br BRA,32-027,90,3,2,1,33.3,2.0,6,18,33.3,42,1,40.5,35.7,7,14.3,21.3,8,0,0.0,1,19.5,1,2021-2022
Álex Remiro,es ESP,26-144,90,8,4,4,50.0,3.0,4,7,57.1,21,3,28.6,29.4,3,33.3,33.3,10,0,0.0,2,13.8,1,2021-2022
Marko Dmitrović,rs SRB,29-203,90,3,0,3,100.0,0.6,0,3,0.0,26,6,11.5,20.3,2,0.0,19.0,4,1,25.0,4,19.5,1,2021-2022
Luca Zidane,fr FRA,23-094,15,,,,,0.0,,,,,2,,,,,,2,,,,,1,2021-2022
Stole Dimitrievski,mk MKD,27-233,72,8,3,5,75.0,3.5,8,21,38.1,17,5,70.6,50.3,9,100.0,64.6,11,1,9.1,2,18.3,1,2021-2022
Gerónimo Rulli,ar ARG,29-088,90,1,0,1,100.0,0.1,3,9,33.3,23,2,26.1,31.8,6,50.0,41.2,11,0,0.0,0,10.0,1,2021-2022
Aarón Escandell,es ESP,25-323,90,3,0,3,100.0,0.3,13,27,48.1,30,4,60.0,42.1,10,90.0,52.3,14,3,21.4,4,17.0,1,2021-2022
Kiko Casilla,es ESP,34-318,90,3,0,3,100.0,0.4,7,18,38.9,27,9,44.4,36.9,9,66.7,51.0,20,1,5.0,0,5.3,1,2021-2022
Julen Agirrezabala,es ESP,20-233,90,2,0,2,100.0,0.2,2,5,40.0,14,5,14.3,30.4,7,42.9,30.7,18,0,0.0,2,28.0,1,2021-2022
