Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Matchweek,Season
Ángel Correa,10,ar ARG,FW,26-193,59,0,0,0,0,2,0,0,0,20,0,0,0,0.2,0.2,0.0,0,0,9,12,75.0,0,12,2,2,2,5,2021-2022
   João Félix,7,pt POR,FW,21-312,18,0,0,0,0,0,0,2,1,11,0,0,0,0.0,0.0,0.0,2,0,9,10,90.0,2,10,1,2,1,5,2021-2022
Antoine Griezmann,8,fr FRA,FW,30-181,54,0,0,0,0,2,0,0,0,18,0,0,0,0.3,0.3,0.0,0,0,9,13,69.2,2,14,2,1,1,5,2021-2022
   Luis Suárez,9,uy URU,FW,34-237,36,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,1,0,7,10,70.0,2,10,0,2,0,5,2021-2022
Renan Lodi,12,br BRA,LW,23-163,54,0,0,0,0,1,0,0,0,35,1,1,1,0.0,0.0,0.2,3,0,23,28,82.1,2,23,2,2,0,5,2021-2022
   Yannick Carrasco,21,be BEL,LW,28-014,36,0,0,0,0,1,0,0,0,43,0,0,1,0.0,0.0,0.1,3,0,29,39,74.4,1,27,8,1,1,5,2021-2022
Kieran Trippier,23,eng ENG,RW,30-364,76,0,0,0,0,0,0,0,0,85,1,0,1,0.0,0.0,0.0,2,0,62,77,80.5,10,54,0,5,2,5,2021-2022
   Matheus Cunha,19,br BRA,RW,22-114,14,0,0,0,0,0,0,1,0,7,0,0,1,0.0,0.0,0.0,1,0,3,5,60.0,0,5,0,0,0,5,2021-2022
Rodrigo De Paul,5,ar ARG,CM,27-117,90,0,0,0,0,2,0,0,0,69,1,2,1,0.0,0.0,0.1,5,0,48,59,81.4,9,45,5,3,3,5,2021-2022
Marcos Llorente,14,es ESP,CM,26-231,90,0,0,0,0,1,1,0,0,48,1,0,0,0.0,0.0,0.3,3,0,31,40,77.5,3,30,4,0,0,5,2021-2022
Geoffrey Kondogbia,4,cf CTA,DM,28-215,54,0,0,0,0,0,0,1,0,32,1,0,0,0.0,0.0,0.0,1,0,23,27,85.2,4,20,0,0,0,5,2021-2022
   Héctor Herrera,16,mx MEX,DM,31-152,36,0,0,0,0,1,0,0,0,32,2,1,0,0.0,0.0,0.0,3,0,20,25,80.0,4,18,0,3,3,5,2021-2022
Mario Hermoso,22,es ESP,CB,26-092,90,0,0,0,0,0,0,0,0,83,4,2,0,0.0,0.0,0.0,0,0,66,73,90.4,11,54,0,2,2,5,2021-2022
José María Giménez,2,uy URU,CB,26-241,90,0,0,0,0,1,0,1,0,58,2,2,3,0.0,0.0,0.0,1,0,38,43,88.4,3,26,0,0,0,5,2021-2022
Stefan Savić,15,me MNE,CB,30-253,90,0,0,0,0,2,1,1,0,57,1,1,0,0.1,0.1,0.0,0,0,44,49,89.8,2,34,0,0,0,5,2021-2022
Jan Oblak,13,si SVN,GK,28-254,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,22,35,62.9,0,17,0,0,0,5,2021-2022
Ángel Correa,10,ar ARG,FW,26-193,59,0,0,0,0,2,0,0,0,20,0,0,0,0.2,0.2,0.0,0,0,9,12,75.0,0,12,2,2,2,5,2021-2022
   João Félix,7,pt POR,FW,21-312,18,0,0,0,0,0,0,2,1,11,0,0,0,0.0,0.0,0.0,2,0,9,10,90.0,2,10,1,2,1,5,2021-2022
Antoine Griezmann,8,fr FRA,FW,30-181,54,0,0,0,0,2,0,0,0,18,0,0,0,0.3,0.3,0.0,0,0,9,13,69.2,2,14,2,1,1,5,2021-2022
   Luis Suárez,9,uy URU,FW,34-237,36,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,1,0,7,10,70.0,2,10,0,2,0,5,2021-2022
Renan Lodi,12,br BRA,LW,23-163,54,0,0,0,0,1,0,0,0,35,1,1,1,0.0,0.0,0.2,3,0,23,28,82.1,2,23,2,2,0,5,2021-2022
   Yannick Carrasco,21,be BEL,LW,28-014,36,0,0,0,0,1,0,0,0,43,0,0,1,0.0,0.0,0.1,3,0,29,39,74.4,1,27,8,1,1,5,2021-2022
Kieran Trippier,23,eng ENG,RW,30-364,76,0,0,0,0,0,0,0,0,85,1,0,1,0.0,0.0,0.0,2,0,62,77,80.5,10,54,0,5,2,5,2021-2022
   Matheus Cunha,19,br BRA,RW,22-114,14,0,0,0,0,0,0,1,0,7,0,0,1,0.0,0.0,0.0,1,0,3,5,60.0,0,5,0,0,0,5,2021-2022
Rodrigo De Paul,5,ar ARG,CM,27-117,90,0,0,0,0,2,0,0,0,69,1,2,1,0.0,0.0,0.1,5,0,48,59,81.4,9,45,5,3,3,5,2021-2022
Marcos Llorente,14,es ESP,CM,26-231,90,0,0,0,0,1,1,0,0,48,1,0,0,0.0,0.0,0.3,3,0,31,40,77.5,3,30,4,0,0,5,2021-2022
Geoffrey Kondogbia,4,cf CTA,DM,28-215,54,0,0,0,0,0,0,1,0,32,1,0,0,0.0,0.0,0.0,1,0,23,27,85.2,4,20,0,0,0,5,2021-2022
   Héctor Herrera,16,mx MEX,DM,31-152,36,0,0,0,0,1,0,0,0,32,2,1,0,0.0,0.0,0.0,3,0,20,25,80.0,4,18,0,3,3,5,2021-2022
Mario Hermoso,22,es ESP,CB,26-092,90,0,0,0,0,0,0,0,0,83,4,2,0,0.0,0.0,0.0,0,0,66,73,90.4,11,54,0,2,2,5,2021-2022
José María Giménez,2,uy URU,CB,26-241,90,0,0,0,0,1,0,1,0,58,2,2,3,0.0,0.0,0.0,1,0,38,43,88.4,3,26,0,0,0,5,2021-2022
Stefan Savić,15,me MNE,CB,30-253,90,0,0,0,0,2,1,1,0,57,1,1,0,0.1,0.1,0.0,0,0,44,49,89.8,2,34,0,0,0,5,2021-2022
Jan Oblak,13,si SVN,GK,28-254,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,22,35,62.9,0,17,0,0,0,5,2021-2022
Darío Benedetto,18,ar ARG,FW,31-124,60,0,0,0,0,1,0,0,0,17,2,0,0,0.1,0.1,0.0,1,1,7,9,77.8,1,10,0,2,0,5,2021-2022
   Javier Pastore,15,ar ARG,CM,32-090,30,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.1,1,0,15,22,68.2,3,20,1,2,0,5,2021-2022
Lucas Pérez,12,es ESP,FW,33-008,76,1,0,0,0,1,1,0,0,34,0,0,0,0.1,0.1,0.0,1,0,13,21,61.9,2,25,1,3,1,5,2021-2022
   Guido Carrillo,7,ar ARG,FW,30-116,14,0,0,0,0,1,0,0,0,9,1,0,0,0.1,0.1,0.0,0,0,5,6,83.3,1,6,0,0,0,5,2021-2022
Tete Morente,11,es ESP,CM,24-288,60,0,0,0,0,1,0,0,0,24,0,1,0,0.0,0.0,0.0,1,0,16,20,80.0,4,15,2,0,0,5,2021-2022
   Pere Milla,10,es ESP,FW,28-360,30,0,0,0,0,1,1,0,0,16,1,0,0,0.0,0.0,0.0,0,0,12,14,85.7,0,13,0,0,0,5,2021-2022
Omar Mascarell,21,es ESP,CM,28-228,85,0,0,0,0,1,0,0,0,60,3,1,1,0.1,0.1,0.0,2,0,43,45,95.6,3,31,0,1,0,5,2021-2022
   Iván Marcone,23,ar ARG,CM,31-107,5,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,9,9,100.0,0,6,0,0,0,5,2021-2022
Raúl Guti,8,es ESP,CM,24-262,90,0,0,0,0,2,0,0,0,52,0,2,0,0.1,0.1,0.1,3,0,43,46,93.5,1,35,4,1,1,5,2021-2022
Johan Mojica,22,co COL,LB,29-028,90,0,0,0,0,0,0,0,0,69,0,1,0,0.0,0.0,0.1,2,0,50,60,83.3,8,42,7,5,1,5,2021-2022
Diego González,4,es ESP,CB,26-233,90,0,0,0,0,0,0,0,0,46,0,2,1,0.0,0.0,0.0,1,0,36,39,92.3,1,34,1,0,0,5,2021-2022
Gonzalo Verdú,5,es ESP,CB,32-332,90,0,0,0,0,0,0,1,0,60,0,1,1,0.0,0.0,0.0,0,0,48,54,88.9,0,40,0,0,0,5,2021-2022
Enzo Roco,3,cl CHI,CB,29-033,76,0,0,0,0,1,0,1,0,47,3,0,0,0.0,0.0,0.0,0,0,28,33,84.8,0,24,1,1,0,5,2021-2022
   Antonio Barragán,19,es ESP,CB,34-098,14,0,0,0,0,0,0,0,0,19,1,2,0,0.0,0.0,0.0,0,0,12,18,66.7,2,9,0,0,0,5,2021-2022
Helibelton Palacios,14,co COL,RB,28-099,90,0,0,0,0,0,0,0,0,65,5,0,1,0.0,0.0,0.0,1,0,39,53,73.6,4,32,1,3,2,5,2021-2022
Kiko Casilla,1,es ESP,GK,34-351,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,26,34,76.5,0,20,0,0,0,5,2021-2022
Darío Benedetto,18,ar ARG,FW,31-124,60,0,0,0,0,1,0,0,0,17,2,0,0,0.1,0.1,0.0,1,1,7,9,77.8,1,10,0,2,0,5,2021-2022
   Javier Pastore,15,ar ARG,CM,32-090,30,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.1,1,0,15,22,68.2,3,20,1,2,0,5,2021-2022
Lucas Pérez,12,es ESP,FW,33-008,76,1,0,0,0,1,1,0,0,34,0,0,0,0.1,0.1,0.0,1,0,13,21,61.9,2,25,1,3,1,5,2021-2022
   Guido Carrillo,7,ar ARG,FW,30-116,14,0,0,0,0,1,0,0,0,9,1,0,0,0.1,0.1,0.0,0,0,5,6,83.3,1,6,0,0,0,5,2021-2022
Tete Morente,11,es ESP,CM,24-288,60,0,0,0,0,1,0,0,0,24,0,1,0,0.0,0.0,0.0,1,0,16,20,80.0,4,15,2,0,0,5,2021-2022
   Pere Milla,10,es ESP,FW,28-360,30,0,0,0,0,1,1,0,0,16,1,0,0,0.0,0.0,0.0,0,0,12,14,85.7,0,13,0,0,0,5,2021-2022
Omar Mascarell,21,es ESP,CM,28-228,85,0,0,0,0,1,0,0,0,60,3,1,1,0.1,0.1,0.0,2,0,43,45,95.6,3,31,0,1,0,5,2021-2022
   Iván Marcone,23,ar ARG,CM,31-107,5,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,9,9,100.0,0,6,0,0,0,5,2021-2022
Raúl Guti,8,es ESP,CM,24-262,90,0,0,0,0,2,0,0,0,52,0,2,0,0.1,0.1,0.1,3,0,43,46,93.5,1,35,4,1,1,5,2021-2022
Johan Mojica,22,co COL,LB,29-028,90,0,0,0,0,0,0,0,0,69,0,1,0,0.0,0.0,0.1,2,0,50,60,83.3,8,42,7,5,1,5,2021-2022
Diego González,4,es ESP,CB,26-233,90,0,0,0,0,0,0,0,0,46,0,2,1,0.0,0.0,0.0,1,0,36,39,92.3,1,34,1,0,0,5,2021-2022
Gonzalo Verdú,5,es ESP,CB,32-332,90,0,0,0,0,0,0,1,0,60,0,1,1,0.0,0.0,0.0,0,0,48,54,88.9,0,40,0,0,0,5,2021-2022
Enzo Roco,3,cl CHI,CB,29-033,76,0,0,0,0,1,0,1,0,47,3,0,0,0.0,0.0,0.0,0,0,28,33,84.8,0,24,1,1,0,5,2021-2022
   Antonio Barragán,19,es ESP,CB,34-098,14,0,0,0,0,0,0,0,0,19,1,2,0,0.0,0.0,0.0,0,0,12,18,66.7,2,9,0,0,0,5,2021-2022
Helibelton Palacios,14,co COL,RB,28-099,90,0,0,0,0,0,0,0,0,65,5,0,1,0.0,0.0,0.0,1,0,39,53,73.6,4,32,1,3,2,5,2021-2022
Kiko Casilla,1,es ESP,GK,34-351,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,26,34,76.5,0,20,0,0,0,5,2021-2022
Mamadou Sylla,7,sn SEN,FW,27-182,63,0,0,0,0,0,0,0,0,19,1,1,0,0.0,0.0,0.0,0,0,5,11,45.5,0,10,1,1,0,5,2021-2022
   John Guidetti,10,se SWE,"LM,FW",29-156,27,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,1,0,3,6,50.0,0,7,0,1,0,5,2021-2022
Joselu,9,es ESP,FW,31-175,90,0,0,0,0,3,1,0,0,65,1,2,4,0.2,0.2,0.0,2,0,32,43,74.4,5,28,1,2,0,5,2021-2022
Luis Rioja,11,es ESP,"LM,LB",27-337,90,0,0,0,0,3,1,0,0,49,0,2,1,0.1,0.1,0.0,1,0,16,33,48.5,2,30,5,6,2,5,2021-2022
Toni Moya,15,es ESP,CM,23-182,63,0,0,0,0,0,0,1,0,39,0,2,0,0.0,0.0,0.0,0,0,24,34,70.6,0,17,0,1,1,5,2021-2022
   Manu García,14,es ESP,CM,23-259,27,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,10,15,66.7,3,14,4,2,2,5,2021-2022
Tomás Pina Isla,8,es ESP,CM,33-339,45,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.0,1,0,22,27,81.5,3,14,0,1,1,5,2021-2022
   Mamadou N'Diaye,6,,MF,24-262,45,0,0,0,0,0,0,0,0,,,3,,,,,,,,,,,,,,,5,2021-2022
Iván Martín,19,es ESP,RM,22-216,45,0,0,0,0,1,0,0,0,28,0,1,0,0.1,0.1,0.0,0,0,20,23,87.0,5,19,2,2,0,5,2021-2022
   Facundo Pellistri,18,uy URU,RM,19-272,45,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,1,0,6,10,60.0,1,10,3,2,0,5,2021-2022
Rubén Duarte,3,es ESP,LB,25-335,76,0,0,0,0,0,0,1,0,61,3,6,1,0.0,0.0,0.0,1,0,30,46,65.2,1,24,0,1,1,5,2021-2022
   Miguel,24,es ESP,FW,22-015,14,0,0,0,0,1,1,0,0,8,1,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,7,1,0,0,5,2021-2022
Víctor Laguardia,5,es ESP,CB,31-317,90,0,0,0,0,0,0,1,0,68,0,2,0,0.0,0.0,0.0,1,0,46,64,71.9,3,32,0,0,0,5,2021-2022
Matt Miazga,4,us USA,CB,26-061,90,0,0,0,0,0,0,0,0,79,1,1,1,0.0,0.0,0.0,0,0,61,74,82.4,2,42,0,0,0,5,2021-2022
Ximo Navarro,23,es ESP,RB,31-238,90,0,0,0,0,0,0,1,0,64,0,1,0,0.0,0.0,0.0,0,0,32,54,59.3,3,32,0,1,0,5,2021-2022
Antonio Sivera,13,es ESP,GK,25-038,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,20,34,58.8,0,14,0,0,0,5,2021-2022
Mamadou Sylla,7,sn SEN,FW,27-182,63,0,0,0,0,0,0,0,0,19,1,1,0,0.0,0.0,0.0,0,0,5,11,45.5,0,10,1,1,0,5,2021-2022
   John Guidetti,10,se SWE,"LM,FW",29-156,27,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,1,0,3,6,50.0,0,7,0,1,0,5,2021-2022
