Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Rui Silva,pt POR,28-071,90,1,1,0,0.0,1.0,1,4,25.0,14,3,28.6,27.6,3,0.0,27.3,7,1,14.3,4,19.2,33,2021-2022
Édgar Badía,es ESP,30-066,90,3,0,3,100.0,0.6,12,20,60.0,21,4,61.9,44.8,13,53.8,43.7,20,0,0.0,0,7.3,33,2021-2022
Gerónimo Rulli,ar ARG,29-334,90,1,0,1,100.0,0.0,2,6,33.3,37,4,16.2,27.8,5,0.0,20.8,16,1,6.3,2,16.5,33,2021-2022
Jasper Cillessen,nl NED,32-362,90,5,2,3,80.0,2.5,7,16,43.8,28,7,46.4,40.8,6,50.0,35.7,8,0,0.0,3,22.3,33,2021-2022
Jan Oblak,si SVN,29-103,90,2,0,2,100.0,0.1,2,8,25.0,21,7,28.6,30.9,7,28.6,30.1,6,0,0.0,0,4.0,33,2021-2022
Luís Maximiano,pt POR,23-105,90,1,0,1,100.0,0.2,11,34,32.4,31,1,74.2,49.4,13,84.6,58.3,24,2,8.3,3,21.0,33,2021-2022
Matías Dituro,ar ARG,34-347,90,3,2,1,33.3,1.9,6,18,33.3,33,5,48.5,38.7,5,40.0,36.4,7,1,14.3,4,18.0,33,2021-2022
David Soria,es ESP,29-016,90,2,0,2,100.0,0.1,11,25,44.0,19,0,89.5,52.4,8,100.0,59.8,25,0,0.0,1,16.0,33,2021-2022
Sergio Herrera,es ESP,28-319,90,11,3,6,72.7,5.6,6,21,28.6,20,1,65.0,44.0,10,80.0,60.9,7,1,14.3,1,17.5,33,2021-2022
Thibaut Courtois,be BEL,29-344,90,3,1,2,66.7,1.9,1,9,11.1,25,4,24.0,28.2,8,37.5,42.6,13,0,0.0,0,17.0,33,2021-2022
Cárdenas,es ESP,25-024,90,6,3,3,50.0,2.2,2,11,18.2,14,1,64.3,43.9,7,28.6,30.9,8,0,0.0,0,12.3,33,2021-2022
Yassine Bounou,ma MAR,31-016,90,6,2,4,83.3,2.4,6,19,31.6,32,2,40.6,37.4,9,66.7,48.8,15,0,0.0,0,,33,2021-2022
Diego López,es ESP,40-169,90,2,1,1,50.0,0.6,2,8,25.0,27,5,22.2,29.8,7,28.6,33.9,19,2,10.5,1,12.5,33,2021-2022
Stole Dimitrievski,mk MKD,28-117,90,2,0,2,100.0,0.2,6,11,54.5,16,8,37.5,36.0,5,100.0,61.6,7,1,14.3,2,15.4,33,2021-2022
Jeremías Ledesma,ar ARG,29-067,90,7,3,3,57.1,1.6,4,13,30.8,25,6,52.0,46.0,2,0.0,20.0,7,0,0.0,3,24.3,33,2021-2022
Unai Simón,es ESP,24-314,90,8,2,6,75.0,2.2,10,30,33.3,31,7,54.8,40.9,15,86.7,60.7,42,3,7.1,0,7.1,33,2021-2022
Álex Remiro,es ESP,27-028,90,1,1,0,0.0,1.0,12,18,66.7,45,4,31.1,31.0,9,44.4,37.0,7,0,0.0,1,16.3,33,2021-2022
Marc-André ter Stegen,de GER,29-356,90,5,0,5,100.0,0.8,5,11,45.5,25,6,36.0,35.5,7,28.6,30.6,23,1,4.3,0,5.0,33,2021-2022
Marc-André ter Stegen,de GER,29-359,90,1,1,0,0.0,0.3,1,6,16.7,37,6,13.5,26.1,3,33.3,43.3,4,0,0.0,0,,21,2021-2022
Stole Dimitrievski,mk MKD,28-120,90,4,0,4,100.0,0.2,8,32,25.0,30,1,86.7,51.3,10,60.0,39.8,30,2,6.7,3,13.6,21,2021-2022
