player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Roger Martí,9,es ESP,FW,31-089,85,24,1,1,15,9,1,24,2,1,50.0,1,50.0,15,66,47,1,2,0,2,1,18,6,30,2021-2022
   Mickael Malsa,12,mq MTQ,CM,26-172,5,2,1,2,0,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,0,30,2021-2022
José Luis Morales,11,es ESP,FW,34-253,90,29,0,4,8,17,9,29,4,1,25.0,3,75.0,15,127,82,3,1,3,3,0,15,6,30,2021-2022
Nemanja Radoja,5,rs SRB,"CM,RM",29-055,90,40,3,13,21,7,2,40,1,0,0.0,1,100.0,16,105,45,2,1,0,2,0,26,3,30,2021-2022
José Luis García Vayá,8,es ESP,CM,23-234,90,87,11,45,39,5,0,87,1,1,100.0,0,0.0,26,129,32,0,0,0,4,2,47,1,30,2021-2022
Gonzalo Melero,22,es ESP,CM,28-090,56,28,0,3,18,7,0,28,3,0,0.0,3,100.0,12,34,6,0,0,0,2,0,23,4,30,2021-2022
   José Campaña,24,es ESP,"CM,LM",28-306,34,21,3,10,7,4,0,21,2,1,50.0,1,50.0,9,95,51,1,0,0,0,0,13,1,30,2021-2022
Enric Franquesa,3,es ESP,LB,25-035,45,37,1,6,15,16,1,37,3,0,0.0,3,100.0,15,62,12,0,0,1,0,2,20,6,30,2021-2022
   Son,2,es ESP,LB,28-003,45,30,3,19,8,3,1,30,0,0,,0,,9,17,6,0,0,0,0,0,13,2,30,2021-2022
Martín Cáceres,7,uy URU,CB,34-360,45,33,0,8,24,3,0,33,0,0,,0,,19,186,168,3,1,0,0,0,20,0,30,2021-2022
   Rúben Vezo,14,pt POR,CB,27-342,45,17,5,15,2,0,0,17,0,0,,0,,2,5,1,0,0,0,0,0,5,0,30,2021-2022
Sergio Postigo,15,es ESP,CB,33-149,75,45,12,26,18,1,1,45,0,0,,0,,10,56,18,0,0,0,1,0,19,0,30,2021-2022
   Shkodran Mustafi,13,de GER,CB,29-350,15,2,2,2,0,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,30,2021-2022
Rober,4,es ESP,CB,27-045,90,45,10,36,7,2,1,45,0,0,,0,,13,42,26,0,0,0,0,0,20,0,30,2021-2022
Jorge Miramón,20,es ESP,RB,32-304,90,54,6,15,24,15,3,54,2,1,50.0,1,50.0,23,221,124,5,3,1,1,1,32,2,30,2021-2022
Cárdenas,34,es ESP,GK,25-005,90,26,26,26,0,0,0,26,0,0,,0,,8,41,30,0,0,0,0,0,5,0,30,2021-2022
Arnaut Danjuma,15,nl NED,FW,25-061,75,25,0,1,7,18,7,25,3,1,33.3,2,66.7,20,155,36,1,1,3,0,0,21,11,30,2021-2022
   Paco Alcácer,9,es ESP,FW,28-215,15,4,0,0,2,2,1,4,0,0,,0,,0,0,0,0,0,0,1,0,2,1,30,2021-2022
Gerard Moreno,7,es ESP,FW,29-360,90,51,0,2,22,27,11,51,5,2,40.0,3,60.0,28,148,68,1,2,1,2,2,37,14,30,2021-2022
Manu Trigueros,14,es ESP,LM,30-167,61,37,1,6,18,13,0,37,0,0,,0,,23,85,47,1,3,0,1,0,28,1,30,2021-2022
   Giovani Lo Celso,17,ar ARG,LM,25-358,29,19,0,1,7,11,2,19,2,0,0.0,2,100.0,12,83,31,2,0,0,1,1,14,2,30,2021-2022
Daniel Parejo,5,es ESP,CM,32-351,90,74,2,7,36,31,0,74,1,1,100.0,0,0.0,35,201,134,3,2,0,1,2,49,0,30,2021-2022
Étienne Capoue,6,fr FRA,CM,33-265,61,53,5,11,35,8,0,53,0,0,,0,,23,157,51,0,1,0,3,1,28,1,30,2021-2022
   Francis Coquelin,19,fr FRA,CM,30-324,29,23,0,2,14,7,1,23,0,0,,0,,17,64,39,1,1,0,0,0,19,2,30,2021-2022
Yeremi Pino,21,es ESP,RM,19-164,90,58,1,4,15,40,8,58,5,4,80.0,1,20.0,41,251,132,4,4,3,3,3,45,19,30,2021-2022
Alfonso Pedraza,24,es ESP,LB,25-358,75,42,2,14,14,14,4,42,1,0,0.0,1,100.0,31,182,88,2,2,2,0,0,31,7,30,2021-2022
   Pervis Estupiñán,12,ec ECU,LB,24-071,15,16,0,1,11,5,0,16,1,1,100.0,0,0.0,7,25,13,0,1,0,0,0,9,2,30,2021-2022
Pau Torres,4,es ESP,CB,25-076,90,62,5,20,43,1,0,62,2,1,50.0,1,50.0,34,296,194,1,1,0,1,0,31,0,30,2021-2022
Raúl Albiol,3,es ESP,CB,36-210,90,52,6,23,26,3,0,52,0,0,,0,,24,171,123,1,0,0,0,0,32,0,30,2021-2022
Juan Foyth,8,ar ARG,RB,24-080,75,69,4,20,30,22,1,69,0,0,,0,,38,267,190,1,4,0,0,0,40,3,30,2021-2022
   Serge Aurier,25,ci CIV,RB,29-099,15,21,0,5,8,8,1,21,0,0,,0,,11,50,34,1,0,0,0,0,11,2,30,2021-2022
Gerónimo Rulli,13,ar ARG,GK,29-317,90,36,22,36,0,0,0,36,0,0,,0,,19,143,87,0,0,0,0,0,13,0,30,2021-2022
Thiago Galhardo,7,br BRA,FW,32-256,59,14,0,1,7,6,3,14,0,0,,0,,6,17,12,0,0,0,1,0,8,2,30,2021-2022
   Franco Cervi,11,ar ARG,"FW,RM",27-311,31,28,2,5,12,11,0,28,1,1,100.0,0,0.0,11,76,39,1,0,0,1,0,10,1,30,2021-2022
Iago Aspas,10,es ESP,FW,34-244,90,57,1,1,18,38,6,57,1,1,100.0,0,0.0,36,218,85,5,1,3,0,3,47,7,30,2021-2022
Nolito,9,es ESP,LM,35-169,71,35,1,4,16,15,2,35,0,0,,0,,18,67,42,1,1,0,2,0,20,2,30,2021-2022
   Santi Mina,22,es ESP,"LM,FW",26-116,19,3,0,0,2,1,1,3,0,0,,0,,3,1,1,0,0,0,1,0,3,1,30,2021-2022
Denis Suárez,6,es ESP,CM,28-086,90,97,0,10,60,27,1,97,2,0,0.0,2,100.0,64,424,241,4,2,1,0,0,80,4,30,2021-2022
Brais Méndez,23,es ESP,RM,25-085,80,55,0,10,26,19,2,55,1,1,100.0,0,0.0,36,95,48,2,3,0,2,1,45,5,30,2021-2022
   Orbelín Pineda,18,mx MEX,"RM,LM",26-009,10,13,0,1,4,8,0,13,0,0,,0,,6,33,12,0,2,0,0,0,8,0,30,2021-2022
Fran Beltrán,8,es ESP,DM,23-058,71,58,0,11,40,7,0,58,0,0,,0,,44,229,82,0,0,0,0,0,50,0,30,2021-2022
   Renato Tapia,14,pe PER,DM,26-248,19,21,0,3,14,4,0,21,1,1,100.0,0,0.0,17,84,43,0,1,0,0,0,17,0,30,2021-2022
Javi Galán,17,es ESP,LB,27-134,90,92,2,17,38,38,4,92,2,1,50.0,1,50.0,57,382,231,7,4,1,2,1,66,19,30,2021-2022
Jeison Murillo,24,co COL,CB,29-310,90,48,3,18,27,3,2,48,0,0,,0,,28,136,82,0,0,0,0,0,39,1,30,2021-2022
Joseph Aidoo,15,gh GHA,CB,26-185,90,50,5,20,27,4,1,50,0,0,,0,,30,211,161,0,0,0,0,0,34,0,30,2021-2022
Kevin Vázquez,20,es ESP,RB,29-010,90,66,2,12,27,27,2,66,1,1,100.0,0,0.0,32,159,105,4,2,0,1,0,43,10,30,2021-2022
Matías Dituro,1,ar ARG,GK,34-329,90,37,34,37,0,0,0,37,0,0,,0,,13,63,44,0,0,0,0,0,15,0,30,2021-2022
Karim Benzema,9,fr FRA,FW,34-104,90,45,1,2,22,21,4,42,4,1,25.0,3,75.0,27,161,81,3,2,0,1,2,36,3,30,2021-2022
Vinicius Júnior,20,br BRA,LW,21-264,90,42,2,11,12,20,3,42,4,1,25.0,3,75.0,29,188,84,2,1,1,4,3,31,10,30,2021-2022
Marco Asensio,11,es ESP,RW,26-071,60,35,2,6,15,14,1,35,4,3,75.0,1,25.0,18,112,55,1,1,0,1,1,26,1,30,2021-2022
   Rodrygo,21,br BRA,RW,21-083,30,14,0,5,6,3,1,14,0,0,,0,,7,32,24,2,0,2,0,0,9,2,30,2021-2022
Toni Kroos,8,de GER,LM,32-088,84,73,1,21,39,13,0,73,2,2,100.0,0,0.0,39,193,83,0,1,0,0,0,63,1,30,2021-2022
   Dani Ceballos,19,es ESP,LM,25-238,6,4,0,2,1,1,1,4,0,0,,0,,0,0,0,0,0,0,0,0,2,1,30,2021-2022
