Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Cárdenas,es ESP,24-349,90,1,1,0,0.0,0.8,4,5,80.0,18,6,16.7,23.2,5,40.0,28.2,6,2,33.3,1,13.0,28,2021-2022
Diego López,es ESP,40-129,72,2,,2,,0.4,5,20,25.0,21,5,61.9,45.3,8,87.5,59.0,16,1,6.3,,9.5,28,2021-2022
Joan García,es ESP,20-312,18,1,1,0,0.0,0.2,3,6,50.0,6,1,66.7,47.0,2,100.0,71.0,7,0,0.0,0,3.0,28,2021-2022
Luís Maximiano,pt POR,23-066,90,2,1,1,50.0,1.0,4,10,40.0,18,4,50.0,39.9,9,11.1,26.6,9,0,0.0,5,30.6,28,2021-2022
Édgar Badía,es ESP,30-028,90,4,0,4,100.0,1.2,10,23,43.5,25,6,52.0,42.8,10,100.0,65.5,23,1,4.3,0,13.5,28,2021-2022
Gerónimo Rulli,ar ARG,29-296,90,1,0,1,100.0,0.2,4,14,28.6,29,4,34.5,33.5,6,66.7,53.5,22,1,4.5,1,11.3,28,2021-2022
Matías Dituro,ar ARG,34-308,90,3,1,2,66.7,0.4,3,20,15.0,23,3,56.5,40.9,10,70.0,47.7,13,0,0.0,2,14.4,28,2021-2022
David Soria,es ESP,28-342,90,0,0,0,,0.0,7,13,53.8,16,4,50.0,38.0,8,62.5,45.3,11,2,18.2,0,5.5,28,2021-2022
Giorgi Mamardashvili,ge GEO,21-164,90,6,0,6,100.0,1.0,6,17,35.3,22,5,45.5,38.6,9,77.8,52.4,18,2,11.1,2,14.5,28,2021-2022
Stole Dimitrievski,mk MKD,28-078,90,2,1,1,50.0,1.0,8,20,40.0,26,5,69.2,52.3,3,66.7,46.3,15,4,26.7,4,15.1,28,2021-2022
Yassine Bounou,ma MAR,30-342,90,2,1,1,50.0,0.4,7,20,35.0,37,6,40.5,36.1,9,55.6,41.3,17,3,17.6,0,7.5,28,2021-2022
Rui Silva,pt POR,28-034,90,2,0,2,100.0,0.2,5,20,25.0,49,7,34.7,35.7,6,50.0,36.2,21,3,14.3,2,14.9,28,2021-2022
Unai Simón,es ESP,24-275,90,5,1,4,80.0,2.1,0,2,0.0,22,10,9.1,23.9,4,0.0,18.3,14,3,21.4,1,11.0,28,2021-2022
Álex Remiro,es ESP,26-354,90,4,0,4,100.0,0.4,12,25,48.0,48,4,43.8,40.1,6,66.7,49.2,18,1,5.6,3,21.2,28,2021-2022
Fernando Pacheco,es ESP,29-299,90,5,1,4,80.0,1.8,7,13,53.8,16,4,56.3,38.4,5,80.0,49.0,14,1,7.1,0,10.3,28,2021-2022
Marc-André ter Stegen,de GER,29-317,90,3,0,3,100.0,0.2,2,3,66.7,28,5,10.7,21.3,3,0.0,24.3,4,1,25.0,0,3.0,28,2021-2022
Sergio Herrera,es ESP,28-281,90,9,4,5,66.7,3.9,14,31,45.2,28,2,64.3,44.1,14,92.9,58.4,11,0,0.0,2,22.0,28,2021-2022
Sergio Rico,es ESP,28-194,90,5,3,2,60.0,2.6,10,16,62.5,18,1,61.1,37.4,5,100.0,63.2,10,0,0.0,0,17.0,28,2021-2022
Thibaut Courtois,be BEL,29-307,90,3,0,3,100.0,1.1,2,6,33.3,15,6,13.3,29.4,7,57.1,52.6,12,0,0.0,1,15.3,28,2021-2022
Unai Simón,es ESP,24-280,90,2,1,1,50.0,0.7,3,5,60.0,16,3,18.8,25.7,7,28.6,33.6,9,0,0.0,2,31.5,29,2021-2022
David Soria,es ESP,28-348,90,11,1,10,90.9,2.6,12,34,35.3,26,1,96.2,55.5,10,90.0,52.8,26,0,0.0,0,5.0,29,2021-2022
