player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Artem Dovbyk,9,ua UKR,FW,26-164,90,15,0,0,2,13,9,15,0,0,,0,,12,26,9,0,0,0,5,1,13,6,15,2023-2024
Sávio,16,br BRA,"AM,LM",19-236,90,52,0,3,9,40,3,52,3,1,33.3,1,33.3,38,282,101,3,1,2,3,1,41,14,15,2023-2024
Iván Martín,23,es ESP,"AM,CM",24-291,81,80,1,5,41,35,2,80,1,1,100.0,0,0.0,60,356,216,4,2,1,2,1,67,8,15,2023-2024
   Portu,24,es ESP,CM,31-195,9,1,0,0,1,0,0,1,0,0,,0,,1,0,0,0,0,0,0,0,1,1,15,2023-2024
Aleix García,14,es ESP,"CM,RM",26-157,90,121,6,21,72,29,2,121,1,0,0.0,0,0.0,85,380,241,5,1,0,1,0,97,4,15,2023-2024
Yangel Herrera,21,ve VEN,CM,25-322,12,6,0,1,3,2,0,6,0,0,,0,,3,14,0,0,0,0,0,0,5,2,15,2023-2024
   Pablo Torre,18,es ESP,"CM,RM",20-243,68,40,0,2,12,26,7,40,4,1,25.0,2,50.0,31,133,32,1,1,1,0,2,32,8,15,2023-2024
   Yan Couto,20,br BRA,RB,21-182,10,16,0,1,2,13,0,16,1,0,0.0,1,100.0,10,69,38,0,0,0,0,1,11,5,15,2023-2024
Miguel Gutiérrez,3,es ESP,"WB,LB",22-128,90,70,1,22,22,26,2,70,0,0,,0,,47,301,89,1,3,0,1,0,49,8,15,2023-2024
Viktor Tsyhankov,8,ua UKR,"WB,CM,RB",26-017,90,61,0,4,15,42,4,61,3,1,33.3,1,33.3,46,253,171,6,2,2,2,0,51,23,15,2023-2024
Daley Blind,17,nl NED,CB,33-268,90,107,4,28,68,13,0,107,0,0,,0,,76,435,306,5,1,0,0,0,82,0,15,2023-2024
David López,5,es ESP,CB,34-054,74,90,4,43,46,1,0,90,0,0,,0,,52,254,139,0,0,0,1,0,66,0,15,2023-2024
