player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Ante Budimir,17,hr CRO,FW,32-105,90,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0,12,2023-2024
Rubén Peña,15,es ESP,LW,32-109,82,2,2,1,1,0,0,0,,0,0,0,0,0,2,0,0,12,2023-2024
   Kike Barja,11,es ESP,LW,26-217,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,12,2023-2024
Ezequiel Ávila,9,ar ARG,RW,29-271,74,1,1,0,1,0,1,3,33.3,2,1,0,1,0,1,1,0,12,2023-2024
   Rubén García,14,es ESP,RW,30-113,16,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,12,2023-2024
Aimar Oroz,10,es ESP,AM,21-342,82,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,12,2023-2024
   Raúl,23,es ESP,AM,23-001,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,12,2023-2024
Moi Gómez,16,es ESP,DM,29-134,74,2,2,0,1,1,1,1,100.0,0,0,0,0,1,3,1,0,12,2023-2024
   Pablo Ibáñez,19,es ESP,DM,25-045,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,12,2023-2024
Lucas Torró,6,es ESP,DM,29-108,89,1,0,0,1,0,0,0,,0,1,0,1,1,2,0,0,12,2023-2024
   Jon Moncayola,7,es ESP,DM,25-175,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,12,2023-2024
Johan Mojica,22,co COL,LB,31-075,90,2,2,0,1,1,1,1,100.0,0,0,0,0,1,3,2,0,12,2023-2024
David García,5,es ESP,CB,29-263,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,5,0,12,2023-2024
Catena,24,es ESP,CB,29-007,90,0,0,0,0,0,0,0,,0,1,1,0,1,1,4,0,12,2023-2024
Jesús Areso,12,es ESP,RB,24-125,90,4,2,2,1,1,2,2,100.0,0,0,0,0,0,4,2,0,12,2023-2024
Sergio Herrera,1,es ESP,GK,30-152,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,12,2023-2024
Artem Dovbyk,9,ua UKR,FW,26-136,84,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,12,2023-2024
   Cristhian Stuani,7,uy URU,FW,37-023,6,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,12,2023-2024
Sávio,16,br BRA,LW,19-208,90,1,1,1,0,0,0,2,0.0,2,1,0,1,0,1,0,0,12,2023-2024
Iván Martín,23,es ESP,RW,24-263,84,0,0,0,0,0,0,3,0.0,3,1,0,1,1,1,0,0,12,2023-2024
   Portu,24,es ESP,RW,31-167,6,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,12,2023-2024
Miguel Gutiérrez,3,es ESP,LM,22-100,90,1,1,0,1,0,0,2,0.0,2,3,0,3,0,1,3,0,12,2023-2024
