player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Iván Martín,23,es ESP,CM,24-216,70,24,26,92.3,361,74,12,14,85.7,11,11,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,2,5,2023-2024
   Yangel Herrera,21,ve VEN,CM,25-247,20,11,13,84.6,136,21,9,10,90.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,5,2023-2024
Viktor Tsyhankov,8,ua UKR,RM,25-307,67,12,16,75.0,204,56,8,8,100.0,0,1,0.0,3,5,60.0,0,0.0,0.0,1,0,0,0,1,5,2023-2024
   Portu,24,es ESP,RM,31-120,23,7,9,77.8,105,8,4,5,80.0,3,4,75.0,0,0,,0,0.5,0.2,1,0,0,0,0,5,2023-2024
David López,5,es ESP,DM,33-344,90,57,60,95.0,1073,428,20,20,100.0,31,32,96.9,5,7,71.4,0,0.0,0.0,0,3,0,0,6,5,2023-2024
Miguel Gutiérrez,3,es ESP,LB,22-053,90,48,55,87.3,742,219,28,31,90.3,17,19,89.5,3,4,75.0,0,0.5,0.2,2,2,2,1,4,5,2023-2024
Daley Blind,17,nl NED,CB,33-193,89,51,62,82.3,907,404,23,24,95.8,24,26,92.3,3,6,50.0,0,0.1,0.1,2,10,1,0,4,5,2023-2024
   Juanpe,15,es ESP,CB,32-141,1,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,5,2023-2024
Eric García,25,es ESP,CB,22-252,90,36,43,83.7,711,288,15,15,100.0,17,18,94.4,4,10,40.0,0,0.0,0.0,0,4,0,0,3,5,2023-2024
Yan Couto,20,br BRA,RB,21-107,90,29,37,78.4,438,106,17,18,94.4,8,11,72.7,2,2,100.0,0,0.0,0.0,0,2,1,1,1,5,2023-2024
Paulo Gazzaniga,13,ar ARG,GK,31-259,90,27,39,69.2,655,492,8,8,100.0,15,16,93.8,4,15,26.7,0,0.0,0.0,0,3,0,0,0,5,2023-2024
Kiké,15,es ESP,"FW,AM",33-301,90,12,20,60.0,204,44,4,9,44.4,5,7,71.4,1,1,100.0,0,0.0,0.0,1,1,1,0,2,6,2023-2024
Luis Rioja,11,es ESP,"LW,RW",29-341,83,21,30,70.0,271,43,14,16,87.5,7,8,87.5,0,3,0.0,0,0.0,0.0,0,1,0,0,0,6,2023-2024
   Xeber,17,es ESP,RW,26-088,7,4,6,66.7,42,6,4,4,100.0,0,1,0.0,0,0,,0,0.3,0.1,1,0,0,0,0,6,2023-2024
Alex Sola,7,es ESP,RW,24-105,66,4,11,36.4,68,23,1,1,100.0,1,3,33.3,1,4,25.0,0,0.0,0.0,0,2,0,0,1,6,2023-2024
