player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Vedat Muriqi,7,xk KVX,FW,29-155,90,23,22,0,0,2,0,0,0,0,0,0,0,16,1,0,7,2023-2024
Abdón Prats,9,es ESP,FW,30-293,61,12,10,2,0,0,0,1,0,1,0,1,0,5,0,2,7,2023-2024
   Sergi Darder,10,es ESP,CM,29-278,29,13,11,2,1,0,1,3,0,1,0,1,0,8,0,1,7,2023-2024
Dani Rodríguez,14,es ESP,CM,35-112,84,32,23,7,1,0,1,6,0,5,1,3,1,21,2,0,7,2023-2024
   Manu Morlanes,8,es ESP,CM,24-257,6,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,7,2023-2024
Samu Costa,12,pt POR,CM,22-303,90,19,19,0,0,0,0,0,0,0,0,0,0,16,0,1,7,2023-2024
Antonio Sánchez,18,es ESP,CM,26-268,61,24,24,0,0,0,0,2,0,0,0,0,0,16,0,0,7,2023-2024
   Cyle Larin,17,ca CAN,FW,28-162,29,10,8,1,0,0,0,0,0,0,0,0,0,3,1,2,7,2023-2024
Pablo Maffeo,15,es ESP,LB,26-076,34,16,12,4,0,0,0,1,4,0,0,0,0,9,0,1,7,2023-2024
   Jaume Costa,11,es ESP,"LB,RB",35-192,56,18,14,2,0,0,0,0,2,0,0,0,0,11,2,0,7,2023-2024
Copete,6,es ESP,CB,23-351,90,19,18,1,1,0,0,0,0,0,0,0,0,11,0,0,7,2023-2024
Matija Nastasić,2,rs SRB,CB,30-182,90,13,13,0,0,0,0,0,0,0,0,0,0,9,0,0,7,2023-2024
Martin Valjent,24,sk SVK,CB,27-289,90,23,19,4,1,0,1,1,3,0,0,0,0,13,0,2,7,2023-2024
Giovanni González,20,uy URU,RB,29-006,84,18,17,1,0,0,0,0,1,0,0,0,0,11,0,2,7,2023-2024
   Siebe Van Der Heyden,4,be BEL,LB,25-119,6,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,7,2023-2024
Predrag Rajković,1,rs SRB,GK,27-330,90,32,18,14,2,0,0,0,0,0,0,0,0,10,0,0,7,2023-2024
Ferrán Torres,7,es ESP,FW,23-209,57,11,11,0,0,1,0,0,0,0,0,0,0,6,0,1,7,2023-2024
   Robert Lewandowski,9,pl POL,FW,35-036,33,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,7,2023-2024
João Félix,14,pt POR,LW,23-320,63,19,19,0,0,0,1,0,0,0,0,0,0,14,0,0,7,2023-2024
   Lamine Yamal,27,es ESP,RM,16-075,27,14,14,0,0,0,0,2,0,0,0,0,0,12,0,0,7,2023-2024
Raphinha,11,br BRA,"RW,FW",26-286,90,52,46,6,4,2,2,2,1,1,0,0,0,40,0,0,7,2023-2024
Gavi,6,es ESP,"LM,CM",19-052,90,69,63,5,3,1,1,1,2,0,0,0,0,60,1,1,7,2023-2024
Oriol Romeu,18,es ESP,CM,32-002,63,31,31,0,0,0,0,0,0,0,0,0,0,27,0,0,7,2023-2024
   Fermin López,32,es ESP,LM,20-138,27,16,15,1,0,0,0,0,1,0,0,0,0,13,0,2,7,2023-2024
İlkay Gündoğan,22,de GER,"RM,CM",32-337,90,48,42,6,2,1,0,3,0,1,1,0,0,37,0,1,7,2023-2024
Alejandro Balde,3,es ESP,LB,19-343,90,40,31,9,2,0,1,0,7,0,0,0,0,34,0,2,7,2023-2024
Iñigo Martínez,5,es ESP,CB,32-132,77,81,79,2,1,0,3,0,1,0,0,0,0,71,0,0,7,2023-2024
   Jules Koundé,23,fr FRA,CB,24-318,13,19,19,0,0,0,0,1,0,0,0,0,0,15,0,1,7,2023-2024
Ronald Araújo,4,uy URU,CB,24-203,90,88,82,6,5,0,1,0,1,0,0,0,0,81,0,0,7,2023-2024
João Cancelo,2,pt POR,RB,29-122,90,99,87,12,3,1,2,2,9,0,0,0,0,84,0,1,7,2023-2024
Marc-André ter Stegen,1,de GER,GK,31-149,90,28,20,8,5,0,0,0,0,0,0,0,0,27,0,0,7,2023-2024
Gorka Guruzeta,12,es ESP,FW,27-015,64,16,14,2,0,0,0,0,0,0,0,0,0,12,0,0,7,2023-2024
   Raúl García,22,es ESP,RW,37-078,26,7,7,0,0,0,0,1,0,0,0,0,0,3,0,0,7,2023-2024
Álex Berenguer,7,es ESP,LW,28-085,84,29,22,7,2,1,0,9,0,5,2,1,0,20,0,0,7,2023-2024
   Iker Muniain,10,es ESP,LW,30-282,6,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1,7,2023-2024
Iñaki Williams,9,gh GHA,"RW,FW",29-104,90,41,39,2,0,0,0,6,1,0,0,0,0,30,0,3,7,2023-2024
Oihan Sancet,8,es ESP,AM,23-155,44,16,16,0,0,0,0,0,0,0,0,0,0,13,0,0,7,2023-2024
Ander Herrera,21,es ESP,DM,34-044,81,56,52,2,2,1,0,1,0,0,0,0,0,46,2,1,7,2023-2024
   Beñat Prados,24,es ESP,DM,22-231,9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2023-2024
Mikel Vesga,6,es ESP,DM,30-129,64,27,27,0,0,0,0,2,0,0,0,0,0,19,0,0,7,2023-2024
   Dani García,14,es ESP,DM,33-126,26,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,7,2023-2024
Yuri Berchiche,17,es ESP,LB,33-229,90,50,34,16,4,0,1,2,12,0,0,0,0,40,0,0,7,2023-2024
Aitor Paredes,4,es ESP,CB,23-151,45,37,34,1,1,0,0,0,0,0,0,0,0,25,2,1,7,2023-2024
   Yeray Álvarez,5,es ESP,CB,28-246,45,13,10,2,2,0,1,0,0,0,0,0,0,9,1,0,7,2023-2024
Daniel Vivian,3,es ESP,CB,24-074,90,38,37,1,1,0,1,0,0,0,0,0,0,31,0,0,7,2023-2024
Óscar de Marcos,18,es ESP,RB,34-166,90,53,43,10,1,0,0,1,9,0,0,0,0,42,0,0,7,2023-2024
Unai Simón,1,es ESP,GK,26-108,90,37,24,12,7,0,0,0,0,0,0,0,0,20,1,0,7,2023-2024
Borja Mayoral,19,es ESP,FW,26-175,90,17,17,0,0,0,2,1,0,0,0,0,0,11,0,2,7,2023-2024
Mason Greenwood,12,eng ENG,"LM,RM",21-361,90,35,31,4,1,0,1,10,0,3,3,0,0,24,0,2,7,2023-2024
Nemanja Maksimović,20,rs SRB,CM,28-244,84,32,29,3,0,0,0,0,0,0,0,0,0,25,0,1,7,2023-2024
   Jaime Mata,7,es ESP,LM,34-338,6,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2023-2024
Mauro Arambarri,8,uy URU,CM,27-362,76,33,32,1,1,0,0,1,0,0,0,0,0,25,0,0,7,2023-2024
   Djené,2,tg TOG,CM,31-270,14,12,12,0,0,0,0,2,0,0,0,0,0,8,0,0,7,2023-2024
Carles Aleñá,11,es ESP,RM,25-265,64,20,19,1,1,0,0,1,0,0,0,0,0,13,0,0,7,2023-2024
   Juanmi Latasa,14,es ESP,"FW,RM",22-188,26,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2023-2024
Fabrizio Angileri,3,ar ARG,LB,29-196,64,22,21,1,0,0,0,1,1,0,0,0,0,17,0,1,7,2023-2024
   Óscar Rodríguez Arnaiz,9,es ESP,"CM,LB,LM",25-091,26,21,19,2,1,0,1,0,0,1,0,0,0,16,0,0,7,2023-2024
Diego Rico,16,es ESP,"CB,LB",30-216,90,79,67,12,1,1,1,6,11,0,0,0,0,58,0,1,7,2023-2024
Gastón Álvarez,4,uy URU,CB,23-187,90,40,37,3,3,0,0,0,0,0,0,0,0,30,0,1,7,2023-2024
