player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Mikel Oyarzabal,10,es ESP,FW,26-183,83,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,10,2023-2024
   Umar Sadiq,19,ng NGA,FW,26-261,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Carlos Fernández,9,es ESP,FW,27-152,59,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,10,2023-2024
   Takefusa Kubo,14,jp JPN,"FW,RW",22-139,31,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Arsen Zakharyan,12,ru RUS,LM,20-148,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
   Ander Barrenetxea,7,es ESP,"LM,LW",21-298,45,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,10,2023-2024
Mikel Merino,8,es ESP,"CM,DM",27-121,90,4,3,1,2,1,0,2,0.0,2,1,1,0,2,6,4,0,10,2023-2024
Martín Zubimendi,4,es ESP,"CM,DM",24-261,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,10,2023-2024
Brais Méndez,23,es ESP,"RM,AM",26-287,90,1,1,0,1,0,0,1,0.0,1,1,0,1,1,2,0,0,10,2023-2024
Aihen Muñoz,3,es ESP,LB,26-066,90,2,2,1,0,1,0,0,,0,3,3,0,0,2,5,0,10,2023-2024
Jon Pacheco,20,es ESP,CB,22-286,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,8,0,10,2023-2024
Igor Zubeldia,5,es ESP,CB,26-205,69,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,10,2023-2024
   Robin Le Normand,24,es ESP,CB,26-344,21,0,0,0,0,0,0,0,,0,1,1,0,2,2,3,0,10,2023-2024
Aritz Elustondo,6,es ESP,RB,29-207,59,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,10,2023-2024
   Hamari Traoré,18,ml MLI,RB,31-267,31,1,0,1,0,0,0,0,,0,0,0,0,0,1,3,0,10,2023-2024
Álex Remiro,1,es ESP,GK,28-211,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Vedat Muriqi,7,xk KVX,FW,29-180,90,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,10,2023-2024
Cyle Larin,17,ca CAN,FW,28-187,72,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
   Abdón Prats,9,es ESP,FW,30-318,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Dani Rodríguez,14,es ESP,CM,35-137,85,3,1,1,2,0,2,3,66.7,1,1,1,0,0,3,0,0,10,2023-2024
   Javier Llabrés,19,es ESP,CM,21-040,5,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,10,2023-2024
Samu Costa,12,pt POR,CM,22-328,90,7,2,2,4,1,3,3,100.0,0,1,1,0,3,10,3,0,10,2023-2024
Antonio Sánchez,18,es ESP,CM,26-293,73,2,1,2,0,0,2,2,100.0,0,3,0,3,1,3,0,0,10,2023-2024
   Amath,23,sn SEN,CM,27-097,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,10,2023-2024
Toni Lato,3,es ESP,LB,25-334,68,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
   Jaume Costa,11,es ESP,LB,35-217,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Copete,6,es ESP,CB,24-011,69,2,1,2,0,0,2,3,66.7,1,0,0,0,0,2,3,0,10,2023-2024
   Manu Morlanes,8,es ESP,CB,24-282,21,3,2,1,2,0,3,4,75.0,1,0,0,0,0,3,0,0,10,2023-2024
Matija Nastasić,2,rs SRB,CB,30-207,90,1,0,0,1,0,0,0,,0,1,0,1,0,1,1,0,10,2023-2024
Martin Valjent,24,sk SVK,CB,27-314,90,5,2,3,2,0,3,3,100.0,0,1,0,1,2,7,7,0,10,2023-2024
Giovanni González,20,uy URU,RB,29-031,90,2,1,1,1,0,1,2,50.0,1,1,0,1,1,3,1,0,10,2023-2024
Predrag Rajković,1,rs SRB,GK,27-355,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,10,2023-2024
Borja Mayoral,19,es ESP,FW,26-199,90,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,2,0,10,2023-2024
Mason Greenwood,12,eng ENG,"FW,LM",22-020,77,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,10,2023-2024
   Óscar Rodríguez Arnaiz,9,es ESP,FW,25-115,13,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,10,2023-2024
Jaime Mata,7,es ESP,LM,34-362,63,3,3,1,1,1,1,1,100.0,0,2,0,2,1,4,0,0,10,2023-2024
   Juanmi Latasa,14,es ESP,FW,22-212,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,10,2023-2024
Nemanja Maksimović,20,rs SRB,CM,28-268,90,2,1,2,0,0,1,2,50.0,1,2,1,1,1,3,1,0,10,2023-2024
Mauro Arambarri,8,uy URU,CM,28-021,45,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,10,2023-2024
   Omar Alderete,15,py PAR,"CB,CM",26-299,45,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,2,0,10,2023-2024
Carmona,18,es ESP,RM,21-265,90,4,3,1,3,0,1,2,50.0,1,2,0,2,0,4,1,0,10,2023-2024
Diego Rico,16,es ESP,LB,30-240,90,5,4,2,2,1,4,7,57.1,3,0,0,0,4,9,3,0,10,2023-2024
Gastón Álvarez,4,uy URU,CB,23-211,90,0,0,0,0,0,0,1,0.0,1,2,1,1,2,2,7,0,10,2023-2024
Stefan Mitrović,23,rs SRB,CB,33-152,63,1,0,1,0,0,1,1,100.0,0,1,1,0,0,1,1,0,10,2023-2024
   Carles Aleñá,11,es ESP,CM,25-289,27,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,10,2023-2024
Damián Suárez,22,uy URU,RB,35-177,54,4,2,2,2,0,2,3,66.7,1,1,0,1,0,4,1,0,10,2023-2024
   Iglesias,21,es ESP,RB,25-110,36,1,0,0,1,0,0,1,0.0,1,1,0,1,1,2,0,0,10,2023-2024
David Soria,13,es ESP,GK,30-200,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Borja Iglesias,9,es ESP,FW,30-277,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,10,2023-2024
Rodri,17,es ESP,LW,23-158,71,2,1,0,2,0,1,2,50.0,1,0,0,0,0,2,0,0,10,2023-2024
   Abdessamad Ezzalzouli,7,ma MAR,LW,21-308,19,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,10,2023-2024
Assane Diao,38,es ESP,RW,18-044,71,3,1,1,1,1,1,2,50.0,1,1,0,1,1,4,0,0,10,2023-2024
   Luiz Henrique,11,br BRA,RW,22-292,19,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,10,2023-2024
Isco,22,es ESP,AM,31-183,90,3,2,0,3,0,0,2,0.0,2,0,0,0,0,3,0,0,10,2023-2024
Marc Roca,21,es ESP,DM,26-329,90,2,2,1,1,0,1,4,25.0,3,1,0,1,0,2,0,0,10,2023-2024
Andrés Guardado,18,mx MEX,DM,37-023,59,1,0,1,0,0,0,1,0.0,1,2,1,1,1,2,1,0,10,2023-2024
   Ricardo Visus,34,es ESP,DF,22-180,31,,0,,,,,,,,,,,1,,,,10,2023-2024
Juan Miranda,3,es ESP,LB,23-275,90,0,0,0,0,0,0,0,,0,2,1,1,3,3,5,0,10,2023-2024
Chadi Riad,28,ma MAR,CB,20-126,90,2,2,1,1,0,0,1,0.0,1,0,0,0,1,3,3,0,10,2023-2024
Germán Pezzella,6,ar ARG,CB,32-116,59,0,0,0,0,0,0,0,,0,2,2,0,1,1,3,0,10,2023-2024
   William Carvalho,14,pt POR,DM,31-197,31,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,10,2023-2024
Héctor Bellerín,2,es ESP,RB,28-216,90,2,1,2,0,0,2,4,50.0,2,1,1,0,2,4,1,0,10,2023-2024
Claudio Bravo,1,cl CHI,GK,40-191,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,10,2023-2024
Youssef En-Nesyri,15,ma MAR,FW,26-142,86,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0,10,2023-2024
   Rafa Mir,9,es ESP,FW,26-125,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Lucas Ocampos,5,ar ARG,LW,29-102,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,10,2023-2024
Dodi Lukebakio,11,be BEL,RW,26-027,66,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,10,2023-2024
   Suso,7,es ESP,RW,29-336,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Ivan Rakitić,10,hr CRO,LM,35-225,90,3,1,0,0,3,2,2,100.0,0,2,0,2,0,3,0,0,10,2023-2024
Boubakary Soumaré,24,fr FRA,CM,24-236,90,1,1,1,0,0,0,0,,0,0,0,0,1,2,1,0,10,2023-2024
Djibril Sow,18,ch SUI,RM,26-257,86,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,10,2023-2024
   Érik Lamela,17,ar ARG,RM,31-231,4,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,10,2023-2024
Marcos Acuña,19,ar ARG,LB,31-358,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Sergio Ramos,4,es ESP,CB,37-205,90,1,1,1,0,0,0,0,,0,3,3,0,1,2,5,0,10,2023-2024
Nemanja Gudelj,6,rs SRB,CB,31-339,76,2,2,2,0,0,2,4,50.0,2,1,0,1,1,3,5,0,10,2023-2024
   Loïc Bade,22,fr FRA,CB,23-193,14,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,10,2023-2024
Jesús Navas,16,es ESP,RB,37-334,90,4,2,4,0,0,3,4,75.0,1,0,0,0,1,5,0,0,10,2023-2024
Ørjan Nyland,13,no NOR,GK,33-041,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Vinicius Júnior,7,br BRA,FW,23-101,87,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,1,10,2023-2024
   Brahim Díaz,21,es ESP,FW,24-079,3,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,10,2023-2024
Rodrygo,11,br BRA,FW,22-285,78,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,10,2023-2024
   Joselu,14,es ESP,FW,33-208,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Jude Bellingham,5,eng ENG,AM,20-114,90,0,0,0,0,0,0,1,0.0,1,4,0,4,1,1,1,0,10,2023-2024
Toni Kroos,8,de GER,LM,33-290,90,1,1,1,0,0,1,5,20.0,4,3,0,3,0,1,2,0,10,2023-2024
Federico Valverde,15,uy URU,RM,25-091,66,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,10,2023-2024
   Luka Modrić,10,hr CRO,RM,38-042,24,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,10,2023-2024
Aurélien Tchouaméni,18,fr FRA,DM,23-267,66,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,10,2023-2024
   Eduardo Camavinga,12,fr FRA,DM,20-345,24,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,10,2023-2024
Ferland Mendy,23,fr FRA,LB,28-135,87,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,3,0,10,2023-2024
   Fran Garcia,20,es ESP,LB,24-068,3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,10,2023-2024
David Alaba,4,at AUT,CB,31-119,90,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,7,0,10,2023-2024
Antonio Rüdiger,22,de GER,CB,30-232,90,1,1,1,0,0,1,2,50.0,1,1,1,0,1,2,3,0,10,2023-2024
Dani Carvajal,2,es ESP,RB,31-283,90,4,2,2,1,1,3,4,75.0,1,1,1,0,1,5,2,0,10,2023-2024
Kepa Arrizabalaga,25,es ESP,GK,29-018,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Jørgen Strand Larsen,18,no NOR,FW,23-257,80,2,0,0,2,0,1,2,50.0,1,1,1,0,0,2,0,0,10,2023-2024
   Miguel Rodríguez,29,es ESP,FW,20-175,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Jonathan Bamba,17,ci CIV,LW,27-209,90,1,1,0,1,0,0,0,,0,1,0,1,1,2,1,0,10,2023-2024
Iago Aspas,10,es ESP,RW,36-081,60,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,10,2023-2024
   Anastasios Douvikas,12,gr GRE,RW,24-080,30,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Luca de la Torre,14,us USA,LM,25-151,80,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,0,0,10,2023-2024
   Carlos Dotor,6,es ESP,LM,22-220,10,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,10,2023-2024
Fran Beltrán,8,es ESP,"RM,CM",24-260,60,1,0,0,0,1,1,2,50.0,1,1,0,1,0,1,0,0,10,2023-2024
   Hugo Sotelo,30,es ESP,RM,19-306,30,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,10,2023-2024
Óscar Mingueza,3,es ESP,"RB,RM",24-161,90,1,1,1,0,0,1,4,25.0,3,2,1,1,0,1,0,0,10,2023-2024
Manu Sánchez,23,es ESP,LB,23-058,90,3,3,2,1,0,1,2,50.0,1,1,0,1,0,3,2,0,10,2023-2024
Unai Núñez,4,es ESP,CB,26-264,90,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,3,0,10,2023-2024
Carl Starfelt,2,se SWE,CB,28-142,90,1,1,1,0,0,1,1,100.0,0,2,2,0,0,1,8,0,10,2023-2024
Kevin Vázquez,20,es ESP,RB,30-212,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
   Vicente Guaita,25,es ESP,GK,36-284,63,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Iván Villar,13,es ESP,GK,26-104,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Antoine Griezmann,7,fr FRA,FW,32-214,75,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,10,2023-2024
   Çağlar Söyüncü,4,tr TUR,CB,27-151,15,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,10,2023-2024
Álvaro Morata,19,es ESP,FW,30-363,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,10,2023-2024
Saúl Ñíguez,8,es ESP,CM,28-334,56,4,2,3,0,1,2,2,100.0,0,1,1,0,1,5,3,0,10,2023-2024
   Rodrigo De Paul,5,ar ARG,CM,29-150,34,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,10,2023-2024
Koke,6,es ESP,CM,31-286,90,4,3,3,1,0,1,6,16.7,5,0,0,0,3,7,0,0,10,2023-2024
Pablo Barrios,24,es ESP,CM,20-128,45,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0,10,2023-2024
   Rodrigo Riquelme,25,es ESP,"LM,WB",23-202,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,10,2023-2024
Samuel Lino,12,br BRA,WB,23-302,45,1,1,1,0,0,1,3,33.3,2,2,0,2,0,1,0,0,10,2023-2024
   Nahuel Molina,16,ar ARG,"RB,WB",25-198,45,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,10,2023-2024
Marcos Llorente,14,es ESP,"WB,RM",28-264,56,1,0,0,1,0,0,2,0.0,2,1,1,0,0,1,2,0,10,2023-2024
   Ángel Correa,10,ar ARG,"RM,FW",28-226,34,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,10,2023-2024
Mario Hermoso,22,es ESP,CB,28-125,90,0,0,0,0,0,0,0,,0,2,1,1,3,3,8,0,10,2023-2024
Axel Witsel,20,be BEL,"CB,CM",34-282,90,1,0,0,1,0,1,1,100.0,0,1,1,0,0,1,4,0,10,2023-2024
César Azpilicueta,3,es ESP,"CB,LB",34-054,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,5,0,10,2023-2024
Jan Oblak,13,si SVN,GK,30-287,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Marc Cardona,19,es ESP,"FW,LW",28-106,82,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,0,0,10,2023-2024
   Sory Kaba,16,gn GUI,FW,28-086,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,2023-2024
Munir El Haddadi,17,ma MAR,"LW,FW",28-051,73,2,1,0,1,1,2,3,66.7,1,0,0,0,0,2,0,0,10,2023-2024
   Alberto Moleiro,10,es ESP,LW,20-022,17,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,10,2023-2024
