player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Maxi Gómez,25,uy URU,FW,27-054,72,12,12,0,0,0,0,0,0,0,0,0,0,4,0,1,9,2023-2024
   Sergi Guardiola,19,es ESP,"RM,FW",32-131,18,6,6,0,0,0,1,0,0,0,0,0,0,3,0,1,9,2023-2024
Chris Ramos,16,es ESP,"LM,FW,RM",26-262,78,13,13,0,0,0,0,0,0,0,0,0,0,6,0,0,9,2023-2024
   Álvaro Negredo,9,es ESP,FW,38-048,12,5,5,0,0,0,0,1,0,0,0,0,0,2,0,0,9,2023-2024
Darwin Machís,18,ve VEN,LM,30-242,9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9,2023-2024
Rubén Alcaraz,4,es ESP,CM,32-159,90,24,23,1,0,0,1,1,0,0,0,0,0,18,0,0,9,2023-2024
Gonzalo Escalante,17,ar ARG,CM,30-194,65,20,19,1,0,0,0,0,0,0,0,0,0,13,0,0,9,2023-2024
   Lucas,33,br BRA,"LB,LM",22-197,25,12,10,2,0,0,0,2,2,0,0,0,0,10,0,1,9,2023-2024
Iván Alejo,11,es ESP,"RM,RB",28-239,90,23,20,3,0,0,0,7,3,0,0,0,0,10,0,1,9,2023-2024
Javi Hernández ,15,es ESP,"LB,CB",25-158,90,36,24,12,3,0,0,9,4,5,2,3,0,17,0,0,9,2023-2024
Fali,3,es ESP,CB,30-056,90,16,14,2,2,0,0,0,0,0,0,0,0,9,0,1,9,2023-2024
Jorge Meré,22,es ESP,CB,26-173,78,9,9,0,0,0,0,0,0,0,0,0,0,2,0,0,9,2023-2024
   Rubén Sobrino,7,es ESP,LM,31-128,12,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,9,2023-2024
Isaac Carcelen,20,es ESP,RB,30-167,65,11,6,5,1,0,1,1,4,0,0,0,0,8,0,2,9,2023-2024
   Rominigue Kouamé,12,ml MLI,CM,26-294,25,12,12,0,0,0,0,0,0,0,0,0,0,12,0,0,9,2023-2024
Jeremías Ledesma,1,ar ARG,GK,30-236,90,40,20,20,10,0,0,0,0,0,0,0,0,19,0,0,9,2023-2024
Artem Dovbyk,9,ua UKR,FW,26-108,71,12,12,0,0,0,0,0,0,0,0,0,0,9,0,0,9,2023-2024
   Cristhian Stuani,7,uy URU,FW,36-360,19,5,5,0,0,0,0,0,0,0,0,0,0,3,0,1,9,2023-2024
Sávio,16,br BRA,LW,19-180,71,35,35,0,0,0,0,4,0,0,0,0,0,29,0,0,9,2023-2024
   Valery Fernández,11,es ESP,"WB,LW",23-318,19,11,11,0,0,0,0,1,0,0,0,0,0,10,0,0,9,2023-2024
Iván Martín,23,es ESP,"RW,AM",24-235,87,46,46,0,0,0,0,0,0,0,0,0,0,44,0,0,9,2023-2024
   Juanpe,15,es ESP,CB,32-160,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,9,2023-2024
Miguel Gutiérrez,3,es ESP,LM,22-072,61,34,29,5,1,0,0,0,4,0,0,0,0,29,0,2,9,2023-2024
   Pablo Torre,18,es ESP,"AM,CM,LM",20-187,29,27,27,0,0,0,1,1,0,0,0,0,0,21,0,0,9,2023-2024
Aleix García,14,es ESP,CM,26-101,90,95,88,6,1,0,1,9,0,5,2,0,0,85,1,0,9,2023-2024
Yangel Herrera,21,ve VEN,CM,25-266,87,41,40,1,0,0,0,5,0,0,0,0,0,31,0,2,9,2023-2024
   Ibrahima Kebe,6,ml MLI,CM,23-066,3,3,2,1,1,0,0,0,0,0,0,0,0,1,0,0,9,2023-2024
Yan Couto,20,br BRA,"RM,WB,RW",21-126,90,68,64,4,1,0,0,10,3,0,0,0,0,50,0,1,9,2023-2024
Daley Blind,17,nl NED,"CB,LB",33-212,90,110,105,4,3,0,1,1,1,0,0,0,0,99,1,0,9,2023-2024
David López,5,es ESP,CB,33-363,90,65,65,0,0,0,0,0,0,0,0,0,0,59,0,0,9,2023-2024
Eric García,25,es ESP,"CB,RB",22-271,90,79,75,3,1,0,0,0,2,0,0,0,0,73,1,0,9,2023-2024
Paulo Gazzaniga,13,ar ARG,GK,31-278,90,33,19,14,3,0,1,0,0,0,0,0,0,27,0,0,9,2023-2024
