player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Artem Dovbyk,9,ua UKR,FW,26-094,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3,6,2023-2024
   Cristhian Stuani,7,uy URU,FW,36-346,30,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,66.7,6,2023-2024
Sávio,16,br BRA,LM,19-166,75,0,0,0,0,1,1,4,0,1,0,0,0,4,1,0,100.0,6,2023-2024
   Pablo Torre,18,es ESP,CM,20-173,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,6,2023-2024
Iván Martín,23,es ESP,CM,24-221,90,1,0,0,2,0,0,0,0,1,0,0,0,5,0,2,0.0,6,2023-2024
Yangel Herrera,21,ve VEN,CM,25-252,73,0,0,0,0,2,0,0,1,1,1,0,0,3,1,0,100.0,6,2023-2024
   Valery Fernández,11,es ESP,LM,23-304,17,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,6,2023-2024
Viktor Tsyhankov,8,ua UKR,RM,25-312,60,0,0,0,1,1,0,2,0,0,0,1,0,1,1,0,100.0,6,2023-2024
   Portu,24,es ESP,RM,31-125,30,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,100.0,6,2023-2024
Aleix García,14,es ESP,DM,26-087,90,0,0,0,2,0,0,7,2,0,0,0,0,9,0,1,0.0,6,2023-2024
Daley Blind,17,nl NED,LB,33-198,90,0,0,0,2,0,0,2,0,0,0,0,0,3,1,1,50.0,6,2023-2024
David López,5,es ESP,CB,33-349,90,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,50.0,6,2023-2024
Eric García,25,es ESP,CB,22-257,64,0,0,0,0,2,0,0,1,1,0,0,0,5,1,1,50.0,6,2023-2024
   Juanpe,15,es ESP,CB,32-146,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,6,2023-2024
Yan Couto,20,br BRA,RB,21-112,90,0,0,0,0,3,0,5,0,1,0,0,0,7,0,0,,6,2023-2024
Paulo Gazzaniga,13,ar ARG,GK,31-264,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,2023-2024
Vedat Muriqi,7,xk KVX,FW,29-152,77,0,0,0,1,0,1,0,0,0,0,0,0,5,1,2,33.3,6,2023-2024
   Abdón Prats,9,es ESP,FW,30-290,13,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,100.0,6,2023-2024
Sergi Darder,10,es ESP,"LM,DM,AM",29-275,90,0,0,0,0,2,0,9,0,0,0,0,0,2,0,0,,6,2023-2024
Samu Costa,12,pt POR,"CM,DM",22-300,77,1,0,0,3,2,0,1,1,0,0,1,0,9,1,0,100.0,6,2023-2024
   Antonio Sánchez,18,es ESP,DM,26-265,13,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,,6,2023-2024
Manu Morlanes,8,es ESP,"CM,DM",24-254,64,1,0,0,0,0,0,1,0,1,0,0,0,3,0,0,,6,2023-2024
   Cyle Larin,17,ca CAN,AM,28-159,26,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,100.0,6,2023-2024
Dani Rodríguez,14,es ESP,"RW,RM",35-109,90,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,100.0,6,2023-2024
Jaume Costa,11,es ESP,LB,35-189,64,1,0,0,3,0,0,1,1,1,0,0,0,3,0,2,0.0,6,2023-2024
   Toni Lato,3,es ESP,LB,25-306,26,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0.0,6,2023-2024
Siebe Van Der Heyden,4,be BEL,CB,25-116,45,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,33.3,6,2023-2024
   Amath,23,sn SEN,LW,27-069,45,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,,6,2023-2024
Matija Nastasić,2,rs SRB,CB,30-179,90,1,0,0,1,1,0,0,0,0,0,0,0,7,1,1,50.0,6,2023-2024
Martin Valjent,24,sk SVK,CB,27-286,90,0,0,0,1,0,0,0,1,0,0,0,0,3,2,0,100.0,6,2023-2024
Pablo Maffeo,15,es ESP,RB,26-073,90,0,0,0,0,0,0,5,0,0,0,0,0,6,1,2,33.3,6,2023-2024
Predrag Rajković,1,rs SRB,GK,27-327,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,2023-2024
Ante Budimir,17,hr CRO,FW,32-063,84,1,0,0,3,0,1,0,0,0,0,0,0,3,2,7,22.2,6,2023-2024
   Rubén García,14,es ESP,RW,30-071,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,2023-2024
Johan Mojica,22,co COL,LW,31-033,67,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0.0,6,2023-2024
   Kike Barja,11,es ESP,LW,26-175,23,0,0,0,1,0,0,5,0,0,0,0,0,3,1,0,100.0,6,2023-2024
Ezequiel Ávila,9,ar ARG,RW,29-229,84,0,0,0,0,3,0,5,0,0,0,0,0,3,1,5,16.7,6,2023-2024
   Raúl,23,es ESP,"FW,RW",22-324,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,6,2023-2024
Aimar Oroz,10,es ESP,"LM,RM",21-300,90,0,0,0,1,1,0,1,0,2,0,0,0,6,2,2,50.0,6,2023-2024
Lucas Torró,6,es ESP,CM,29-066,90,1,0,0,1,0,0,0,2,0,0,0,0,7,9,4,69.2,6,2023-2024
Iker Muñoz,34,es ESP,RM,20-322,67,0,0,0,2,1,0,0,0,3,0,0,0,5,4,1,80.0,6,2023-2024
   Moi Gómez,16,es ESP,"RM,LM",29-092,23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,6,2023-2024
Juan Cruz Armada,3,es ESP,LB,31-057,90,0,0,0,2,0,0,1,1,0,0,0,0,7,0,1,0.0,6,2023-2024
David García,5,es ESP,CB,29-221,90,0,0,0,1,0,0,0,0,0,0,0,0,5,3,3,50.0,6,2023-2024
Catena,24,es ESP,CB,28-330,90,0,0,0,0,0,1,0,1,0,0,0,0,8,3,0,100.0,6,2023-2024
Rubén Peña,15,es ESP,RB,32-067,84,0,0,0,0,1,0,2,1,2,0,0,0,4,1,2,33.3,6,2023-2024
   Jesús Areso,12,es ESP,RB,24-083,6,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,,6,2023-2024
Sergio Herrera,1,es ESP,GK,30-110,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,2023-2024
Rafa Mir,9,es ESP,FW,26-097,69,0,0,0,1,1,0,0,0,1,0,0,0,1,2,7,22.2,6,2023-2024
   Youssef En-Nesyri,15,ma MAR,FW,26-114,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,6,2023-2024
Dodi Lukebakio,11,be BEL,"LW,RW",25-364,90,0,0,0,1,1,3,3,1,0,0,0,0,4,1,2,33.3,6,2023-2024
Lucas Ocampos,5,ar ARG,"RW,LW",29-074,90,0,0,0,1,3,0,5,0,1,0,0,0,4,4,1,80.0,6,2023-2024
