player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Léo Baptistão,12,br BRA,FW,31-063,85,12,17,70.6,129,43,10,11,90.9,2,3,66.7,0,0,,0,0.0,0.0,1,0,0,0,2,11,2023-2024
   Marciano Sanca,34,gw GNB,FW,19-239,5,2,3,66.7,21,0,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,11,2023-2024
Adri Embarba,10,es ESP,"LW,RW",31-174,90,16,35,45.7,227,70,10,12,83.3,4,10,40.0,1,6,16.7,0,0.0,0.0,0,0,0,0,1,11,2023-2024
Lázaro,14,br BRA,RW,21-230,62,9,11,81.8,102,0,5,5,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0,11,2023-2024
   Largie Ramazani,7,be BEL,"RW,LW",22-243,28,4,7,57.1,42,31,4,4,100.0,0,0,,0,1,0.0,0,0.1,0.0,1,0,0,0,1,11,2023-2024
Lucas Robertone,5,ar ARG,AM,26-224,80,40,50,80.0,713,269,18,23,78.3,17,18,94.4,3,7,42.9,1,0.0,0.1,1,8,1,0,9,11,2023-2024
   Gonzalo Melero,11,es ESP,DM,29-299,10,3,4,75.0,79,47,1,1,100.0,1,1,100.0,1,2,50.0,0,0.0,0.0,0,2,0,0,0,11,2023-2024
Iddrisu Baba,4,gh GHA,DM,27-279,45,8,12,66.7,151,6,3,5,60.0,5,5,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,11,2023-2024
   Houboulang Mendes,24,gw GNB,"DM,RB",25-177,45,21,29,72.4,393,179,9,11,81.8,11,14,78.6,1,3,33.3,0,0.0,0.0,0,3,0,0,2,11,2023-2024
Dion Lopy,6,sn SEN,DM,21-268,90,25,30,83.3,434,102,11,12,91.7,9,10,90.0,3,3,100.0,0,0.0,0.0,0,3,0,0,2,11,2023-2024
Álex Centelles,20,es ESP,LB,25-354,45,16,23,69.6,272,82,8,8,100.0,6,7,85.7,1,6,16.7,0,0.0,0.0,1,0,1,1,0,11,2023-2024
   Sergio Arribas,19,es ESP,"LB,AM",22-028,45,13,17,76.5,175,27,8,9,88.9,5,6,83.3,0,0,,0,0.1,0.0,1,0,1,0,1,11,2023-2024
Juan Brandáriz,21,es ESP,CB,24-240,90,37,41,90.2,722,205,12,12,100.0,19,19,100.0,5,9,55.6,0,0.0,0.0,0,2,0,0,0,11,2023-2024
César Montes,22,mx MEX,CB,26-246,90,27,45,60.0,592,250,9,11,81.8,13,21,61.9,5,11,45.5,0,0.0,0.0,0,2,0,0,1,11,2023-2024
Alejandro Pozo Pozo,17,es ESP,"RB,LB",24-248,90,46,70,65.7,862,474,22,25,88.0,17,24,70.8,6,14,42.9,0,0.0,0.0,1,6,1,0,7,11,2023-2024
Fernando,13,es ESP,GK,33-140,90,29,44,65.9,831,597,2,2,100.0,18,18,100.0,9,23,39.1,0,0.0,0.0,0,0,0,0,0,11,2023-2024
Marc Cardona,19,es ESP,FW,28-112,59,9,14,64.3,106,6,5,7,71.4,3,5,60.0,0,0,,0,0.0,0.0,0,1,0,0,2,11,2023-2024
   Sory Kaba,16,gn GUI,FW,28-092,31,6,8,75.0,110,0,3,4,75.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,11,2023-2024
Munir El Haddadi,17,ma MAR,LW,28-057,59,22,29,75.9,298,70,13,14,92.9,7,9,77.8,1,2,50.0,0,0.0,0.0,0,1,1,0,4,11,2023-2024
   Alberto Moleiro,10,es ESP,LW,20-028,31,16,16,100.0,213,29,9,9,100.0,6,6,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,11,2023-2024
Marvin,2,es ESP,RW,23-117,81,18,28,64.3,243,76,12,14,85.7,6,9,66.7,0,1,0.0,1,0.3,0.4,1,1,1,1,1,11,2023-2024
   Julian Araujo,28,mx MEX,RW,22-076,9,2,3,66.7,40,5,1,1,100.0,1,1,100.0,0,1,0.0,0,0.1,0.0,1,0,1,1,0,11,2023-2024
Kirian Rodríguez,20,es ESP,CM,27-237,90,76,95,80.0,1245,468,38,41,92.7,34,41,82.9,4,10,40.0,0,0.1,0.2,2,9,1,0,17,11,2023-2024
Máximo Perrone,8,ar ARG,CM,20-294,68,47,51,92.2,691,243,26,26,100.0,21,24,87.5,0,1,0.0,0,0.0,0.0,0,8,0,0,1,11,2023-2024
   Enzo Loiodice,12,fr FRA,CM,22-335,22,20,22,90.9,281,39,11,12,91.7,8,8,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,2,11,2023-2024
Javier Muñoz,5,es ESP,CM,28-242,90,43,52,82.7,622,172,30,31,96.8,10,12,83.3,3,8,37.5,0,0.3,0.1,4,3,1,0,6,11,2023-2024
Sergi Cardona,3,es ESP,LB,24-112,90,58,83,69.9,932,460,26,30,86.7,28,38,73.7,3,9,33.3,0,0.0,0.0,0,4,0,0,6,11,2023-2024
Mika Màrmol,15,es ESP,CB,21-118,90,57,64,89.1,926,369,26,28,92.9,27,30,90.0,2,4,50.0,0,0.0,0.0,0,4,0,0,5,11,2023-2024
Saúl Coco,23,gq EQG,CB,24-261,90,37,44,84.1,656,239,16,18,88.9,18,20,90.0,3,5,60.0,0,0.0,0.0,0,0,0,0,2,11,2023-2024
Álex Suárez,4,es ESP,RB,30-224,90,43,52,82.7,806,342,21,24,87.5,15,19,78.9,6,7,85.7,0,0.0,0.0,0,6,1,0,8,11,2023-2024
Álvaro Vallés,13,es ESP,GK,26-095,90,53,64,82.8,1416,1031,11,11,100.0,24,24,100.0,18,29,62.1,0,0.0,0.0,0,2,0,0,0,11,2023-2024
João Félix,14,pt POR,FW,23-352,76,22,25,88.0,294,20,15,17,88.2,6,6,100.0,1,1,100.0,0,0.0,0.0,0,0,1,0,1,11,2023-2024
   Raphinha,11,br BRA,FW,26-318,14,16,18,88.9,254,63,12,12,100.0,2,2,100.0,2,4,50.0,0,0.2,0.2,3,0,0,0,0,11,2023-2024
