player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Gerard Moreno,7,es ESP,FW,25-326,90,49,4,12,23,15,5,49,4,2,50.0,2,50.0,35,95,29,0,0,0,2,8,38,8,26,2017-2018
Sergio García,9,es ESP,FW,34-263,90,42,2,4,19,19,2,42,1,1,100.0,0,0.0,35,184,66,2,1,0,4,6,37,5,26,2017-2018
Pablo Piatti,19,ar ARG,LM,28-333,78,43,0,6,26,12,1,43,5,3,60.0,2,40.0,25,142,66,2,1,0,1,0,27,7,26,2017-2018
   Léo Baptistão,11,br BRA,LM,25-185,12,11,1,3,4,4,0,11,1,1,100.0,0,0.0,8,65,15,0,0,0,1,2,4,2,26,2017-2018
Víctor Sánchez,4,es ESP,CM,30-172,69,44,4,12,29,3,0,44,1,1,100.0,0,0.0,21,97,25,0,0,0,2,1,17,0,26,2017-2018
   Esteban Granero,23,es ESP,CM,30-240,21,16,1,5,5,6,0,16,0,0,,0,,10,25,7,0,0,0,0,1,8,2,26,2017-2018
Carlos Sánchez,8,co COL,CM,32-021,90,59,5,17,38,4,0,59,2,2,100.0,0,0.0,30,112,59,0,0,0,0,0,28,0,26,2017-2018
Sergi Darder,25,es ESP,RM,24-067,90,54,2,11,28,15,1,54,0,0,,0,,31,102,38,0,0,0,2,1,30,0,26,2017-2018
Aarón Martín,3,es ESP,LB,20-311,90,53,4,11,32,10,0,53,3,3,100.0,0,0.0,29,148,87,3,0,0,2,0,29,2,26,2017-2018
Óscar Duarte,6,cr CRC,CB,28-269,90,35,3,25,9,1,1,35,0,0,,0,,18,71,24,0,0,0,0,0,21,0,26,2017-2018
David López,15,es ESP,CB,28-141,90,52,9,30,22,1,1,52,0,0,,0,,30,166,92,0,0,0,0,0,32,1,26,2017-2018
Marc Navarro,2,es ESP,RB,22-240,90,55,2,17,28,10,0,55,3,1,33.3,2,66.7,29,106,20,0,1,1,3,1,31,3,26,2017-2018
Diego López,13,es ESP,GK,36-116,90,31,27,31,0,0,0,31,0,0,,0,,15,127,80,0,0,0,0,0,7,0,26,2017-2018
Gareth Bale,11,wls WAL,FW,28-226,80,31,2,2,7,22,5,31,2,2,100.0,0,0.0,21,132,63,2,1,1,2,0,23,8,26,2017-2018
   Dani Ceballos,24,es ESP,"FW,CM",21-204,10,6,0,0,3,3,0,6,0,0,,0,,3,27,3,0,1,0,1,0,3,0,26,2017-2018
Marco Asensio,20,es ESP,"LW,LM",22-037,90,71,0,3,26,43,4,71,2,1,50.0,1,50.0,57,361,150,6,3,2,3,3,54,9,26,2017-2018
Lucas Vázquez,17,es ESP,"RW,RM",26-241,90,55,0,8,16,31,3,55,6,4,66.7,2,33.3,40,208,106,1,1,1,4,5,42,16,26,2017-2018
Isco,22,es ESP,AM,25-312,68,68,0,1,26,42,4,68,3,1,33.3,2,66.7,55,307,119,3,5,1,1,0,53,13,26,2017-2018
   Karim Benzema,9,fr FRA,"AM,FW",30-070,22,10,0,1,4,5,1,10,1,0,0.0,1,100.0,7,44,7,0,0,1,0,0,8,2,26,2017-2018
Mateo Kovačić,23,hr CRO,DM,23-297,88,76,0,14,51,14,0,76,6,6,100.0,0,0.0,60,397,138,1,1,0,2,1,57,1,26,2017-2018
   Borja Mayoral,21,es ESP,"FW,DM",20-328,2,2,0,0,1,1,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,26,2017-2018
Marcos Llorente,18,es ESP,"DM,CM",23-028,90,66,2,13,47,6,0,66,0,0,,0,,47,252,104,0,0,0,1,1,43,0,26,2017-2018
Nacho,6,es ESP,LB,28-040,90,74,0,11,41,22,2,74,0,0,,0,,49,147,65,1,0,0,2,0,50,4,26,2017-2018
Sergio Ramos,4,es ESP,CB,31-334,90,102,7,44,52,6,0,102,0,0,,0,,69,326,131,0,2,0,1,0,66,0,26,2017-2018
Raphaël Varane,5,fr FRA,CB,24-308,90,81,6,46,35,1,1,81,0,0,,0,,54,305,107,0,0,0,0,0,54,0,26,2017-2018
Achraf Hakimi,19,ma MAR,RB,19-115,90,82,2,17,39,28,1,82,5,5,100.0,0,0.0,60,264,189,2,2,1,1,2,56,6,26,2017-2018
Keylor Navas,1,cr CRC,GK,31-074,90,35,34,35,0,0,0,35,0,0,,0,,22,107,86,0,0,0,0,0,16,0,26,2017-2018
Cristhian Stuani,7,uy URU,FW,31-138,84,24,1,4,13,7,2,24,1,1,100.0,0,0.0,15,85,21,0,0,0,2,2,18,2,26,2017-2018
   Anthony Lozano,19,hn HON,FW,24-308,6,6,0,0,4,2,0,6,3,1,33.3,2,66.7,5,33,23,1,0,0,0,1,4,0,26,2017-2018
Borja García,24,es ESP,AM,27-117,70,52,0,4,28,20,1,52,4,3,75.0,1,25.0,44,215,62,0,0,0,0,3,41,5,26,2017-2018
