player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Neto,br BRA,28-171,90,5,1,4,80.0,1.6,1,5,20.0,8,2,37.5,32.3,4,50.0,43.5,19,0,0.0,0,5.0,18,2017-2018
Yassine Bounou,ma MAR,26-276,90,7,2,6,85.7,2.1,7,22,31.8,24,6,58.3,47.3,9,88.9,66.8,15,2,13.3,0,5.4,18,2017-2018
Leandro Chichizola,ar ARG,27-285,90,4,2,2,50.0,2.4,6,15,40.0,23,5,43.5,36.5,7,71.4,50.1,19,0,0.0,3,34.3,18,2017-2018
Marko Dmitrović,rs SRB,25-347,90,2,1,1,100.0,1.0,10,25,40.0,22,1,90.9,60.5,5,100.0,69.8,10,1,10.0,2,21.0,18,2017-2018
Sergio Rico,es ESP,24-127,90,5,5,0,0.0,2.7,1,8,12.5,11,2,45.5,38.4,3,100.0,55.3,5,0,0.0,1,31.0,18,2017-2018
Antonio Adán,es ESP,30-238,90,3,3,0,0.0,1.0,4,19,21.1,26,2,42.3,31.5,11,72.7,51.9,30,0,0.0,1,12.0,18,2017-2018
Iván Cuéllar,es ESP,33-225,90,5,0,5,100.0,0.8,5,30,16.7,26,2,88.5,50.8,7,100.0,62.3,24,1,4.2,2,15.3,18,2017-2018
Gerónimo Rulli,ar ARG,25-232,90,4,1,3,75.0,1.5,1,5,20.0,37,9,5.4,27.2,5,60.0,51.2,16,1,6.3,2,13.4,18,2017-2018
Marc-André ter Stegen,de GER,25-252,90,2,0,2,100.0,0.5,4,5,80.0,18,4,16.7,22.6,8,25.0,33.0,13,0,0.0,1,22.0,18,2017-2018
Oier Olazábal,es ESP,28-115,90,8,3,5,62.5,2.3,5,14,35.7,22,3,40.9,33.5,6,83.3,52.2,6,0,0.0,0,12.0,18,2017-2018
Sergio Asenjo,es ESP,28-193,90,3,1,2,66.7,1.2,9,15,60.0,17,4,47.1,37.2,9,77.8,54.9,11,3,27.3,0,10.1,18,2017-2018
Rubén,es ESP,33-199,90,5,1,4,80.0,1.4,7,13,53.8,18,6,55.6,42.8,4,75.0,51.8,14,2,14.3,0,9.5,18,2017-2018
Iago Herrerín,es ESP,29-347,90,1,0,1,100.0,0.0,16,29,55.2,33,5,60.6,44.2,9,100.0,71.7,10,0,0.0,1,16.0,18,2017-2018
Fernando Pacheco,es ESP,25-234,90,8,2,6,87.5,2.0,5,18,27.8,26,6,53.8,40.2,5,80.0,59.2,16,1,6.3,0,2.0,18,2017-2018
Rubén Blanco,es ESP,22-166,90,8,2,6,75.0,2.5,13,27,48.1,29,2,69.0,46.6,10,70.0,51.9,16,0,0.0,0,7.0,18,2017-2018
Keylor Navas,cr CRC,31-023,90,5,2,2,60.0,2.4,1,7,14.3,19,8,15.8,27.8,7,57.1,40.4,16,0,0.0,0,,18,2017-2018
Roberto,es ESP,31-332,90,3,1,2,66.7,0.5,9,16,56.3,22,4,54.5,38.2,4,100.0,62.5,13,1,7.7,0,14.0,18,2017-2018
Pau López,es ESP,23-026,90,2,0,2,100.0,0.1,9,25,36.0,16,2,75.0,56.4,14,92.9,64.9,28,0,0.0,0,,18,2017-2018
Emiliano Martínez,ar ARG,25-132,90,2,0,2,100.0,0.3,9,29,31.0,23,2,82.6,52.0,11,90.9,63.3,11,1,9.1,0,6.0,19,2017-2018
Roberto,es ESP,31-336,90,3,1,2,66.7,1.3,10,22,45.5,26,4,69.2,46.1,5,80.0,50.0,13,0,0.0,2,14.8,19,2017-2018
