player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Florin Andone,10,ro ROU,FW,24-318,88,1,0,0,1,1,1,0,0,1,0,0,0,1,3,6,33.3,25,2017-2018
   Borja Valle,19,es ESP,FW,25-229,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,25,2017-2018
Adrián López,15,es ESP,LW,30-046,90,0,0,0,0,2,1,0,0,1,0,0,0,6,3,3,50.0,25,2017-2018
Federico Cartabia,9,ar ARG,RW,25-034,64,1,0,0,1,0,0,3,0,2,0,0,0,1,1,2,33.3,25,2017-2018
   Emre Çolak,8,tr TUR,RW,26-279,26,0,0,0,0,0,0,3,0,0,0,0,0,4,0,1,0.0,25,2017-2018
Lucas Pérez,7,es ESP,AM,29-166,90,0,0,0,2,2,0,4,0,1,1,0,0,10,0,1,0.0,25,2017-2018
Pedro Mosquera,5,es ESP,DM,29-308,81,1,0,0,2,0,0,2,1,2,0,0,0,11,6,1,85.7,25,2017-2018
   Sulley Muntari,21,gh GHA,DM,33-180,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,50.0,25,2017-2018
Guilherme,20,br BRA,DM,26-324,90,0,0,0,1,2,0,2,1,2,0,0,0,13,2,2,50.0,25,2017-2018
Luisinho,16,pt POR,LB,32-294,90,0,0,0,0,2,0,5,1,3,0,0,0,5,1,1,50.0,25,2017-2018
Eneko Bóveda,4,es ESP,CB,29-071,90,1,0,0,0,0,0,0,3,1,0,0,0,7,2,2,50.0,25,2017-2018
Fabian Schär,24,ch SUI,CB,26-065,90,1,0,0,2,0,0,0,0,0,0,0,0,4,4,4,50.0,25,2017-2018
Juanfran,2,es ESP,RB,29-165,90,0,0,0,0,1,0,4,0,3,0,0,0,9,0,1,0.0,25,2017-2018
Rubén,13,es ESP,GK,33-246,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,25,2017-2018
Gerard Moreno,7,es ESP,FW,25-322,90,0,0,0,1,1,0,1,0,0,0,0,0,4,4,8,33.3,25,2017-2018
Léo Baptistão,11,br BRA,FW,25-181,68,0,0,0,1,2,2,0,0,1,0,0,0,3,2,3,40.0,25,2017-2018
   Sergio García,9,es ESP,FW,34-259,22,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,66.7,25,2017-2018
Pablo Piatti,19,ar ARG,LM,28-329,73,0,0,0,0,3,0,5,1,1,0,0,0,2,1,0,100.0,25,2017-2018
   José Manuel Jurado,10,es ESP,LM,31-239,17,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,25,2017-2018
