player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Yassine Bounou,ma MAR,26-360,90,6,1,5,83.3,1.2,8,18,44.4,21,8,47.6,40.2,8,100.0,64.8,17,0,0.0,1,14.7,30,2017-2018
Oier Olazábal,es ESP,28-198,90,5,1,4,80.0,0.8,7,18,38.9,25,8,44.0,39.1,7,100.0,57.7,20,3,15.0,1,13.7,30,2017-2018
Kepa Arrizabalaga,es ESP,23-179,90,3,1,2,66.7,1.0,11,22,50.0,25,4,68.0,48.6,5,100.0,64.4,15,1,6.7,1,13.8,30,2017-2018
Sergio Álvarez,es ESP,31-240,90,2,1,1,50.0,1.0,9,26,34.6,26,1,76.9,49.1,7,85.7,59.9,13,1,7.7,0,10.0,30,2017-2018
Leandro Chichizola,ar ARG,28-004,90,6,3,3,83.3,3.9,8,18,44.4,43,5,27.9,30.8,12,50.0,46.8,5,0,0.0,2,18.7,30,2017-2018
Keylor Navas,cr CRC,31-106,90,3,0,3,100.0,0.6,5,13,38.5,18,5,33.3,33.2,14,50.0,44.3,15,1,6.7,0,8.5,30,2017-2018
Sergio Rico,es ESP,24-211,90,9,2,7,77.8,2.2,1,12,8.3,13,3,38.5,37.8,10,70.0,50.7,11,2,18.2,0,7.2,30,2017-2018
Marc-André ter Stegen,de GER,25-335,90,5,2,3,60.0,1.2,4,4,100.0,21,4,9.5,25.0,11,18.2,32.9,8,1,12.5,3,14.8,30,2017-2018
Pau López,es ESP,23-109,90,4,0,4,100.0,0.6,4,14,28.6,16,4,31.3,34.8,11,81.8,58.7,14,0,0.0,0,12.5,30,2017-2018
Fernando Pacheco,es ESP,25-318,90,3,0,3,100.0,0.9,13,26,50.0,27,4,70.4,45.6,8,87.5,56.3,22,1,4.5,0,5.0,30,2017-2018
Iván Cuéllar,es ESP,33-309,90,1,1,0,0.0,0.3,8,22,36.4,24,6,62.5,47.3,7,100.0,63.3,5,0,0.0,0,14.0,30,2017-2018
Jaume Doménech,es ESP,27-147,90,1,0,1,100.0,0.1,1,10,10.0,19,7,31.6,27.2,7,57.1,51.0,16,0,0.0,0,9.3,30,2017-2018
Marko Dmitrović,rs SRB,26-067,90,0,0,0,,0.0,10,33,30.3,32,0,75.0,53.8,9,100.0,78.7,4,0,0.0,4,22.3,30,2017-2018
Miguel Ángel Moyá,es ESP,33-364,90,3,0,3,100.0,0.7,17,30,56.7,29,1,72.4,46.8,17,52.9,39.9,27,3,11.1,3,14.4,30,2017-2018
Roberto,es ESP,32-050,90,1,0,1,100.0,0.0,10,28,35.7,29,2,75.9,48.6,6,100.0,63.7,13,0,0.0,0,12.0,30,2017-2018
Sergio Asenjo,es ESP,28-277,90,3,1,2,100.0,1.1,5,14,35.7,17,5,29.4,32.9,10,90.0,57.5,16,2,12.5,2,13.8,30,2017-2018
Jan Oblak,si SVN,25-084,90,2,0,2,100.0,0.2,4,10,40.0,14,2,50.0,40.4,5,60.0,48.2,19,0,0.0,0,11.0,30,2017-2018
Rubén,es ESP,33-283,90,3,1,2,100.0,1.2,2,5,40.0,12,6,25.0,36.5,7,28.6,34.3,17,0,0.0,1,20.0,30,2017-2018
Vicente Guaita,es ESP,31-082,90,4,1,3,75.0,1.4,9,19,47.4,19,3,63.2,49.0,7,100.0,65.1,4,0,0.0,1,27.0,30,2017-2018
Antonio Adán,es ESP,30-324,90,4,0,3,100.0,1.2,7,17,41.2,35,4,25.7,30.2,9,88.9,51.3,15,0,0.0,0,11.3,30,2017-2018
