player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Vicente Guaita,es ESP,30-344,90,6,0,6,100.0,1.0,12,31,38.7,23,1,78.3,50.8,13,100.0,66.2,13,0,0.0,3,23.3,17,2017-2018
Raúl Lizoain,es ESP,26-327,90,6,2,4,66.7,2.5,3,7,42.9,18,6,16.7,25.8,5,80.0,47.4,8,1,12.5,0,6.3,17,2017-2018
Gerónimo Rulli,ar ARG,25-214,90,4,1,3,75.0,0.5,10,23,43.5,42,2,47.6,39.5,4,75.0,53.5,10,1,10.0,1,13.5,17,2017-2018
David Soria,es ESP,24-260,90,5,3,2,40.0,2.0,5,7,71.4,14,5,21.4,27.7,9,44.4,40.8,17,2,11.8,3,19.9,17,2017-2018
Marko Dmitrović,rs SRB,25-331,90,1,1,0,0.0,0.3,5,21,23.8,21,3,85.7,55.0,3,100.0,78.7,9,1,11.1,1,14.7,17,2017-2018
Yassine Bounou,ma MAR,26-260,90,6,4,2,33.3,2.2,7,29,24.1,19,1,84.2,48.9,14,92.9,59.6,26,0,0.0,0,10.3,17,2017-2018
Fernando Pacheco,es ESP,25-217,90,3,0,3,100.0,0.4,4,17,23.5,23,7,47.8,35.5,8,75.0,51.9,13,1,7.7,0,2.5,17,2017-2018
Roberto,es ESP,31-314,90,5,1,4,80.0,1.0,8,19,42.1,25,3,56.0,40.8,5,100.0,48.2,6,0,0.0,2,22.0,17,2017-2018
Antonio Adán,es ESP,30-223,90,6,2,5,83.3,1.5,7,20,35.0,36,4,41.7,34.9,7,71.4,53.9,15,2,13.3,0,12.5,17,2017-2018
Iago Herrerín,es ESP,29-331,90,6,0,6,100.0,1.6,15,30,50.0,28,2,64.3,45.8,13,92.3,56.2,18,2,11.1,2,12.3,17,2017-2018
Pau López,es ESP,23-009,90,1,0,1,100.0,0.5,7,24,29.2,25,4,72.0,44.4,8,75.0,52.9,11,0,0.0,2,22.0,17,2017-2018
Jan Oblak,si SVN,24-349,90,4,1,3,75.0,1.1,5,11,45.5,17,6,29.4,36.2,7,85.7,54.7,8,1,12.5,0,4.0,17,2017-2018
Keylor Navas,cr CRC,31-008,90,11,3,8,81.8,2.9,2,6,33.3,21,10,19.0,29.6,3,66.7,48.3,10,0,0.0,1,27.0,17,2017-2018
Marc-André ter Stegen,de GER,25-237,90,5,0,5,100.0,0.7,5,12,41.7,33,4,15.2,28.5,8,87.5,58.6,18,0,0.0,1,27.0,17,2017-2018
Neto,br BRA,28-157,90,2,1,1,50.0,1.0,3,7,42.9,13,3,38.5,31.8,5,40.0,43.8,3,0,0.0,1,23.5,17,2017-2018
Sergio Asenjo,es ESP,28-178,90,3,0,3,100.0,0.6,6,28,21.4,22,5,68.2,46.8,15,86.7,56.4,25,2,8.0,2,12.6,17,2017-2018
Rubén,es ESP,33-184,90,3,3,0,0.0,1.5,5,13,38.5,23,3,47.8,35.0,3,66.7,53.0,8,2,25.0,2,14.6,17,2017-2018
Rubén Blanco,es ESP,22-151,90,4,1,3,75.0,0.4,8,28,28.6,29,2,72.4,44.3,7,100.0,69.0,13,0,0.0,1,18.3,17,2017-2018
Jan Oblak,si SVN,24-364,90,5,0,5,100.0,0.5,6,18,33.3,27,5,51.9,39.9,4,100.0,72.3,5,0,0.0,0,,18,2017-2018
Emiliano Martínez,ar ARG,25-126,90,5,2,3,60.0,2.0,6,18,33.3,24,7,50.0,40.0,6,100.0,66.0,9,2,22.2,0,9.0,18,2017-2018
