player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Gerónimo Rulli,ar ARG,25-357,90,2,2,0,0.0,1.2,1,6,16.7,49,6,8.2,22.7,11,18.2,33.3,13,0,0.0,1,11.8,37,2017-2018
Nereo Champagne,ar ARG,33-112,90,6,3,3,66.7,3.1,11,21,52.4,17,1,58.8,45.5,12,91.7,56.3,11,1,9.1,2,16.7,37,2017-2018
Fernando Pacheco,es ESP,25-359,90,3,1,2,66.7,0.5,12,23,52.2,19,2,73.7,48.9,10,90.0,49.4,15,0,0.0,0,,37,2017-2018
Kepa Arrizabalaga,es ESP,23-221,90,3,3,0,0.0,0.9,10,18,55.6,29,2,51.7,40.1,4,75.0,47.8,2,0,0.0,0,12.0,37,2017-2018
Marko Dmitrović,rs SRB,26-108,90,2,0,2,100.0,0.7,5,27,18.5,29,4,69.0,50.8,7,100.0,71.0,17,0,0.0,4,18.5,37,2017-2018
Leandro Chichizola,ar ARG,28-046,90,4,1,3,75.0,1.2,12,26,46.2,40,6,47.5,38.4,12,58.3,47.0,16,1,6.3,4,19.2,37,2017-2018
Rubén,es ESP,33-324,90,7,4,3,42.9,3.9,2,3,66.7,17,8,11.8,26.9,6,16.7,31.0,7,0,0.0,0,7.5,37,2017-2018
Sergio Asenjo,es ESP,28-318,90,7,2,5,71.4,2.3,7,17,41.2,18,4,55.6,42.5,9,77.8,50.8,30,0,0.0,1,11.7,37,2017-2018
Pedro López,es ESP,23-111,90,5,2,3,60.0,1.6,6,18,33.3,38,2,34.2,31.1,9,55.6,42.6,12,2,16.7,1,10.3,37,2017-2018
David Soria,es ESP,25-038,90,5,2,3,60.0,1.5,3,6,50.0,12,1,33.3,37.9,2,100.0,59.0,13,1,7.7,0,8.0,37,2017-2018
Yassine Bounou,ma MAR,27-037,90,4,1,3,75.0,0.5,7,17,41.2,14,4,57.1,48.4,11,81.8,52.2,10,0,0.0,0,,37,2017-2018
Jaume Doménech,es ESP,27-188,90,4,0,4,100.0,1.0,5,17,29.4,29,7,37.9,34.9,7,85.7,58.0,17,1,5.9,1,13.5,37,2017-2018
Vicente Guaita,es ESP,31-122,90,3,1,2,66.7,1.6,6,14,42.9,20,6,50.0,40.7,5,80.0,65.4,5,0,0.0,0,,37,2017-2018
Jan Oblak,si SVN,25-125,90,4,0,3,100.0,1.5,7,23,30.4,13,0,92.3,57.1,11,100.0,54.6,18,0,0.0,0,,37,2017-2018
Keylor Navas,cr CRC,31-148,90,1,0,1,100.0,0.1,4,8,50.0,25,5,28.0,33.0,3,33.3,49.7,9,1,11.1,1,13.6,37,2017-2018
Sergio Álvarez,es ESP,31-282,90,10,6,5,40.0,2.9,4,10,40.0,30,5,26.7,32.2,5,40.0,38.0,13,0,0.0,2,13.5,37,2017-2018
Diego López,es ESP,36-191,90,3,1,2,100.0,1.3,2,7,28.6,11,3,27.3,31.0,6,66.7,49.8,8,0,0.0,0,11.0,37,2017-2018
Andrés Prieto,es ESP,24-208,90,6,4,2,50.0,3.7,7,22,31.8,19,1,68.4,48.5,9,100.0,71.2,13,0,0.0,0,,37,2017-2018
Oier Olazábal,es ESP,28-241,90,7,4,3,57.1,2.0,7,17,41.2,19,2,52.6,39.9,7,100.0,51.3,16,1,6.3,0,5.0,37,2017-2018
Marc-André ter Stegen,de GER,26-013,90,7,5,2,28.6,4.6,3,4,75.0,16,8,12.5,30.3,4,50.0,46.0,9,0,0.0,0,8.5,37,2017-2018
