player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Gerónimo Rulli,ar ARG,25-097,90,1,0,1,100.0,0.1,11,20,55.0,33,2,51.5,39.2,5,60.0,50.2,12,0,0.0,1,20.0,2,2017-2018
Andrés Fernández,es ESP,30-251,45,6,3,3,50.0,1.6,2,8,25.0,8,4,37.5,29.4,5,100.0,59.2,14,,,,5.0,2,2017-2018
Mariano Barbosa,ar ARG,33-029,45,3,0,3,100.0,0.6,2,7,28.6,8,1,50.0,37.0,3,100.0,70.3,8,0,0.0,0,4.5,2,2017-2018
Antonio Adán,es ESP,30-104,90,1,1,1,0.0,0.2,5,16,31.3,19,2,47.4,39.4,9,77.8,51.1,13,0,0.0,0,,2,2017-2018
Sergio Álvarez,es ESP,31-022,90,3,2,1,33.3,1.4,4,15,26.7,29,2,34.5,34.7,13,38.5,38.3,15,1,6.7,1,10.0,2,2017-2018
Fernando Pacheco,es ESP,25-100,90,11,2,8,81.8,2.3,10,17,58.8,26,4,53.8,38.9,5,60.0,48.6,13,0,0.0,0,7.7,2,2017-2018
Marc-André ter Stegen,de GER,25-118,90,2,0,2,100.0,0.6,3,4,75.0,23,2,17.4,24.2,4,0.0,31.8,3,0,0.0,0,9.0,2,2017-2018
Gorka Iraizoz,es ESP,36-173,90,2,0,2,100.0,0.3,11,24,45.8,19,2,84.2,49.6,9,88.9,53.7,15,2,13.3,0,5.5,2,2017-2018
Roberto,es ESP,31-197,90,4,1,3,75.0,1.4,3,14,21.4,25,6,24.0,29.8,10,80.0,50.0,16,1,6.3,1,16.5,2,2017-2018
Raúl Fernández,es ESP,29-166,90,4,2,2,50.0,1.0,6,11,54.5,16,5,50.0,40.8,4,75.0,54.8,8,0,0.0,1,24.0,2,2017-2018
Rubén,es ESP,33-065,90,5,2,3,80.0,2.5,9,23,39.1,12,5,58.3,45.4,18,88.9,59.9,25,1,4.0,0,11.0,2,2017-2018
Leandro Chichizola,ar ARG,27-152,90,6,5,1,16.7,2.1,0,6,0.0,20,4,20.0,30.3,7,28.6,35.4,4,0,0.0,0,9.0,2,2017-2018
Jan Oblak,si SVN,24-231,90,4,1,2,75.0,1.7,6,18,33.3,19,1,63.2,43.9,7,85.7,56.1,12,2,16.7,0,5.5,2,2017-2018
Pau López,es ESP,22-257,90,8,1,7,87.5,1.3,4,12,33.3,28,8,32.1,32.4,8,37.5,42.9,3,0,0.0,1,16.0,2,2017-2018
Iván Cuéllar,es ESP,33-092,90,1,0,1,100.0,0.1,9,35,25.7,27,0,92.6,56.5,10,100.0,68.7,28,3,10.7,0,8.3,2,2017-2018
Marko Dmitrović,rs SRB,25-215,90,4,1,3,75.0,1.2,10,26,38.5,29,3,75.9,50.3,4,100.0,76.0,8,0,0.0,2,24.0,2,2017-2018
Kepa Arrizabalaga,es ESP,22-328,90,5,0,5,100.0,1.1,21,35,60.0,37,2,78.4,49.2,7,85.7,63.1,21,2,9.5,2,13.0,2,2017-2018
Vicente Guaita,es ESP,30-229,90,3,1,2,66.7,2.0,6,25,24.0,26,1,76.9,51.2,6,83.3,61.8,8,1,12.5,3,20.4,2,2017-2018
Sergio Rico,es ESP,23-360,90,3,0,3,100.0,1.3,3,13,23.1,19,6,47.4,43.4,5,80.0,57.6,19,1,5.3,1,12.7,2,2017-2018
Keylor Navas,cr CRC,30-255,90,3,2,1,33.3,1.7,2,3,66.7,20,3,10.0,26.5,3,33.3,43.7,13,3,23.1,2,14.3,2,2017-2018
Neto,br BRA,28-039,90,6,2,4,66.7,2.6,12,27,44.4,15,3,73.3,51.0,16,100.0,70.3,25,0,0.0,0,,2,2017-2018
