player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Kepa Arrizabalaga,es ESP,23-214,90,3,0,3,100.0,0.9,8,15,53.3,23,1,52.2,41.2,4,75.0,47.5,11,1,9.1,1,15.0,36,2017-2018
Pedro López,es ESP,23-104,90,5,2,3,60.0,1.2,3,8,37.5,38,8,10.5,25.1,8,50.0,35.5,15,0,0.0,1,17.0,36,2017-2018
Sergio Álvarez,es ESP,31-275,90,2,1,1,50.0,0.6,7,19,36.8,30,3,40.0,38.2,11,63.6,48.3,20,0,0.0,2,19.3,36,2017-2018
Rubén,es ESP,33-317,90,4,1,3,75.0,1.1,5,10,50.0,16,2,43.8,40.5,9,33.3,39.8,10,0,0.0,0,9.0,36,2017-2018
Sergio Asenjo,es ESP,28-311,90,2,0,2,100.0,0.4,3,10,30.0,16,3,31.3,32.1,7,71.4,47.9,7,0,0.0,1,23.0,36,2017-2018
Neto,br BRA,28-290,90,5,1,4,80.0,1.3,3,12,25.0,21,8,23.8,26.4,12,58.3,47.4,16,1,6.3,2,18.0,36,2017-2018
Andrés Prieto,es ESP,24-201,90,7,3,4,57.1,3.1,7,19,36.8,19,0,68.4,46.8,6,100.0,64.7,13,0,0.0,0,13.5,36,2017-2018
Fernando Pacheco,es ESP,25-353,90,4,0,4,100.0,1.3,11,22,50.0,12,1,75.0,46.5,14,92.9,57.9,25,1,4.0,0,5.0,36,2017-2018
Jan Oblak,si SVN,25-119,90,5,2,4,60.0,1.0,5,8,62.5,13,3,30.8,29.9,8,50.0,42.8,9,0,0.0,2,17.0,36,2017-2018
Pau López,es ESP,23-144,90,3,0,3,100.0,0.8,5,14,35.7,25,11,24.0,28.9,8,100.0,62.5,18,3,16.7,0,7.8,36,2017-2018
Leandro Chichizola,ar ARG,28-040,90,1,1,0,0.0,0.6,3,9,33.3,42,11,19.0,27.5,3,33.3,31.7,14,1,7.1,6,23.6,36,2017-2018
Vicente Guaita,es ESP,31-116,90,4,0,4,100.0,0.6,10,25,40.0,13,1,92.3,59.6,13,100.0,64.6,20,0,0.0,1,16.0,36,2017-2018
Marc-André ter Stegen,de GER,26-006,90,5,2,3,60.0,1.7,3,13,23.1,21,7,33.3,33.0,11,54.5,44.5,13,0,0.0,0,,36,2017-2018
Keylor Navas,cr CRC,31-142,90,4,2,2,50.0,1.9,4,4,100.0,14,2,7.1,27.1,6,50.0,41.2,8,0,0.0,0,13.0,36,2017-2018
Nereo Champagne,ar ARG,33-107,90,3,3,0,0.0,1.6,8,22,36.4,21,3,71.4,47.0,7,100.0,61.7,10,0,0.0,0,13.5,36,2017-2018
Oier Olazábal,es ESP,28-235,90,2,0,2,100.0,0.4,3,9,33.3,12,4,25.0,29.3,11,54.5,43.4,20,1,5.0,2,15.3,36,2017-2018
Jasper Cillessen,nl NED,29-017,90,7,1,6,85.7,0.7,1,6,16.7,21,5,23.8,27.9,10,10.0,30.4,7,0,0.0,0,7.7,34,2017-2018
Sergio Asenjo,es ESP,28-315,90,6,5,1,16.7,3.8,2,8,25.0,23,4,30.4,32.7,5,20.0,32.6,6,0,0.0,0,14.0,34,2017-2018
David Soria,es ESP,25-035,90,4,2,2,75.0,2.1,9,21,42.9,20,2,50.0,41.8,14,78.6,52.1,16,0,0.0,1,10.7,34,2017-2018
Kiko Casilla,es ESP,31-219,90,5,3,3,40.0,1.4,0,2,0.0,14,2,14.3,25.1,6,0.0,25.0,6,0,0.0,0,12.6,34,2017-2018
