player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Karl Toko Ekambi,17,cm CMR,FW,27-013,79,22,1,1,6,15,8,22,3,2,66.7,1,33.3,16,100,47,2,1,2,3,1,16,7,7,2019-2020
   Javier Ontiveros,24,es ESP,"LM,FW",22-018,11,11,0,1,5,5,2,11,0,0,,0,,7,31,8,1,0,1,1,1,8,0,7,2019-2020
Moi Gómez,23,es ESP,LW,25-096,56,22,0,2,10,10,0,22,1,0,0.0,1,100.0,14,72,37,1,1,0,1,0,18,4,7,2019-2020
   Samuel Chukwueze,11,ng NGA,RM,20-128,34,16,0,2,4,11,4,16,2,1,50.0,1,50.0,11,139,74,2,1,3,0,1,11,3,7,2019-2020
Gerard Moreno,7,es ESP,"RW,FW",27-173,90,39,2,4,16,20,6,39,1,0,0.0,1,100.0,24,153,90,5,4,2,6,1,29,6,7,2019-2020
Santi Cazorla,8,es ESP,"AM,LM,FW",34-288,84,48,0,7,18,23,4,47,4,2,50.0,2,50.0,31,235,60,2,3,1,1,0,32,1,7,2019-2020
   Manu Trigueros,14,es ESP,FW,27-345,6,8,0,3,3,2,0,8,0,0,,0,,3,10,2,0,0,0,0,0,6,0,7,2019-2020
Andre-Frank Zambo Anguissa,19,cm CMR,"DM,CM",23-315,90,44,3,10,24,11,0,44,1,1,100.0,0,0.0,28,115,53,1,0,0,2,2,30,3,7,2019-2020
Vicente Iborra,10,es ESP,"DM,CM",31-254,90,48,5,14,27,9,0,48,2,2,100.0,0,0.0,27,127,54,1,1,0,0,1,27,1,7,2019-2020
Xavi Quintillà,16,es ESP,LB,23-035,90,60,4,13,20,27,0,60,0,0,,0,,31,138,65,2,3,0,0,0,39,8,7,2019-2020
Pau Torres,4,es ESP,CB,22-254,90,58,9,33,25,0,0,58,0,0,,0,,33,228,158,0,0,0,0,0,38,0,7,2019-2020
Raúl Albiol,3,es ESP,CB,34-023,90,57,11,38,19,0,0,57,0,0,,0,,38,202,82,0,0,0,0,0,42,0,7,2019-2020
Rubén Peña,20,es ESP,RB,28-071,90,72,3,28,29,17,1,72,3,1,33.3,2,66.7,41,268,147,1,0,0,2,1,41,2,7,2019-2020
Sergio Asenjo,1,es ESP,GK,30-091,90,30,26,30,0,0,0,30,0,0,,0,,13,39,17,0,0,0,0,0,10,0,7,2019-2020
Borja Iglesias,9,es ESP,FW,26-253,90,22,0,2,9,11,2,22,0,0,,0,,13,77,33,0,0,0,1,2,14,5,7,2019-2020
Loren Morón,16,es ESP,FW,25-271,78,20,0,2,7,11,3,20,2,1,50.0,1,50.0,12,61,12,1,0,1,6,2,13,2,7,2019-2020
   Raúl,35,es ESP,FW,18-328,12,4,0,0,2,2,0,4,0,0,,0,,2,14,0,0,0,0,1,0,3,0,7,2019-2020
Álex Moreno,15,es ESP,"LM,LB",26-111,90,48,2,11,15,22,9,48,5,4,80.0,1,20.0,31,178,110,6,1,2,0,2,34,8,7,2019-2020
Sergio Canales,10,es ESP,CM,28-223,90,90,4,14,47,31,1,90,1,1,100.0,0,0.0,60,457,289,5,4,1,1,1,74,0,7,2019-2020
William Carvalho,14,pt POR,CM,27-173,90,69,3,13,37,20,1,69,2,2,100.0,0,0.0,35,176,78,2,0,1,0,0,56,1,7,2019-2020
Joaquín,17,es ESP,RM,38-068,79,52,0,10,11,32,5,52,4,1,25.0,3,75.0,28,221,159,4,3,1,0,1,41,8,7,2019-2020
   Diego Lainez,20,mx MEX,RM,19-110,11,8,0,0,3,5,1,8,0,0,,0,,7,86,28,1,1,1,0,2,8,1,7,2019-2020
Alfonso Pedraza,6,es ESP,LB,23-171,74,55,3,19,24,13,2,55,2,2,100.0,0,0.0,19,235,182,4,2,2,1,0,33,4,7,2019-2020
   Cristian Tello,11,es ESP,"LB,LM",28-047,16,11,0,0,3,8,1,11,0,0,,0,,7,28,22,1,0,0,1,0,7,3,7,2019-2020
Zouhair Feddal,4,ma MAR,CB,30-269,90,76,7,39,36,1,0,76,1,1,100.0,0,0.0,40,284,138,2,0,0,0,0,61,0,7,2019-2020
Marc Bartra,5,es ESP,CB,28-255,90,83,5,41,37,6,1,83,2,2,100.0,0,0.0,44,230,171,0,3,0,3,0,57,1,7,2019-2020
Emerson,22,br BRA,RB,20-256,90,74,2,14,33,29,3,74,1,0,0.0,1,100.0,45,252,107,2,1,1,1,1,50,9,7,2019-2020
Joel Robles,1,es ESP,GK,29-102,90,32,23,32,0,0,0,32,0,0,,0,,14,73,44,0,0,0,0,0,14,0,7,2019-2020
Iñaki Williams,9,gh GHA,FW,25-105,90,25,1,2,3,21,5,25,0,0,,0,,16,143,97,5,3,1,1,2,21,11,7,2019-2020
Iker Muniain,10,es ESP,LW,26-283,90,43,0,2,18,24,6,43,2,1,50.0,1,50.0,28,136,59,2,1,2,2,2,31,8,7,2019-2020
Ibai Gómez,19,es ESP,RW,29-321,60,28,0,0,6,22,1,28,0,0,,0,,8,74,47,2,0,0,0,1,14,4,7,2019-2020
   Aritz Aduriz,20,es ESP,RW,38-229,30,3,0,0,2,1,1,3,0,0,,0,,2,1,0,0,0,0,0,0,4,1,7,2019-2020
Raúl García,22,es ESP,AM,33-079,90,37,0,4,12,22,5,37,1,1,100.0,0,0.0,16,125,98,2,1,0,0,0,27,7,7,2019-2020
Unai López,8,es ESP,DM,23-333,60,45,1,9,25,11,0,45,1,1,100.0,0,0.0,27,109,48,1,0,0,1,0,39,3,7,2019-2020
   Beñat Etxebarria,7,es ESP,DM,32-221,30,21,2,5,9,8,1,21,1,0,0.0,1,100.0,2,4,1,0,0,0,0,1,11,1,7,2019-2020
Dani García,14,es ESP,DM,29-127,90,50,1,10,34,6,0,50,0,0,,0,,27,127,53,1,1,0,0,0,33,0,7,2019-2020
Yuri Berchiche,17,es ESP,LB,29-230,90,55,4,10,25,21,0,55,3,2,66.7,1,33.3,23,170,81,4,2,0,1,1,28,6,7,2019-2020
