player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Eden Hazard,7,be BEL,LW,28-299,90,50,0,1,19,31,7,50,7,6,85.7,1,14.3,36,297,224,8,5,3,2,0,41,12,12,2019-2020
Rodrygo,27,br BRA,RW,18-297,64,41,0,3,10,28,6,41,1,0,0.0,1,100.0,36,179,106,3,1,2,2,0,37,13,12,2019-2020
   Vinicius Júnior,25,br BRA,RW,19-113,26,23,0,0,2,21,8,23,1,0,0.0,1,100.0,16,161,113,4,1,3,0,0,18,9,12,2019-2020
Toni Kroos,8,de GER,LM,29-302,90,90,0,6,48,36,1,90,0,0,,0,,63,271,129,4,1,0,1,0,72,5,12,2019-2020
Casemiro,14,br BRA,CM,27-252,90,62,0,17,32,13,2,62,0,0,,0,,39,121,33,0,1,0,1,0,39,1,12,2019-2020
Luka Modrić,10,hr CRO,RM,34-054,90,60,0,8,28,24,3,60,2,1,50.0,1,50.0,46,216,80,2,1,1,0,1,45,1,12,2019-2020
Ferland Mendy,23,fr FRA,LB,24-147,90,83,2,16,32,35,2,83,3,1,33.3,2,66.7,61,338,153,6,3,2,2,3,59,11,12,2019-2020
Sergio Ramos,4,es ESP,CB,33-217,90,81,7,26,44,11,6,81,0,0,,0,,49,219,128,1,2,0,0,0,61,1,12,2019-2020
Raphaël Varane,5,fr FRA,CB,26-191,90,68,6,32,28,8,1,68,1,1,100.0,0,0.0,36,267,150,0,1,0,1,0,44,0,12,2019-2020
Dani Carvajal,2,es ESP,RB,27-295,90,119,3,18,44,58,4,119,3,0,0.0,3,100.0,69,314,199,5,3,1,2,0,75,10,12,2019-2020
Thibaut Courtois,13,be BEL,GK,27-175,90,34,27,34,0,0,0,34,0,0,,0,,14,67,33,0,0,0,0,0,16,0,12,2019-2020
