player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Ante Budimir,22,hr CRO,FW,28-344,74,14,14,0,0,0,0,0,0,0,0,0,0,10,0,1,33,2019-2020
   Pablo Chavarría,19,ar ARG,FW,32-180,16,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,33,2019-2020
Cucho,29,co COL,"FW,LW",21-071,90,28,28,0,0,0,0,1,0,0,0,0,0,20,0,0,33,2019-2020
Dani Rodríguez,14,es ESP,LM,32-024,73,28,28,0,0,0,0,1,0,0,0,0,0,20,0,0,33,2019-2020
   Aleix Febas,23,es ESP,"AM,RM",24-149,17,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,33,2019-2020
Salva Sevilla,8,es ESP,"CM,DM",36-104,82,40,38,2,1,0,1,0,0,1,0,0,0,36,0,1,33,2019-2020
   Aleksandar Trajkovski,17,mk MKD,DM,27-299,8,5,4,1,0,0,0,1,0,1,0,1,0,3,0,1,33,2019-2020
Iddrisu Baba,12,gh GHA,"CM,DM",24-160,90,39,39,0,0,0,1,0,0,0,0,0,0,32,0,0,33,2019-2020
Takefusa Kubo,26,jp JPN,"RM,RW",19-026,82,34,32,2,0,0,0,0,0,0,0,0,0,29,0,0,33,2019-2020
   Lago Junior,11,ci CIV,RW,29-182,8,5,5,0,0,0,0,1,0,0,0,0,0,2,0,1,33,2019-2020
Lumor Agbenyenu,3,gh GHA,LB,23-320,41,15,12,3,0,0,0,0,3,0,0,0,0,13,0,0,33,2019-2020
   Fran Gámez,15,es ESP,LB,28-339,49,20,17,3,0,0,0,1,3,0,0,0,0,17,0,0,33,2019-2020
Antonio Raillo,21,es ESP,CB,28-266,90,34,31,3,3,0,1,0,0,0,0,0,0,31,0,0,33,2019-2020
Martin Valjent,24,sk SVK,CB,24-202,90,35,34,1,1,0,0,0,0,0,0,0,0,33,0,0,33,2019-2020
Alejandro Pozo Pozo,7,es ESP,RB,21-129,90,54,45,9,1,0,0,1,8,0,0,0,0,47,0,0,33,2019-2020
Manolo Reina,1,es ESP,GK,35-090,90,40,29,11,3,0,0,0,0,0,0,0,0,23,0,0,33,2019-2020
Iago Aspas,10,es ESP,"FW,CM",32-334,90,54,49,5,0,0,0,1,1,0,0,0,0,43,0,4,33,2019-2020
Denis Suárez,6,es ESP,LW,26-176,27,19,16,3,0,0,0,3,0,3,0,3,0,16,0,1,33,2019-2020
   Nolito,3,es ESP,"LM,LW",33-259,63,40,34,6,0,0,1,4,1,5,1,3,0,31,0,1,33,2019-2020
Santi Mina,22,es ESP,RW,24-206,61,27,27,0,0,0,1,2,0,0,0,0,0,17,0,2,33,2019-2020
   Brais Méndez,23,es ESP,"RM,CM",23-175,29,21,18,3,1,0,1,3,0,2,2,0,0,16,0,1,33,2019-2020
Okay Yokuşlu,5,tr TUR,LM,26-113,45,37,37,0,0,0,0,0,0,0,0,0,0,31,0,1,33,2019-2020
   Fyodor Smolov,9,ru RUS,"FW,LW",30-142,45,23,20,3,1,0,0,0,0,0,0,0,0,16,0,2,33,2019-2020
