player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Youssef En-Nesyri,26,ma MAR,FW,22-175,90,0,0,0,0,0,0,2,0.0,2,3,0,3,2,2,0,0,14,2019-2020
Martin Braithwaite,7,dk DEN,LM,28-171,90,1,0,1,0,0,0,2,0.0,2,1,0,1,1,2,0,0,14,2019-2020
Rubén Pérez,21,es ESP,CM,30-211,90,1,0,0,1,0,1,4,25.0,3,3,1,2,4,5,4,0,14,2019-2020
Roque Mesa,6,es ESP,CM,30-169,82,1,1,1,0,0,0,4,0.0,4,2,0,2,1,2,0,0,14,2019-2020
   Guido Carrillo,18,ar ARG,CM,28-182,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2019-2020
Óscar Rodríguez Arnaiz,27,es ESP,RM,21-148,60,1,1,1,0,0,0,4,0.0,4,0,0,0,3,4,0,0,14,2019-2020
   Javier Eraso,17,es ESP,RM,29-246,30,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,14,2019-2020
Jonathan Silva,5,ar ARG,LB,25-147,90,2,0,1,0,1,1,3,33.3,2,1,0,1,2,4,0,0,14,2019-2020
Dimitris Siovas,22,gr GRE,CB,31-068,90,3,3,1,0,2,1,1,100.0,0,1,0,1,0,3,2,0,14,2019-2020
Kenneth Omeruo,4,ng NGA,CB,26-037,82,1,1,1,0,0,1,1,100.0,0,1,0,1,3,4,8,0,14,2019-2020
   Rodrigo Tarín,15,es ESP,CB,23-141,8,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,14,2019-2020
Unai Bustinza,3,es ESP,CB,27-294,90,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0,14,2019-2020
Roberto Rosales,16,ve VEN,RB,31-003,90,3,3,2,1,0,3,3,100.0,0,1,1,0,0,3,2,0,14,2019-2020
Iván Cuéllar,1,es ESP,GK,35-180,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,14,2019-2020
Luis Suárez,9,uy URU,FW,32-303,90,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,14,2019-2020
Antoine Griezmann,17,fr FRA,LW,28-247,56,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,14,2019-2020
   Arturo Vidal,22,cl CHI,"DM,LW",32-185,34,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,14,2019-2020
Ousmane Dembélé,11,fr FRA,RW,22-192,90,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,14,2019-2020
Lionel Messi,10,ar ARG,AM,32-152,90,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,14,2019-2020
Sergio Busquets,5,es ESP,DM,31-130,56,1,0,1,0,0,1,1,100.0,0,1,0,1,1,2,0,1,14,2019-2020
   Ivan Rakitić,4,hr CRO,DM,31-258,34,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,14,2019-2020
Frenkie de Jong,21,nl NED,DM,22-195,69,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0,14,2019-2020
   Ansu Fati,31,es ESP,LW,17-023,21,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,14,2019-2020
Junior Firpo,24,es ESP,LB,23-093,90,3,2,1,1,1,1,3,33.3,2,1,0,1,0,3,0,0,14,2019-2020
Samuel Umtiti,23,fr FRA,CB,26-009,90,2,1,1,1,0,2,2,100.0,0,0,0,0,0,2,5,0,14,2019-2020
Gerard Piqué,3,es ESP,CB,32-294,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,14,2019-2020
Moussa Wagué,16,sn SEN,RB,21-050,90,2,1,1,0,1,1,1,100.0,0,0,0,0,1,3,0,0,14,2019-2020
Marc-André ter Stegen,1,de GER,GK,27-207,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2019-2020
Loren Morón,16,es ESP,FW,25-328,80,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,14,2019-2020
   Alfonso Pedraza,6,es ESP,LB,23-228,10,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,14,2019-2020
Joaquín,17,es ESP,"LM,RM",38-125,90,1,0,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,14,2019-2020
Andrés Guardado,18,mx MEX,CM,33-056,90,1,1,0,1,0,0,3,0.0,3,0,0,0,2,3,3,1,14,2019-2020
