player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
   Cucho,29,co COL,"FW,RM",20-239,45,7,7,0,0,0,0,1,0,0,0,0,0,4,0,0,17,2019-2020
Dani Rodríguez,14,es ESP,"LM,CM",31-192,90,21,19,2,2,0,0,0,0,0,0,0,0,15,0,0,17,2019-2020
Salva Sevilla,8,es ESP,CM,35-272,61,24,16,7,2,0,1,4,0,3,1,2,0,15,1,0,17,2019-2020
   Lago Junior,11,ci CIV,"LM,CM",28-349,29,8,7,1,1,0,0,2,0,0,0,0,0,4,0,0,17,2019-2020
Iddrisu Baba,12,gh GHA,"CM,CB",23-327,90,29,29,0,0,0,0,0,0,0,0,0,0,22,0,3,17,2019-2020
Takefusa Kubo,26,jp JPN,RM,18-194,76,9,9,0,0,0,0,1,0,0,0,0,0,4,0,1,17,2019-2020
   Pablo Chavarría,19,ar ARG,"CM,RM",31-347,14,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2019-2020
Lumor Agbenyenu,3,gh GHA,LB,23-122,90,46,33,13,0,0,0,5,13,0,0,0,0,19,0,3,17,2019-2020
Antonio Raillo,21,es ESP,CB,28-068,77,25,21,4,4,0,0,0,0,0,0,0,0,18,0,0,17,2019-2020
Martin Valjent,24,sk SVK,CB,24-004,90,27,26,1,1,0,0,0,0,0,0,0,0,21,0,0,17,2019-2020
Fran Gámez,15,es ESP,RB,28-141,90,42,27,15,1,0,0,4,14,0,0,0,0,26,0,2,17,2019-2020
Manolo Reina,1,es ESP,GK,34-258,90,32,22,10,2,0,0,0,0,0,0,0,0,18,0,0,17,2019-2020
Jonathan Calleri,12,ar ARG,FW,26-083,90,26,24,2,0,0,0,3,0,0,0,0,0,11,0,1,17,2019-2020
Víctor Campuzano,31,es ESP,FW,22-198,68,9,8,1,0,0,0,0,0,0,0,0,0,5,0,1,17,2019-2020
   Facundo Ferreyra,9,ar ARG,FW,28-276,22,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,17,2019-2020
Sergi Darder,10,es ESP,AM,25-358,90,20,20,0,0,0,0,3,0,0,0,0,0,14,0,0,17,2019-2020
Marc Roca,21,es ESP,CM,23-019,90,35,30,5,3,0,0,5,0,2,1,1,0,25,0,0,17,2019-2020
Esteban Granero,23,es ESP,CM,32-166,75,20,13,7,2,0,0,6,0,5,1,3,0,13,0,2,17,2019-2020
   Ander Iturraspe,8,es ESP,CM,30-282,15,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,17,2019-2020
Dídac Vilà,17,es ESP,WB,30-189,90,33,23,9,2,0,0,4,7,0,0,0,0,17,1,1,17,2019-2020
Victor Gomez,34,es ESP,WB,19-258,90,37,25,12,0,0,0,6,12,0,0,0,0,23,0,0,17,2019-2020
Fernando Calero,24,es ESP,CB,24-092,90,25,23,2,2,0,0,0,0,0,0,0,0,19,0,0,17,2019-2020
Bernardo Espinosa,20,co COL,CB,30-157,90,30,27,1,1,0,0,0,0,0,0,0,0,19,2,0,17,2019-2020
David López,15,es ESP,CB,30-067,63,32,31,1,1,0,0,0,0,0,0,0,0,24,0,0,17,2019-2020
   Naldo,5,br BRA,CB,31-112,27,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0,17,2019-2020
Diego López,13,es ESP,GK,38-042,90,24,16,7,5,0,0,0,0,0,0,0,0,11,1,0,17,2019-2020
Borja Iglesias,9,es ESP,FW,26-332,90,13,10,3,0,0,0,0,0,0,0,0,0,8,0,0,17,2019-2020
Joaquín,17,es ESP,"LM,AM",38-147,82,42,41,1,0,0,1,0,0,1,0,0,0,32,0,1,17,2019-2020
   Loren Morón,16,es ESP,FW,25-350,8,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,17,2019-2020
Wilfrid Kaptoum,21,cm CMR,"CM,DM",23-161,90,26,24,2,0,0,0,1,1,1,0,0,0,22,0,0,17,2019-2020
Sergio Canales,10,es ESP,"CM,DM",28-302,90,76,62,14,12,1,2,3,0,2,0,0,0,63,0,0,17,2019-2020
Nabil Fekir,8,fr FRA,"RM,AM",26-150,52,13,13,0,0,0,0,0,0,0,0,0,0,9,0,0,17,2019-2020
   Diego Lainez,20,mx MEX,"AM,RW,LM",19-189,38,11,10,0,0,0,0,2,0,0,0,0,0,9,1,0,17,2019-2020
Marc Bartra,5,es ESP,"CB,DM",28-334,90,58,53,3,3,1,1,0,0,0,0,0,0,42,2,1,17,2019-2020
Álex Moreno,15,es ESP,"LB,WB",26-190,90,36,28,8,1,0,0,3,7,0,0,0,0,29,0,0,17,2019-2020
Aïssa Mandi,23,dz ALG,CB,28-054,64,48,42,6,6,0,0,0,0,0,0,0,0,41,0,0,17,2019-2020
   Cristian Tello,11,es ESP,"LW,RM,CB",28-126,26,20,18,2,0,0,1,1,1,1,1,0,0,18,0,0,17,2019-2020
Zouhair Feddal,4,ma MAR,CB,30-348,90,55,52,3,3,1,2,0,0,0,0,0,0,39,0,0,17,2019-2020
Emerson,22,br BRA,"RB,WB",20-335,90,43,30,12,2,0,1,2,10,0,0,0,0,29,1,1,17,2019-2020
Joel Robles,1,es ESP,GK,29-181,90,40,30,10,3,0,0,0,0,0,0,0,0,30,0,0,17,2019-2020
Luuk de Jong,19,nl NED,FW,29-110,58,13,10,2,0,0,0,0,0,0,0,0,0,10,1,0,17,2019-2020
   Javier Hernández,14,mx MEX,FW,31-197,32,5,4,1,0,0,0,0,0,0,0,0,0,5,0,0,17,2019-2020
Óliver Torres,21,es ESP,LW,25-035,77,56,52,4,0,0,3,5,4,0,0,0,0,43,0,1,17,2019-2020
   Joan Jordán,24,es ESP,RM,25-162,13,28,26,2,0,0,0,4,0,2,1,1,0,24,0,0,17,2019-2020
Munir El Haddadi,11,ma MAR,RW,24-105,90,26,23,3,1,0,0,2,1,1,0,0,0,19,0,0,17,2019-2020
Éver Banega,10,ar ARG,LM,31-169,77,108,88,20,8,0,1,15,1,11,3,6,1,85,0,2,17,2019-2020
   Moanes Dabbur,9,il ISR,LW,27-215,13,12,11,1,0,0,0,1,1,0,0,0,0,10,0,1,17,2019-2020
Fernando,25,br BRA,CM,32-143,90,79,79,0,0,0,1,0,0,0,0,0,0,73,0,1,17,2019-2020
Franco Vázquez,22,ar ARG,"RM,LM",30-296,90,67,64,3,0,0,1,5,3,0,0,0,0,53,0,1,17,2019-2020
Sergio Reguilón,23,es ESP,LB,22-364,90,85,72,12,1,0,1,14,11,0,0,0,0,65,1,3,17,2019-2020
Diego Carlos,20,br BRA,CB,26-275,90,62,61,1,0,0,1,0,1,0,0,0,0,54,0,0,17,2019-2020
Daniel Carriço,6,pt POR,CB,31-133,90,81,81,0,0,0,0,0,0,0,0,0,0,79,0,0,17,2019-2020
Jesús Navas,16,es ESP,RB,34-024,90,102,91,10,0,0,0,18,10,0,0,0,0,81,1,4,17,2019-2020
Tomáš Vaclík,1,cz CZE,GK,30-261,90,34,22,12,0,0,0,0,0,0,0,0,0,31,0,0,17,2019-2020
Gerard Moreno,7,es ESP,FW,27-252,77,19,17,2,0,0,0,1,0,0,0,0,0,14,0,0,17,2019-2020
   Rubén Peña,20,es ESP,FW,28-150,13,7,7,0,0,0,0,0,0,0,0,0,0,5,0,1,17,2019-2020
Moi Gómez,23,es ESP,LM,25-175,90,22,22,0,0,0,1,0,0,0,0,0,0,12,0,2,17,2019-2020
Manu Trigueros,14,es ESP,CM,28-059,88,25,23,2,0,0,0,3,0,2,0,1,0,19,0,2,17,2019-2020
   Ramiro Funes Mori,6,ar ARG,CM,28-285,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,17,2019-2020
Andre-Frank Zambo Anguissa,19,cm CMR,CM,24-029,90,33,33,0,0,0,0,0,0,0,0,0,0,25,0,1,17,2019-2020
Samuel Chukwueze,11,ng NGA,RM,20-207,65,24,24,0,0,0,1,0,0,0,0,0,0,16,0,2,17,2019-2020
   Karl Toko Ekambi,17,cm CMR,RM,27-092,25,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,17,2019-2020
Vicente Iborra,10,es ESP,DM,31-333,90,25,23,2,2,0,0,0,0,0,0,0,0,23,0,0,17,2019-2020
Xavi Quintillà,16,es ESP,LB,23-114,90,27,19,8,2,0,2,1,6,0,0,0,0,22,0,0,17,2019-2020
Pau Torres,4,es ESP,CB,22-333,90,16,15,1,1,0,1,0,0,0,0,0,0,15,0,0,17,2019-2020
Raúl Albiol,3,es ESP,CB,34-102,90,21,18,3,3,0,0,0,0,0,0,0,0,17,0,0,17,2019-2020
Mario Gaspar,2,es ESP,RB,29-021,90,43,31,12,0,0,0,0,12,0,0,0,0,30,0,0,17,2019-2020
Sergio Asenjo,1,es ESP,GK,30-170,90,27,13,14,5,0,0,0,0,0,0,0,0,15,0,0,17,2019-2020
Ferrán Torres,20,es ESP,"FW,RM",19-289,89,19,17,1,0,0,1,1,0,0,0,0,0,15,1,0,17,2019-2020
   Mouctar Diakhaby,12,gn GUI,CB,22-361,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,17,2019-2020
Rodrigo,19,es ESP,FW,28-284,90,28,28,0,0,0,1,1,0,0,0,0,0,21,0,1,17,2019-2020
Carlos Soler,8,es ESP,"LM,CM",22-347,90,29,29,0,0,0,0,0,0,0,0,0,0,20,0,0,17,2019-2020
Daniel Parejo,10,es ESP,CM,30-243,90,56,48,7,6,0,2,3,0,1,0,1,0,47,1,0,17,2019-2020
Francis Coquelin,17,fr FRA,CM,28-216,82,50,49,1,1,0,0,1,0,0,0,0,0,45,0,1,17,2019-2020
   Geoffrey Kondogbia,6,cf CTA,CM,26-303,8,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,17,2019-2020
Daniel Wass,18,dk DEN,"RM,RB",30-198,90,35,32,3,0,0,0,3,3,0,0,0,0,25,0,1,17,2019-2020
José Luis Gayà,14,es ESP,LB,24-204,90,45,37,8,2,1,0,2,6,0,0,0,0,35,0,2,17,2019-2020
Gabriel Paulista,5,br BRA,CB,29-019,90,39,37,2,2,0,1,0,0,0,0,0,0,34,0,1,17,2019-2020
Ezequiel Garay,24,ar ARG,CB,33-066,90,40,40,0,0,0,0,0,0,0,0,0,0,37,0,0,17,2019-2020
Jaume Costa,3,es ESP,RB,31-272,60,29,22,7,1,0,0,1,6,0,0,0,0,23,0,0,17,2019-2020
