player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Fyodor Smolov,9,ru RUS,FW,30-013,64,0,0,0,1,2,2,0,1,0,0,0,0,2,2,3,40.0,25,2019-2020
   Fran Beltrán,8,es ESP,CM,21-019,26,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,50.0,25,2019-2020
Iago Aspas,10,es ESP,FW,32-205,82,0,0,0,3,1,0,0,1,2,0,0,0,4,2,4,33.3,25,2019-2020
   Santi Mina,22,es ESP,FW,24-077,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,25,2019-2020
Denis Suárez,6,es ESP,LM,26-047,77,1,0,0,1,2,0,0,3,0,0,0,0,4,0,3,0.0,25,2019-2020
   Joseph Aidoo,18,gh GHA,"CB,LM",24-146,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,2019-2020
Filip Bradarić,14,hr CRO,CM,28-042,20,0,1,0,2,0,0,1,0,0,0,0,0,1,1,0,100.0,25,2019-2020
Okay Yokuşlu,5,tr TUR,CM,25-350,90,0,0,0,2,0,0,0,1,0,0,0,0,3,3,4,42.9,25,2019-2020
Rafinha,12,br BRA,"RM,CM",27-010,90,0,0,0,0,4,0,0,4,2,0,0,0,12,1,2,33.3,25,2019-2020
Lucas Olaza,15,uy URU,LB,25-216,90,0,0,0,2,2,0,3,1,1,0,0,0,3,0,1,0.0,25,2019-2020
Néstor Araujo,4,mx MEX,CB,28-177,90,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0.0,25,2019-2020
Jeison Murillo,21,co COL,CB,27-271,90,1,0,0,1,0,0,0,0,0,0,0,0,2,6,5,54.5,25,2019-2020
Hugo Mallo,2,es ESP,RB,28-245,90,0,0,0,1,4,0,2,1,0,0,0,0,3,4,0,100.0,25,2019-2020
Rubén Blanco,13,es ESP,GK,24-212,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,25,2019-2020
Guido Carrillo,18,ar ARG,FW,28-273,90,0,0,0,3,1,0,0,1,0,0,0,0,4,9,5,64.3,25,2019-2020
Kévin Rodrigues,24,pt POR,"AM,LB,WB",25-354,90,0,0,0,1,0,1,11,2,1,0,0,0,4,0,3,0.0,25,2019-2020
Javier Eraso,17,es ESP,AM,29-337,45,0,0,0,0,1,0,6,1,0,0,0,0,1,1,0,100.0,25,2019-2020
   Óscar Rodríguez Arnaiz,27,es ESP,AM,21-239,45,1,0,0,3,0,0,5,0,0,0,0,0,3,1,1,50.0,25,2019-2020
Recio,8,es ESP,"CM,DM",29-042,90,0,0,0,2,4,0,5,1,0,0,0,0,3,1,0,100.0,25,2019-2020
Rubén Pérez,21,es ESP,"CM,DM",30-302,90,0,0,0,2,1,0,3,4,2,0,0,0,10,1,1,50.0,25,2019-2020
