player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Raúl de Tomás,9,es ESP,FW,24-086,90,15,12,3,0,0,0,0,0,0,0,0,0,13,0,0,19,2018-2019
Adri Embarba,11,es ESP,FW,26-249,60,22,16,6,0,1,0,8,1,5,2,3,0,8,0,2,19,2018-2019
   Álvaro García,18,es ESP,"RW,FW",26-076,30,9,9,0,0,0,0,1,0,0,0,0,0,6,0,0,19,2018-2019
Óscar Trejo,8,ar ARG,CM,30-260,72,25,24,1,0,0,0,0,1,0,0,0,0,19,0,1,19,2018-2019
   Bebé,14,cv CPV,"LW,CM",28-183,18,6,6,0,0,0,0,2,0,0,0,0,0,1,0,2,19,2018-2019
Santi Comesaña,27,es ESP,CM,22-098,90,32,31,1,1,0,1,0,0,0,0,0,0,29,0,1,19,2018-2019
Giannelli Imbula,12,cd COD,CM,26-121,73,25,23,2,1,0,0,1,0,1,1,0,0,21,0,0,19,2018-2019
   Álvaro Medrán,4,es ESP,CM,24-302,17,15,14,1,0,0,1,1,0,1,1,0,0,12,0,0,19,2018-2019
Álex Moreno,7,es ESP,"WB,LM",25-217,90,39,28,10,0,0,0,4,10,0,0,0,0,26,1,0,19,2018-2019
Luis Advíncula,17,pe PER,"WB,RM",28-315,90,45,36,9,0,0,0,1,9,0,0,0,0,31,0,4,19,2018-2019
Jordi Amat,16,id IDN,CB,26-296,90,22,17,3,3,1,1,0,0,0,0,0,0,14,2,0,19,2018-2019
Abdoulaye Ba,21,sn SEN,CB,28-010,90,22,21,1,1,0,0,0,0,0,0,0,0,16,0,0,19,2018-2019
Emiliano Velázquez,20,uy URU,CB,24-256,90,26,21,4,1,1,0,0,3,0,0,0,0,15,1,1,19,2018-2019
Stole Dimitrievski,13,mk MKD,GK,25-017,90,26,14,12,2,0,0,0,0,0,0,0,0,14,0,0,19,2018-2019
Maxi Gómez,9,uy URU,FW,22-150,90,25,20,5,0,0,0,0,0,0,0,0,0,18,0,0,19,2018-2019
Sofiane Boufal,19,ma MAR,LM,25-116,80,31,31,0,0,0,1,1,0,0,0,0,0,23,0,1,19,2018-2019
   Pione Sisto,11,dk DEN,LM,23-341,10,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,19,2018-2019
Fran Beltrán,8,es ESP,CM,19-342,77,30,30,0,0,0,0,0,0,0,0,0,0,26,0,0,19,2018-2019
   Stanislav Lobotka,14,sk SVK,CM,24-047,13,8,7,1,1,0,0,0,0,0,0,0,0,5,0,0,19,2018-2019
Jozabed,21,es ESP,CM,27-309,80,56,56,0,0,0,1,1,0,0,0,0,0,47,0,0,19,2018-2019
   Dennis Eckert,32,de GER,FW,22-002,10,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,19,2018-2019
Brais Méndez,23,es ESP,RM,22-004,90,43,37,6,2,0,0,4,2,2,0,1,0,29,0,2,19,2018-2019
Okay Yokuşlu,5,tr TUR,"DM,CM",24-308,90,50,49,0,0,0,1,0,0,0,0,0,0,42,1,0,19,2018-2019
David Juncà,17,es ESP,LB,25-056,90,61,51,10,0,1,0,5,10,0,0,0,0,49,0,0,19,2018-2019
Néstor Araujo,4,mx MEX,CB,27-135,90,42,40,2,2,0,1,0,0,0,0,0,0,33,0,1,19,2018-2019
Gustavo Cabral,22,ar ARG,CB,33-089,90,42,37,5,5,0,1,0,0,0,0,0,0,40,0,0,19,2018-2019
Hugo Mallo,2,es ESP,RB,27-203,90,75,58,16,1,0,0,10,12,3,0,3,0,53,1,3,19,2018-2019
Rubén Blanco,13,es ESP,GK,23-170,90,25,17,8,3,0,0,0,0,0,0,0,0,17,0,0,19,2018-2019
Youssef En-Nesyri,26,ma MAR,FW,21-225,89,22,21,1,1,0,1,0,0,0,0,0,0,12,0,0,19,2018-2019
   Recio,8,es ESP,FW,28-001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2018-2019
Guido Carrillo,9,ar ARG,FW,27-232,63,25,25,0,0,0,0,0,0,0,0,0,0,18,0,1,19,2018-2019
   Martin Braithwaite,25,dk DEN,FW,27-221,27,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0,19,2018-2019
Mikel Vesga,23,es ESP,CM,25-236,90,42,42,0,0,0,0,1,0,0,0,0,0,34,0,1,19,2018-2019
Rubén Pérez,21,es ESP,CM,29-261,90,58,57,0,0,0,4,1,0,0,0,0,0,48,1,0,19,2018-2019
Óscar Rodríguez Arnaiz,27,es ESP,CM,20-198,76,44,36,8,2,0,1,9,2,3,2,1,0,29,0,2,19,2018-2019
   Nabil El Zhar,10,ma MAR,CM,32-138,14,8,7,1,0,0,0,2,0,1,0,1,0,6,0,0,19,2018-2019
Jonathan Silva,5,ar ARG,LB,24-197,90,50,40,10,2,0,0,5,8,0,0,0,0,31,0,3,19,2018-2019
Dimitris Siovas,22,gr GRE,CB,30-118,90,58,49,9,1,0,0,0,8,0,0,0,0,42,0,0,19,2018-2019
Kenneth Omeruo,24,ng NGA,CB,25-087,90,36,35,1,1,0,0,0,0,0,0,0,0,29,0,0,19,2018-2019
Unai Bustinza,3,es ESP,CB,26-344,90,39,33,6,0,0,0,0,6,0,0,0,0,27,0,0,19,2018-2019
Allan Nyom,12,cm CMR,RB,30-247,90,32,31,1,0,0,0,1,1,0,0,0,0,28,0,0,19,2018-2019
Iván Cuéllar,1,es ESP,GK,34-230,90,29,21,8,3,0,0,0,0,0,0,0,0,11,0,0,19,2018-2019
Cucho,9,co COL,FW,19-267,90,16,15,1,0,0,2,2,0,0,0,0,0,11,0,1,19,2018-2019
David Ferreiro,7,es ESP,LW,30-286,69,30,27,3,1,0,1,5,0,2,2,0,0,23,0,0,19,2018-2019
   Ezequiel Ávila,19,ar ARG,LW,24-340,21,12,10,2,0,0,1,0,1,0,0,0,0,8,0,0,19,2018-2019
Moi Gómez,6,es ESP,RW,24-203,78,34,33,0,0,0,1,1,0,0,0,0,0,27,1,0,19,2018-2019
   Samuele Longo,12,it ITA,RW,27-000,12,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,19,2018-2019
Cristian Rivera,17,es ESP,LM,21-187,90,32,32,0,0,0,0,2,0,0,0,0,0,23,0,3,19,2018-2019
Damián Musto,23,ar ARG,CM,31-217,90,49,45,4,4,0,1,0,0,0,0,0,0,36,0,0,19,2018-2019
Gonzalo Melero,8,es ESP,RM,25-010,61,40,39,1,1,1,0,0,0,0,0,0,0,33,0,1,19,2018-2019
   Álex Gallar,11,es ESP,RM,26-299,29,11,8,3,0,0,1,5,1,2,2,0,0,6,0,0,19,2018-2019
