Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Tomáš Vaclík,cz CZE,29-303,90,0,0,0,,0.0,6,17,35.3,23,4,47.8,40.0,6,100.0,60.2,15,1,6.7,1,10.4,21,2018-2019
Oier Olazábal,es ESP,29-134,90,9,5,3,55.6,4.1,9,17,52.9,16,7,43.8,35.7,12,83.3,49.3,13,2,15.4,1,15.0,21,2018-2019
Jan Oblak,si SVN,26-019,90,2,0,2,100.0,0.7,7,19,36.8,23,1,69.6,43.5,3,100.0,64.7,17,0,0.0,0,13.0,21,2018-2019
David Soria,es ESP,25-297,90,6,2,4,66.7,1.6,14,26,53.8,22,1,86.4,48.6,7,100.0,56.6,3,1,33.3,0,6.0,21,2018-2019
Iván Cuéllar,es ESP,34-244,90,2,2,0,0.0,0.4,11,27,40.7,28,5,75.0,48.5,6,100.0,63.7,18,1,5.6,0,9.0,21,2018-2019
Marko Dmitrović,rs SRB,27-002,90,3,2,1,33.3,0.6,4,19,21.1,16,4,68.8,46.6,8,100.0,69.3,14,1,7.1,1,13.0,21,2018-2019
Neto,br BRA,29-191,90,5,0,5,100.0,0.7,11,20,55.0,20,3,55.0,44.7,9,100.0,62.2,19,0,0.0,2,13.5,21,2018-2019
Sergio Asenjo,es ESP,29-212,90,9,3,6,66.7,2.3,2,13,15.4,22,8,50.0,37.7,3,66.7,47.7,18,0,0.0,0,,21,2018-2019
Jordi Masip,es ESP,30-024,90,3,1,2,66.7,0.8,15,34,44.1,30,4,73.3,45.5,12,100.0,63.2,18,1,5.6,2,18.8,21,2018-2019
Rubén Blanco,es ESP,23-186,90,7,2,5,71.4,1.8,7,22,31.8,20,5,40.0,35.8,17,82.4,64.6,20,1,5.0,1,9.0,21,2018-2019
Yassine Bounou,ma MAR,27-297,90,6,2,4,66.7,2.0,2,8,25.0,19,3,21.1,29.7,9,44.4,38.0,6,0,0.0,2,23.0,21,2018-2019
Marc-André ter Stegen,de GER,26-272,90,4,0,4,100.0,1.0,3,7,42.9,35,7,8.6,25.7,9,44.4,40.1,16,1,6.3,2,16.3,21,2018-2019
Gerónimo Rulli,ar ARG,26-252,90,1,0,1,100.0,0.2,5,9,55.6,26,4,15.4,27.0,7,71.4,40.7,9,2,22.2,3,18.6,21,2018-2019
Roberto Santamaría,es ESP,33-334,90,1,0,1,100.0,0.0,11,32,34.4,23,1,78.3,49.7,14,100.0,60.0,14,0,0.0,0,5.0,21,2018-2019
Iago Herrerín,es ESP,31-002,90,2,0,2,100.0,0.2,11,22,50.0,20,0,70.0,48.6,8,100.0,61.5,14,0,0.0,1,29.0,21,2018-2019
Pau López,es ESP,24-045,90,2,1,1,50.0,0.3,4,6,66.7,23,6,21.7,26.8,8,12.5,29.6,12,0,0.0,1,10.8,21,2018-2019
Diego López,es ESP,37-085,90,9,4,5,55.6,3.6,10,16,62.5,17,4,52.9,35.6,8,87.5,47.0,11,0,0.0,2,15.8,21,2018-2019
Thibaut Courtois,be BEL,26-261,90,5,2,3,60.0,1.2,4,18,22.2,31,4,51.6,37.3,4,50.0,50.0,7,1,14.3,1,13.5,21,2018-2019
Fernando Pacheco,es ESP,26-255,90,3,1,2,66.7,1.0,9,16,56.3,20,0,50.0,37.2,6,100.0,59.7,13,0,0.0,3,22.4,21,2018-2019
Stole Dimitrievski,mk MKD,25-034,90,1,0,1,100.0,0.1,7,19,36.8,22,4,40.9,38.5,14,71.4,52.0,32,1,3.1,0,9.3,21,2018-2019
