Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
David Soria,es ESP,25-142,90,0,0,0,,0.0,13,36,36.1,26,1,92.3,54.9,13,92.3,61.5,13,0,0.0,3,16.8,2,2018-2019
Marko Dmitrović,rs SRB,26-212,90,4,2,2,50.0,1.4,8,17,47.1,15,0,80.0,56.5,5,100.0,74.6,8,0,0.0,3,21.8,2,2018-2019
Iván Cuéllar,es ESP,34-089,90,6,2,4,66.7,1.8,5,14,35.7,41,2,34.1,34.6,1,0.0,31.0,2,0,0.0,2,17.8,2,2018-2019
Gerónimo Rulli,ar ARG,26-096,90,4,2,2,50.0,0.9,9,32,28.1,22,2,86.4,55.1,14,92.9,62.6,34,1,2.9,1,17.3,2,2018-2019
Fernando Pacheco,es ESP,26-099,90,4,0,4,100.0,0.3,13,24,54.2,18,0,83.3,50.1,9,100.0,62.4,15,0,0.0,1,14.5,2,2018-2019
Pau López,es ESP,23-255,90,4,0,4,100.0,0.8,6,14,42.9,30,6,23.3,28.6,12,58.3,42.3,16,3,18.8,1,11.0,2,2018-2019
Jan Oblak,si SVN,25-230,90,3,0,3,100.0,1.1,2,17,11.8,15,1,53.3,43.1,11,81.8,55.1,17,0,0.0,1,25.0,2,2018-2019
Alberto García,es ESP,33-197,90,2,1,1,50.0,1.1,6,12,50.0,22,3,36.4,34.3,6,66.7,39.3,17,0,0.0,3,26.7,2,2018-2019
Jordi Masip,es ESP,29-234,90,5,1,4,80.0,1.6,8,26,30.8,23,4,60.9,44.0,12,100.0,62.9,11,1,9.1,1,12.0,2,2018-2019
Marc-André ter Stegen,de GER,26-117,90,4,0,4,100.0,0.6,7,9,77.8,25,9,28.0,29.2,5,40.0,35.2,18,0,0.0,0,14.8,2,2018-2019
Diego López,es ESP,36-296,90,3,0,3,100.0,0.7,5,9,55.6,27,10,22.2,26.8,6,50.0,48.2,16,0,0.0,1,17.5,2,2018-2019
Neto,br BRA,29-038,90,9,2,7,77.8,1.9,4,10,40.0,20,7,25.0,27.6,5,100.0,61.8,18,0,0.0,0,10.8,2,2018-2019
Yassine Bounou,ma MAR,27-143,90,8,4,4,75.0,4.1,5,17,29.4,24,3,45.8,35.5,6,100.0,68.8,15,0,0.0,0,7.5,2,2018-2019
Keylor Navas,cr CRC,31-254,90,5,1,4,80.0,1.8,1,4,25.0,32,9,9.4,26.7,6,16.7,35.8,9,2,22.2,2,19.5,2,2018-2019
Tomáš Vaclík,cz CZE,29-150,90,6,0,6,100.0,1.4,3,9,33.3,16,2,37.5,31.3,3,100.0,69.0,6,0,0.0,0,17.8,2,2018-2019
Sergio Asenjo,es ESP,29-059,90,2,0,2,100.0,0.9,5,14,35.7,13,1,69.2,49.1,6,83.3,59.8,24,0,0.0,0,8.0,2,2018-2019
Oier Olazábal,es ESP,28-347,90,8,2,6,75.0,2.0,7,12,58.3,17,7,35.3,33.4,9,66.7,49.0,9,0,0.0,4,21.2,2,2018-2019
Sergio Álvarez,es ESP,32-024,90,6,1,5,100.0,1.6,14,28,50.0,29,6,62.1,45.2,10,100.0,66.6,29,2,6.9,0,7.0,2,2018-2019
Unai Simón,es ESP,21-077,90,4,2,2,50.0,1.1,1,4,25.0,16,7,12.5,26.6,4,50.0,43.5,13,3,23.1,0,6.8,2,2018-2019
Axel Werner,ar ARG,22-180,90,4,2,2,50.0,0.8,6,28,21.4,24,4,62.5,42.3,13,100.0,64.2,9,0,0.0,0,,2,2018-2019
