player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Munir El Haddadi,19,ma MAR,FW,23-244,90,15,21,71.4,161,16,11,13,84.6,2,4,50.0,0,0,,0,0.0,0.0,0,1,0,0,0,36,2018-2019
Wissam Ben Yedder,9,fr FRA,FW,28-264,90,22,30,73.3,269,54,17,19,89.5,5,6,83.3,0,1,0.0,0,0.2,0.3,2,2,2,0,5,36,2018-2019
Quincy Promes,21,nl NED,LM,27-119,45,10,18,55.6,119,12,9,12,75.0,1,4,25.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,36,2018-2019
   Franco Vázquez,22,ar ARG,AM,30-070,45,14,20,70.0,224,62,6,6,100.0,6,9,66.7,1,2,50.0,0,0.0,0.0,0,2,0,0,5,36,2018-2019
Marko Rog,20,hr CRO,"CM,DM",23-288,69,35,41,85.4,494,124,21,21,100.0,14,16,87.5,0,3,0.0,0,0.0,0.0,1,2,1,0,4,36,2018-2019
   Bryan Gil,41,es ESP,LM,18-081,21,2,4,50.0,22,2,1,2,50.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Roque Mesa,7,es ESP,CM,29-330,37,23,29,79.3,348,118,14,15,93.3,7,9,77.8,2,3,66.7,0,0.0,0.0,0,3,0,0,3,36,2018-2019
   Maxime Gonalons,15,fr FRA,"DM,CM",30-054,53,31,35,88.6,591,284,14,15,93.3,13,15,86.7,4,4,100.0,0,0.0,0.0,0,2,0,0,9,36,2018-2019
Pablo Sarabia,17,es ESP,"RM,AM",26-357,90,36,60,60.0,643,167,18,27,66.7,11,17,64.7,5,10,50.0,0,0.0,0.0,0,5,0,0,4,36,2018-2019
Sergio Escudero,18,es ESP,LB,29-243,90,53,70,75.7,844,263,30,34,88.2,20,25,80.0,3,10,30.0,0,0.0,0.0,1,4,1,0,6,36,2018-2019
Sergi Gómez,3,es ESP,CB,27-036,90,55,60,91.7,1286,381,7,8,87.5,39,41,95.1,9,11,81.8,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Gabriel Mercado,25,ar ARG,CB,32-046,90,48,55,87.3,1033,310,9,10,90.0,30,32,93.8,8,10,80.0,0,0.0,0.0,0,7,0,0,4,36,2018-2019
Jesús Navas,16,es ESP,RB,33-163,90,63,89,70.8,924,374,41,47,87.2,19,26,73.1,2,9,22.2,0,0.0,0.1,1,5,2,1,4,36,2018-2019
Tomáš Vaclík,1,cz CZE,GK,30-035,90,20,25,80.0,479,329,1,1,100.0,15,15,100.0,4,9,44.4,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Martin Braithwaite,25,dk DEN,FW,27-332,82,11,13,84.6,131,22,9,10,90.0,2,2,100.0,0,0,,2,0.6,0.4,3,0,1,0,3,36,2018-2019
   José Arnaiz,16,es ESP,LM,24-018,8,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Youssef En-Nesyri,26,ma MAR,FW,21-336,85,8,19,42.1,139,7,6,12,50.0,1,3,33.3,1,1,100.0,0,0.0,0.0,1,0,0,0,0,36,2018-2019
   Guido Carrillo,9,ar ARG,FW,27-343,5,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Jonathan Silva,5,ar ARG,"LW,LB",24-308,90,20,34,58.8,276,124,12,14,85.7,5,9,55.6,2,8,25.0,0,0.0,0.0,1,0,0,0,0,36,2018-2019
Juanfran,2,es ESP,RW,30-234,75,14,23,60.9,353,181,6,6,100.0,2,4,50.0,6,12,50.0,0,0.0,0.0,0,2,2,1,2,36,2018-2019
   Allan Nyom,12,cm CMR,"RB,RW",30-358,15,2,3,66.7,29,3,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,1,36,2018-2019
Mikel Vesga,23,es ESP,CM,25-347,90,26,34,76.5,386,134,16,19,84.2,9,10,90.0,1,3,33.3,0,0.0,0.0,0,4,0,0,4,36,2018-2019
Óscar Rodríguez Arnaiz,27,es ESP,"CM,RM",20-309,90,18,27,66.7,244,56,11,13,84.6,6,10,60.0,1,3,33.3,0,0.1,0.1,2,2,2,0,3,36,2018-2019
Recio,8,es ESP,"DM,CM",28-112,90,38,47,80.9,584,154,25,28,89.3,7,10,70.0,6,7,85.7,0,0.0,0.0,1,2,1,0,3,36,2018-2019
Dimitris Siovas,22,gr GRE,CB,30-229,90,18,34,52.9,384,176,7,9,77.8,8,13,61.5,3,10,30.0,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Kenneth Omeruo,24,ng NGA,CB,25-198,90,11,14,78.6,202,122,6,6,100.0,3,3,100.0,2,5,40.0,0,0.0,0.0,0,0,0,0,1,36,2018-2019
Unai Bustinza,3,es ESP,CB,27-090,90,27,43,62.8,518,258,8,9,88.9,14,21,66.7,4,11,36.4,0,0.0,0.0,0,4,1,0,4,36,2018-2019
Iván Cuéllar,1,es ESP,GK,34-341,90,12,27,44.4,567,534,0,0,,3,3,100.0,9,24,37.5,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Borja Mayoral,2,es ESP,FW,22-029,78,14,19,73.7,150,33,9,12,75.0,3,3,100.0,0,1,0.0,0,0.1,0.1,2,0,0,0,2,36,2018-2019
   Moses Simon,7,ng NGA,"RW,FW",23-296,12,2,5,40.0,21,16,0,1,0.0,1,2,50.0,0,0,,1,0.4,0.2,1,0,1,0,1,36,2018-2019
José Luis Morales,11,es ESP,"LW,FW",31-285,87,8,14,57.1,108,19,5,6,83.3,2,4,50.0,1,2,50.0,0,0.0,0.0,0,0,1,0,1,36,2018-2019
   Sergio Postigo,15,es ESP,FW,30-181,3,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Jason,23,es ESP,"RW,LW",24-302,90,7,13,53.8,134,45,3,6,50.0,2,3,66.7,2,3,66.7,0,0.0,0.0,0,1,0,0,1,36,2018-2019
Enis Bardhi,10,mk MKD,LM,23-306,90,19,26,73.1,355,228,7,10,70.0,6,6,100.0,3,4,75.0,0,0.5,0.2,1,6,2,0,8,36,2018-2019
Nikola Vukčević,17,me MNE,CM,27-142,65,15,19,78.9,233,123,7,7,100.0,6,8,75.0,1,3,33.3,0,0.0,0.1,0,1,0,0,2,36,2018-2019
   Rubén Rochina,16,es ESP,CM,28-042,25,2,5,40.0,37,26,1,2,50.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,36,2018-2019
José Campaña,24,es ESP,RM,25-338,90,20,33,60.6,434,264,6,9,66.7,8,11,72.7,5,8,62.5,2,0.5,0.6,4,1,1,1,2,36,2018-2019
Toño,3,es ESP,LB,29-178,90,24,31,77.4,331,211,15,16,93.8,6,7,85.7,2,3,66.7,0,0.0,0.0,0,0,1,0,1,36,2018-2019
Rober,4,es ESP,CB,24-077,90,14,23,60.9,247,123,6,6,100.0,7,10,70.0,1,6,16.7,0,0.0,0.0,0,0,0,0,1,36,2018-2019
Rúben Vezo,14,pt POR,CB,25-009,90,9,11,81.8,224,73,1,1,100.0,6,7,85.7,2,3,66.7,0,0.0,0.0,0,2,0,0,2,36,2018-2019
Coke,12,es ESP,RB,32-008,90,13,20,65.0,264,166,6,9,66.7,4,6,66.7,3,5,60.0,0,0.0,0.0,0,1,0,0,3,36,2018-2019
Aitor Fernández,25,es ESP,GK,28-001,90,18,34,52.9,829,710,0,1,0.0,3,3,100.0,15,30,50.0,0,0.0,0.0,0,1,0,0,0,36,2018-2019
Raúl de Tomás,9,es ESP,"FW,AM",24-199,90,12,13,92.3,138,7,8,8,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,1,0,1,36,2018-2019
Bebé,14,cv CPV,"LW,WB",28-296,63,11,19,57.9,220,84,7,8,87.5,2,6,33.3,2,4,50.0,0,0.4,0.1,3,1,1,1,3,36,2018-2019
   Álvaro García,18,es ESP,WB,26-189,27,3,5,60.0,30,5,3,3,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Adri Embarba,11,es ESP,"RW,WB",26-362,81,20,38,52.6,348,84,10,14,71.4,5,12,41.7,4,8,50.0,0,0.3,0.2,3,0,1,1,1,36,2018-2019
José Pozo,22,es ESP,"AM,CM",23-050,90,37,43,86.0,554,174,21,25,84.0,16,16,100.0,0,2,0.0,0,0.2,0.1,4,6,3,1,9,36,2018-2019
Uche Henry Agbo,3,ng NGA,DM,23-151,28,11,12,91.7,125,66,7,7,100.0,4,5,80.0,0,0,,0,0.0,0.0,0,3,0,0,2,36,2018-2019
   Álvaro Medrán,4,es ESP,"CM,DM",25-050,62,30,41,73.2,516,221,12,13,92.3,15,17,88.2,2,8,25.0,0,0.0,0.0,0,4,0,0,4,36,2018-2019
Mario Suárez,15,es ESP,"DM,CM,CB",32-069,90,61,75,81.3,1045,404,31,36,86.1,25,28,89.3,4,9,44.4,0,0.0,0.1,1,5,2,1,11,36,2018-2019
Álex Moreno,7,es ESP,"CB,LB",25-330,90,41,46,89.1,584,164,23,25,92.0,17,18,94.4,1,1,100.0,0,0.1,0.3,3,2,2,1,2,36,2018-2019
Álex Gálvez,23,es ESP,"CB,FW",29-332,90,54,61,88.5,858,306,28,31,90.3,22,24,91.7,3,5,60.0,0,0.0,0.0,0,3,0,0,3,36,2018-2019
Abdoulaye Ba,21,sn SEN,CB,28-123,45,23,25,92.0,462,111,8,8,100.0,10,10,100.0,4,4,100.0,0,0.0,0.0,0,1,0,0,3,36,2018-2019
   Javi Guerra,24,es ESP,"FW,AM",37-050,45,6,8,75.0,76,0,4,4,100.0,2,3,66.7,0,1,0.0,1,0.5,0.4,1,0,0,0,0,36,2018-2019
Tito,2,es ESP,"CB,RB",33-297,90,42,52,80.8,665,213,22,23,95.7,19,23,82.6,1,6,16.7,0,0.0,0.0,0,2,0,0,5,36,2018-2019
Alberto García,1,es ESP,GK,34-084,90,24,27,88.9,668,442,4,4,100.0,10,11,90.9,10,12,83.3,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Borja Iglesias,7,es ESP,FW,26-107,90,11,15,73.3,157,13,7,9,77.8,4,6,66.7,0,0,,0,0.0,0.1,0,0,0,0,0,36,2018-2019
Wu Lei,24,cn CHN,LW,27-166,78,9,17,52.9,116,20,7,10,70.0,2,5,40.0,0,1,0.0,0,0.0,0.0,0,1,1,0,1,36,2018-2019
   Javi Puado,20,es ESP,"FW,LW",20-344,12,2,2,100.0,28,7,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,36,2018-2019
Óscar Melendo,14,es ESP,"RW,RM",21-254,89,35,40,87.5,526,150,22,24,91.7,10,12,83.3,3,3,100.0,1,0.5,0.3,3,4,4,0,8,36,2018-2019
   Sergio García,9,es ESP,RM,35-329,1,1,1,100.0,28,14,0,0,,1,1,100.0,0,0,,0,0.0,0.1,0,0,0,0,0,36,2018-2019
Sergi Darder,10,es ESP,LM,25-133,90,41,52,78.8,679,183,20,23,87.0,15,20,75.0,4,5,80.0,0,0.0,0.0,0,4,0,0,4,36,2018-2019
Marc Roca,21,es ESP,CM,22-159,90,57,64,89.1,1010,314,26,29,89.7,22,24,91.7,7,8,87.5,0,0.0,0.1,0,9,1,0,5,36,2018-2019
Esteban Granero,23,es ESP,"RM,CM",31-306,90,54,69,78.3,890,301,28,33,84.8,20,24,83.3,4,8,50.0,0,0.1,0.1,2,7,1,0,6,36,2018-2019
Adrià Pedrosa,28,es ESP,LB,20-356,90,34,40,85.0,540,102,19,20,95.0,14,18,77.8,1,2,50.0,0,0.1,0.0,2,0,1,0,1,36,2018-2019
Mario Hermoso,22,es ESP,CB,23-320,90,60,66,90.9,1362,516,20,20,100.0,27,29,93.1,12,16,75.0,0,0.0,0.1,1,4,0,0,2,36,2018-2019
Naldo,5,br BRA,CB,30-252,90,47,51,92.2,970,458,15,16,93.8,23,24,95.8,9,11,81.8,0,0.0,0.0,0,2,0,0,3,36,2018-2019
Roberto Rosales,8,ve VEN,RB,30-165,85,47,59,79.7,766,168,24,26,92.3,20,27,74.1,2,4,50.0,0,0.0,0.0,0,3,0,0,4,36,2018-2019
   Víctor Sánchez,4,es ESP,RB,31-238,5,1,1,100.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Diego López,13,es ESP,GK,37-182,90,25,29,86.2,733,483,3,3,100.0,15,15,100.0,7,11,63.6,0,0.0,0.0,0,1,0,0,0,36,2018-2019
Álvaro Morata,22,es ESP,FW,26-193,90,10,16,62.5,113,25,4,6,66.7,1,3,33.3,1,1,100.0,0,0.0,0.0,0,1,0,0,2,36,2018-2019
Antoine Griezmann,7,fr FRA,FW,28-044,90,26,34,76.5,329,129,15,16,93.8,5,10,50.0,2,3,66.7,0,0.1,0.1,1,1,2,0,5,36,2018-2019
Thomas Lemar,11,fr FRA,LM,23-173,58,30,34,88.2,400,85,20,20,100.0,8,8,100.0,1,2,50.0,0,0.1,0.1,1,2,0,0,2,36,2018-2019
   Francisco Montero,35,es ESP,CB,20-110,32,12,14,85.7,187,51,7,8,87.5,3,4,75.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,36,2018-2019
Saúl Ñíguez,8,es ESP,"CM,CB",24-164,90,41,50,82.0,625,169,20,23,87.0,14,16,87.5,3,4,75.0,0,0.1,0.2,1,2,1,0,6,36,2018-2019
Rodri,14,es ESP,CM,22-316,58,34,38,89.5,585,131,15,16,93.8,15,17,88.2,3,4,75.0,0,0.0,0.0,0,0,0,0,1,36,2018-2019
   Vitolo,23,es ESP,LM,29-183,32,11,14,78.6,168,30,5,7,71.4,4,5,80.0,1,1,100.0,0,0.0,0.0,0,0,1,0,1,36,2018-2019
Koke,6,es ESP,"CM,RM",27-116,90,66,83,79.5,1091,294,26,28,92.9,27,35,77.1,9,15,60.0,0,0.1,0.2,2,8,0,0,9,36,2018-2019
Filipe Luís,3,br BRA,LB,33-268,90,51,63,81.0,773,214,22,23,95.7,21,26,80.8,2,6,33.3,0,0.0,0.0,0,4,0,0,3,36,2018-2019
Diego Godín,2,uy URU,CB,33-077,90,39,40,97.5,726,363,16,16,100.0,17,17,100.0,5,6,83.3,0,0.0,0.0,0,3,0,0,4,36,2018-2019
Stefan Savić,15,me MNE,CB,28-116,45,16,20,80.0,261,83,7,8,87.5,7,7,100.0,1,4,25.0,0,0.0,0.0,0,0,0,0,1,36,2018-2019
   Ángel Correa,10,ar ARG,RM,24-056,45,9,14,64.3,159,45,4,4,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0,1,0,0,2,36,2018-2019
Juanfran,20,es ESP,RB,34-115,90,50,61,82.0,684,186,29,31,93.5,13,20,65.0,3,5,60.0,0,0.1,0.2,2,1,3,2,4,36,2018-2019
Jan Oblak,13,si SVN,GK,26-117,90,17,23,73.9,646,567,2,2,100.0,5,5,100.0,10,16,62.5,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Jonathan Calleri,12,ar ARG,FW,25-223,90,15,22,68.2,236,89,8,12,66.7,6,8,75.0,1,2,50.0,0,0.2,0.2,3,3,3,1,4,36,2018-2019
Borja Bastón,18,es ESP,FW,26-252,63,9,14,64.3,101,14,7,8,87.5,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,36,2018-2019
   John Guidetti,10,se SWE,"FW,RW",27-019,27,4,7,57.1,64,22,2,3,66.7,2,3,66.7,0,0,,0,0.0,0.0,0,2,0,0,2,36,2018-2019
Jony,23,es ESP,"RM,LM",27-299,90,24,51,47.1,623,222,6,9,66.7,7,10,70.0,10,25,40.0,0,0.2,0.3,4,0,3,3,3,36,2018-2019
Manu García,19,es ESP,CM,33-008,90,32,45,71.1,575,217,14,17,82.4,14,16,87.5,3,7,42.9,0,0.0,0.0,0,4,0,0,10,36,2018-2019
Tomás Pina Isla,8,es ESP,CM,31-202,90,48,60,80.0,746,258,24,27,88.9,17,21,81.0,4,5,80.0,0,0.1,0.2,2,5,2,0,9,36,2018-2019
Martin Agirregabiria,21,es ESP,"RM,RB",22-359,79,15,27,55.6,164,28,10,15,66.7,3,5,60.0,0,2,0.0,0,0.0,0.0,0,0,1,0,2,36,2018-2019
   Patrick Twumasi,24,gh GHA,LW,24-360,11,1,4,25.0,38,26,0,2,0.0,0,0,,1,1,100.0,0,0.0,0.0,0,1,0,0,1,36,2018-2019
Rubén Duarte,3,es ESP,"LB,CB",23-198,90,43,57,75.4,755,298,16,19,84.2,22,30,73.3,5,8,62.5,0,0.1,0.2,1,3,2,1,9,36,2018-2019
Ximo Navarro,15,es ESP,CB,29-101,90,37,45,82.2,795,326,11,14,78.6,21,22,95.5,5,7,71.4,0,0.0,0.0,1,4,0,0,7,36,2018-2019
Víctor Laguardia,5,es ESP,CB,29-180,90,32,44,72.7,746,391,6,8,75.0,18,21,85.7,7,12,58.3,0,0.0,0.0,0,4,0,0,4,36,2018-2019
Carlos Vigaray,2,es ESP,RB,24-239,45,7,15,46.7,103,45,3,5,60.0,3,5,60.0,0,3,0.0,0,0.0,0.0,0,1,0,0,2,36,2018-2019
   Wakaso,22,gh GHA,LM,28-283,45,14,18,77.8,345,124,3,3,100.0,5,7,71.4,6,8,75.0,0,0.1,0.1,1,3,2,1,4,36,2018-2019
Fernando Pacheco,1,es ESP,GK,26-351,90,18,31,58.1,684,600,2,2,100.0,4,4,100.0,12,25,48.0,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Willian José,12,br BRA,FW,27-162,90,16,32,50.0,251,24,12,17,70.6,2,8,25.0,2,5,40.0,0,0.0,0.0,0,1,0,0,1,36,2018-2019
Mikel Oyarzabal,10,es ESP,"LM,RM",22-013,90,19,29,65.5,238,78,13,18,72.2,5,7,71.4,0,0,,0,0.0,0.0,1,2,0,0,4,36,2018-2019
Rubén Pardo,14,es ESP,CM,26-194,90,45,53,84.9,759,254,21,22,95.5,19,22,86.4,3,7,42.9,0,0.0,0.0,0,7,0,0,6,36,2018-2019
Luca Sangalli,23,es ESP,CM,24-083,45,12,22,54.5,224,33,7,11,63.6,3,4,75.0,2,4,50.0,0,0.0,0.0,1,2,0,0,3,36,2018-2019
   Igor Zubeldia,5,es ESP,"DM,CB",22-035,45,8,11,72.7,155,73,3,4,75.0,4,5,80.0,1,2,50.0,0,0.0,0.0,0,0,0,0,1,36,2018-2019
Ander Barrenetxea,34,es ESP,RM,17-128,57,6,10,60.0,56,11,6,8,75.0,0,2,0.0,0,0,,0,0.0,0.0,2,0,0,0,0,36,2018-2019
   Kévin Rodrigues,20,pt POR,"LB,LM",25-060,33,8,11,72.7,101,27,5,6,83.3,3,4,75.0,0,1,0.0,0,0.0,0.0,1,0,0,0,0,36,2018-2019
Mikel Merino,8,es ESP,"CM,DM",22-316,90,51,61,83.6,972,368,20,25,80.0,26,28,92.9,5,8,62.5,0,0.1,0.1,1,3,2,1,8,36,2018-2019
Aihen Muñoz,29,es ESP,"LB,LM",21-261,90,22,39,56.4,321,185,10,16,62.5,10,15,66.7,1,3,33.3,0,0.0,0.0,0,3,0,0,2,36,2018-2019
Héctor Moreno,6,mx MEX,CB,31-107,90,31,35,88.6,574,220,11,12,91.7,17,20,85.0,3,3,100.0,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Aritz Elustondo,15,es ESP,CB,25-037,72,20,27,74.1,433,132,5,6,83.3,10,11,90.9,5,8,62.5,0,0.0,0.0,0,0,0,0,0,36,2018-2019
   Juanmi,7,es ESP,FW,25-349,18,2,3,66.7,10,1,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Joseba Zaldúa,2,es ESP,RB,26-314,90,25,35,71.4,401,165,15,18,83.3,9,15,60.0,1,1,100.0,0,0.0,0.0,0,1,0,0,3,36,2018-2019
Gerónimo Rulli,1,ar ARG,GK,26-349,90,41,59,69.5,1255,927,6,6,100.0,16,16,100.0,19,37,51.4,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Maxi Gómez,9,uy URU,FW,22-263,89,16,25,64.0,170,16,9,14,64.3,4,5,80.0,0,0,,0,0.0,0.0,0,0,1,0,1,36,2018-2019
   Fran Beltrán,8,es ESP,AM,20-090,1,1,1,100.0,18,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Iago Aspas,10,es ESP,FW,31-276,90,27,30,90.0,448,56,15,16,93.8,11,11,100.0,1,2,50.0,0,0.1,0.1,2,1,0,0,2,36,2018-2019
Sofiane Boufal,19,ma MAR,LM,25-229,70,13,19,68.4,273,127,4,5,80.0,3,5,60.0,4,6,66.7,0,0.2,0.1,3,1,0,0,0,36,2018-2019
   Brais Méndez,23,es ESP,"RM,RW",22-117,20,6,6,100.0,72,12,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Stanislav Lobotka,14,sk SVK,"CM,DM",24-160,90,28,30,93.3,492,143,16,18,88.9,8,8,100.0,4,4,100.0,0,0.0,0.0,0,1,1,0,3,36,2018-2019
Okay Yokuşlu,5,tr TUR,"CM,DM",25-056,90,25,29,86.2,512,134,6,9,66.7,13,13,100.0,5,6,83.3,0,0.0,0.0,0,2,0,0,2,36,2018-2019
Ryad Boudebouz,24,dz ALG,"RM,LM",29-074,84,28,42,66.7,452,255,17,18,94.4,8,14,57.1,3,9,33.3,1,0.5,0.6,3,4,4,2,6,36,2018-2019
   Jozabed,21,es ESP,"LM,LW",28-057,6,1,1,100.0,28,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,36,2018-2019
Lucas Olaza,15,uy URU,LB,24-287,90,24,38,63.2,466,257,10,13,76.9,9,12,75.0,4,7,57.1,0,0.0,0.0,0,2,0,0,3,36,2018-2019
Néstor Araujo,4,mx MEX,CB,27-248,90,27,29,93.1,622,193,6,6,100.0,16,16,100.0,5,6,83.3,0,0.1,0.0,1,1,0,0,2,36,2018-2019
