player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
André Silva,12,pt POR,FW,23-081,90,0,0,0,1,1,1,1,0,0,0,0,0,1,4,3,57.1,21,2018-2019
Wissam Ben Yedder,9,fr FRA,FW,28-167,90,0,0,0,1,2,0,2,1,0,0,0,0,9,1,3,25.0,21,2018-2019
Franco Vázquez,22,ar ARG,CM,29-338,90,0,0,0,2,1,0,3,0,0,0,0,0,4,1,0,100.0,21,2018-2019
Éver Banega,10,ar ARG,CM,30-211,73,1,0,0,3,0,0,4,1,2,0,0,0,6,1,2,33.3,21,2018-2019
   Ibrahim Amadou,5,fr FRA,CM,25-295,17,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,21,2018-2019
Roque Mesa,7,es ESP,CM,29-233,90,0,0,0,0,3,0,0,1,0,1,0,0,11,0,0,,21,2018-2019
Quincy Promes,21,nl NED,WB,27-022,90,0,0,0,1,3,0,1,0,1,1,0,0,7,1,2,33.3,21,2018-2019
Aleix Vidal,11,es ESP,WB,29-158,52,0,0,0,1,0,0,3,0,1,0,0,0,2,0,1,0.0,21,2018-2019
   Pablo Sarabia,17,es ESP,WB,26-260,38,0,0,0,0,0,0,2,1,0,0,0,0,3,0,2,0.0,21,2018-2019
Maximilian Wöber,14,at AUT,CB,20-356,90,0,0,0,4,0,0,0,1,1,0,0,0,5,0,2,0.0,21,2018-2019
Daniel Carriço,6,pt POR,CB,30-175,90,0,0,0,1,0,0,0,0,1,0,0,0,4,1,1,50.0,21,2018-2019
Sergi Gómez,3,es ESP,CB,26-304,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,21,2018-2019
   Gabriel Mercado,25,ar ARG,CB,31-314,79,1,0,0,1,1,0,0,1,2,0,0,0,3,0,0,,21,2018-2019
Tomáš Vaclík,1,cz CZE,GK,29-303,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,21,2018-2019
Borja Mayoral,2,es ESP,FW,21-296,90,0,0,0,0,4,1,0,0,0,0,0,0,3,1,1,50.0,21,2018-2019
Emmanuel Boateng,21,gh GHA,FW,22-248,75,0,0,0,2,2,1,2,0,1,0,0,0,0,4,1,80.0,21,2018-2019
   Roger Martí,9,es ESP,FW,28-023,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,21,2018-2019
Enis Bardhi,10,mk MKD,CM,23-208,75,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0,21,2018-2019
   Cheick Doukouré,5,ci CIV,CM,26-137,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0,21,2018-2019
José Campaña,24,es ESP,CM,25-240,90,0,0,0,0,0,0,5,1,1,0,0,0,6,1,0,100.0,21,2018-2019
Rubén Rochina,16,es ESP,CM,27-309,71,0,0,0,0,3,0,9,0,2,0,0,0,4,1,1,50.0,21,2018-2019
   Jason,23,es ESP,"WB,CM",24-204,19,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,,21,2018-2019
José Luis Morales,11,es ESP,"WB,CM",31-187,90,0,0,0,2,3,0,1,1,0,0,0,0,8,0,1,0.0,21,2018-2019
Coke,12,es ESP,WB,31-275,90,0,0,0,2,0,0,1,1,1,0,0,0,5,3,0,100.0,21,2018-2019
Rober,4,es ESP,CB,23-344,90,1,0,0,1,1,0,0,3,4,0,0,0,7,2,3,40.0,21,2018-2019
Fran Manzanara,27,es ESP,CB,22-136,90,0,0,0,1,0,0,0,0,2,0,0,0,4,2,3,40.0,21,2018-2019
Erick Cabaco,18,uy URU,CB,23-282,90,0,0,0,3,0,0,0,3,1,0,1,0,5,0,0,,21,2018-2019
Oier Olazábal,13,es ESP,GK,29-134,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,21,2018-2019
Nikola Kalinić,9,hr CRO,FW,31-021,61,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,66.7,21,2018-2019
   Victor Mollejo,40,es ESP,FW,18-005,29,0,0,0,2,2,0,0,0,0,0,0,0,1,1,2,33.3,21,2018-2019
Antoine Griezmann,7,fr FRA,FW,27-311,90,0,0,0,0,0,0,2,0,0,0,0,0,5,2,0,100.0,21,2018-2019
Saúl Ñíguez,8,es ESP,LM,24-066,90,0,0,0,1,2,0,0,0,0,0,0,0,9,4,8,33.3,21,2018-2019
Rodri,14,es ESP,CM,22-218,90,1,0,0,2,2,0,0,0,1,0,0,0,7,3,0,100.0,21,2018-2019
Thomas Partey,5,gh GHA,CM,25-227,90,0,0,0,1,2,0,0,6,2,0,0,0,6,5,2,71.4,21,2018-2019
Thomas Lemar,11,fr FRA,RM,23-075,90,0,0,0,2,5,1,1,1,1,0,0,0,8,3,1,75.0,21,2018-2019
Lucas Hernández,21,fr FRA,"CB,LB",22-346,90,0,0,0,0,2,0,0,1,2,0,0,0,5,0,0,,21,2018-2019
Diego Godín,2,uy URU,CB,32-344,45,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,,21,2018-2019
   Juanfran,20,es ESP,LB,34-017,45,0,0,0,0,0,1,0,1,0,0,0,0,4,3,0,100.0,21,2018-2019
José María Giménez,24,uy URU,CB,24-006,90,0,0,0,0,2,0,0,3,1,0,0,0,7,6,2,75.0,21,2018-2019
Santiago Arias,4,co COL,RB,27-013,90,1,0,0,2,4,1,0,1,3,0,0,0,4,7,4,63.6,21,2018-2019
Jan Oblak,13,si SVN,GK,26-019,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,21,2018-2019
Ángel Rodríguez,9,es ESP,"FW,RM",31-275,90,1,0,0,4,3,0,2,0,0,0,0,0,3,1,5,16.7,21,2018-2019
Jorge Molina,19,es ESP,FW,36-279,45,0,0,0,2,1,0,0,0,0,0,0,0,0,2,3,40.0,21,2018-2019
   Jaime Mata,7,es ESP,FW,30-094,45,0,0,0,1,0,1,1,1,0,0,0,0,3,1,6,14.3,21,2018-2019
Vitorino Antunes,3,pt POR,LM,31-300,57,0,0,0,3,2,0,5,0,0,0,0,0,3,1,3,25.0,21,2018-2019
   Samuel Sáiz,11,es ESP,"RM,LM",28-004,33,1,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0.0,21,2018-2019
Nemanja Maksimović,20,rs SRB,CM,24-000,65,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,21,2018-2019
   Sebastián Cristóforo,15,uy URU,CM,25-156,25,1,0,0,1,0,0,2,0,1,0,0,0,1,0,0,,21,2018-2019
Mauro Arambarri,18,uy URU,"CM,CB",23-118,90,0,0,0,2,0,0,0,1,2,0,0,0,6,2,1,66.7,21,2018-2019
Francisco Portillo,8,es ESP,"RM,LM,CM",28-227,90,0,0,0,1,2,0,3,0,1,0,0,0,6,0,2,0.0,21,2018-2019
Leandro Cabrera,6,uy URU,LB,27-223,89,2,1,1,2,0,0,6,3,1,0,0,0,2,12,4,75.0,21,2018-2019
Bruno González,4,es ESP,CB,28-247,90,0,0,0,2,0,0,1,1,2,0,0,0,8,1,2,33.3,21,2018-2019
Djené,2,tg TOG,CB,27-026,87,2,1,1,5,0,0,0,5,1,0,0,0,7,0,3,0.0,21,2018-2019
Damián Suárez,22,uy URU,RB,30-274,90,0,0,0,2,2,0,4,2,1,0,0,0,7,0,4,0.0,21,2018-2019
David Soria,13,es ESP,GK,25-297,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,2018-2019
Martin Braithwaite,25,dk DEN,FW,27-235,90,0,0,0,1,1,1,0,0,0,0,0,0,1,2,5,28.6,21,2018-2019
Youssef En-Nesyri,26,ma MAR,FW,21-239,85,0,0,0,3,2,0,1,0,0,0,0,0,1,5,8,38.5,21,2018-2019
   Sabin Merino,18,es ESP,FW,27-022,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,2018-2019
Óscar Rodríguez Arnaiz,27,es ESP,"CM,RM",20-212,88,0,0,0,1,1,0,7,0,2,0,0,0,7,1,3,25.0,21,2018-2019
   Michael Santos,20,uy URU,RM,25-319,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,21,2018-2019
Recio,8,es ESP,CM,28-015,90,1,0,0,3,1,0,4,0,2,0,0,0,5,2,1,66.7,21,2018-2019
Mikel Vesga,23,es ESP,CM,25-250,90,0,0,0,1,1,0,1,2,2,0,0,0,11,2,2,50.0,21,2018-2019
Jonathan Silva,5,ar ARG,LB,24-211,90,0,0,0,2,1,0,3,2,0,0,0,0,7,0,1,0.0,21,2018-2019
Dimitris Siovas,22,gr GRE,CB,30-132,45,1,0,0,1,1,0,0,4,1,0,0,0,5,3,0,100.0,21,2018-2019
   José Arnaiz,16,es ESP,LM,23-286,45,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,21,2018-2019
Kenneth Omeruo,24,ng NGA,CB,25-101,90,0,0,0,0,1,0,0,2,1,0,0,0,7,10,3,76.9,21,2018-2019
Unai Bustinza,3,es ESP,CB,26-358,90,0,0,0,2,2,0,1,3,0,0,0,0,6,6,6,50.0,21,2018-2019
Allan Nyom,12,cm CMR,RB,30-261,90,0,0,0,1,0,0,0,2,1,0,0,0,4,2,1,66.7,21,2018-2019
Iván Cuéllar,1,es ESP,GK,34-244,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,2018-2019
Sergi Enrich,9,es ESP,FW,28-334,70,0,0,0,3,0,0,0,0,0,0,0,0,1,1,8,11.1,21,2018-2019
   Charles,19,br BRA,"FW,CB",34-297,20,1,0,0,1,2,0,0,0,0,0,0,0,1,2,2,50.0,21,2018-2019
Kiké,17,es ESP,FW,29-062,90,0,0,0,2,2,1,1,1,1,0,0,0,5,5,11,31.3,21,2018-2019
Marc Cucurella,20,es ESP,LM,20-188,79,1,0,0,2,0,1,1,0,0,0,0,0,2,2,2,50.0,21,2018-2019
   Gonzalo Escalante,5,ar ARG,LM,25-305,11,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0.0,21,2018-2019
Papakouli Diop,8,sn SEN,CM,32-313,90,0,0,0,1,3,0,0,2,4,0,0,0,5,6,2,75.0,21,2018-2019
Joan Jordán,24,es ESP,CM,24-204,90,0,0,0,0,2,0,4,0,1,0,0,0,11,3,2,60.0,21,2018-2019
Pablo de Blasis,16,ar ARG,RM,30-356,90,0,0,0,0,0,0,2,1,1,0,0,0,7,2,1,66.7,21,2018-2019
José Ángel,15,es ESP,LB,29-143,90,0,0,0,0,1,0,6,1,1,0,0,0,6,0,0,,21,2018-2019
Pedro Bigas,3,es ESP,CB,28-133,69,0,0,0,2,0,0,0,1,0,0,0,0,3,4,0,100.0,21,2018-2019
   Iván Ramis,4,es ESP,"CB,FW",34-093,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,21,2018-2019
Anaitz Arbilla,23,es ESP,CB,31-256,90,0,0,0,0,0,0,0,3,1,0,0,0,4,3,2,60.0,21,2018-2019
Rubén Peña,11,es ESP,RB,27-192,90,0,0,0,2,2,0,6,3,2,0,0,0,8,2,1,66.7,21,2018-2019
Marko Dmitrović,1,rs SRB,GK,27-002,90,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,21,2018-2019
Santi Mina,22,es ESP,FW,23-050,83,0,0,0,2,2,0,0,2,1,0,0,0,2,3,0,100.0,21,2018-2019
   Lee Kang-in,34,kr KOR,FW,17-341,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,2018-2019
Rodrigo,19,es ESP,FW,27-326,90,0,0,0,1,1,2,0,0,0,0,0,0,4,5,1,83.3,21,2018-2019
Denis Cheryshev,11,ru RUS,LM,28-031,73,0,0,0,3,0,0,3,1,1,0,0,0,4,0,2,0.0,21,2018-2019
