player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Antonio Sanabria,9,py PAR,FW,22-280,80,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,15,2018-2019
   Sergio León,7,es ESP,FW,29-337,10,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,15,2018-2019
Loren Morón,16,es ESP,FW,24-344,70,1,1,1,0,0,0,1,0.0,1,1,0,1,1,2,1,0,15,2018-2019
   Joaquín,17,es ESP,FW,37-141,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,2018-2019
Giovani Lo Celso,21,ar ARG,CM,22-244,90,4,1,1,3,0,1,3,33.3,2,1,1,0,0,4,0,0,15,2018-2019
William Carvalho,14,pt POR,CM,26-246,83,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,15,2018-2019
   Javi García,3,es ESP,CM,31-304,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,2018-2019
Sergio Canales,6,es ESP,CM,27-296,90,1,0,0,1,0,0,4,0.0,4,1,0,1,1,2,0,0,15,2018-2019
Junior Firpo,20,es ESP,WB,22-109,90,3,2,1,2,0,1,3,33.3,2,1,0,1,0,3,1,0,15,2018-2019
Antonio Barragán,19,es ESP,WB,31-180,90,1,1,1,0,0,1,1,100.0,0,2,0,2,1,2,3,0,15,2018-2019
Sidnei,12,br BRA,CB,29-108,90,2,1,2,0,0,0,1,0.0,1,3,1,2,0,2,3,0,15,2018-2019
Marc Bartra,5,es ESP,CB,27-328,90,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,5,0,15,2018-2019
Aïssa Mandi,23,dz ALG,CB,27-048,90,2,1,0,2,0,0,0,,0,1,1,0,1,3,2,0,15,2018-2019
Pau López,13,es ESP,GK,23-361,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,15,2018-2019
Álvaro García,18,es ESP,"FW,LW",26-043,90,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,15,2018-2019
Adri Embarba,11,es ESP,"FW,RW",26-216,80,0,0,0,0,0,0,3,0.0,3,2,0,2,1,1,0,0,15,2018-2019
   Bebé,14,cv CPV,RW,28-150,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,2018-2019
José Pozo,22,es ESP,AM,22-269,59,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,15,2018-2019
   Álvaro Medrán,4,es ESP,"CM,AM",24-269,31,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,15,2018-2019
Giannelli Imbula,12,cd COD,LM,26-088,90,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,15,2018-2019
Óscar Trejo,8,ar ARG,RM,30-227,90,3,2,1,2,0,0,4,0.0,4,2,0,2,3,6,1,0,15,2018-2019
Santi Comesaña,27,es ESP,DM,22-065,59,1,0,1,0,0,1,1,100.0,0,3,1,2,1,2,0,1,15,2018-2019
   Raúl de Tomás,9,es ESP,"FW,DM",24-053,31,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,2018-2019
Álex Moreno,7,es ESP,LB,25-184,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0,15,2018-2019
Jordi Amat,16,id IDN,CB,26-263,90,0,0,0,0,0,0,0,,0,3,0,3,0,0,1,0,15,2018-2019
Álex Gálvez,23,es ESP,CB,29-186,90,2,2,1,1,0,1,4,25.0,3,1,0,1,3,5,1,0,15,2018-2019
