Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Diego López,es ESP,37-161,90,3,1,2,66.7,1.2,6,23,26.1,30,2,46.7,38.9,12,75.0,50.8,24,1,4.2,0,10.0,32,2018-2019
Fernando Pacheco,es ESP,26-330,90,2,2,1,0.0,0.7,6,13,46.2,19,2,52.6,38.1,4,75.0,47.5,8,0,0.0,2,22.0,32,2018-2019
Roberto Santamaría,es ESP,34-045,90,2,0,2,100.0,1.0,13,22,59.1,17,0,88.2,55.7,7,100.0,71.7,9,0,0.0,0,,32,2018-2019
Marc-André ter Stegen,de GER,26-348,90,1,0,1,100.0,0.2,4,8,50.0,28,10,17.9,28.5,6,50.0,42.8,15,0,0.0,2,19.8,32,2018-2019
Jan Oblak,si SVN,26-096,90,3,0,3,100.0,0.5,4,9,44.4,11,2,54.5,34.3,4,75.0,52.0,13,0,0.0,1,11.0,32,2018-2019
Rubén Blanco,es ESP,23-262,90,4,2,2,50.0,1.9,5,16,31.3,27,9,37.0,35.2,8,75.0,59.9,3,1,33.3,0,7.7,32,2018-2019
Tomáš Vaclík,cz CZE,30-015,90,6,2,4,66.7,1.1,3,19,15.8,21,1,52.4,46.2,9,88.9,57.6,17,0,0.0,3,33.3,32,2018-2019
Pau López,es ESP,24-121,90,5,3,2,40.0,2.8,2,7,28.6,29,6,24.1,25.8,5,0.0,22.2,12,1,8.3,2,26.7,32,2018-2019
Yoel,es ESP,30-229,90,3,2,1,66.7,1.8,11,30,36.7,30,2,76.7,49.7,7,100.0,69.0,10,2,20.0,1,13.2,32,2018-2019
David Soria,es ESP,26-010,90,4,2,2,75.0,2.2,9,35,25.7,33,1,87.9,53.1,7,85.7,58.0,18,1,5.6,0,13.5,32,2018-2019
Iago Herrerín,es ESP,31-079,90,4,2,2,50.0,1.9,8,24,33.3,25,2,80.0,52.8,4,100.0,68.8,12,0,0.0,0,2.5,32,2018-2019
Alberto García,es ESP,34-064,90,8,3,4,62.5,2.9,5,20,25.0,27,3,48.1,34.9,10,70.0,46.1,11,1,9.1,3,13.9,32,2018-2019
Gerónimo Rulli,ar ARG,26-329,90,2,1,1,50.0,0.4,11,26,42.3,29,4,48.3,37.0,15,80.0,54.1,17,0,0.0,0,3.0,32,2018-2019
Marko Dmitrović,rs SRB,27-080,90,2,1,1,50.0,1.0,9,27,33.3,36,4,63.9,45.5,4,100.0,65.0,4,0,0.0,5,25.3,32,2018-2019
Yassine Bounou,ma MAR,28-009,90,6,1,5,83.3,1.5,6,7,85.7,14,3,35.7,32.9,8,25.0,35.8,6,0,0.0,0,10.0,32,2018-2019
Sergio Asenjo,es ESP,29-290,90,5,0,5,100.0,1.2,11,21,52.4,20,2,80.0,50.1,10,50.0,45.0,37,1,2.7,0,8.0,32,2018-2019
Neto,br BRA,29-269,90,3,1,3,66.7,0.3,1,16,6.3,16,7,37.5,38.7,11,90.9,60.9,9,1,11.1,0,6.0,32,2018-2019
Aitor Fernández,es ESP,27-346,90,6,3,3,50.0,2.2,5,13,38.5,14,4,28.6,34.9,11,81.8,47.8,14,0,0.0,0,3.0,32,2018-2019
Iván Cuéllar,es ESP,34-323,90,6,1,5,83.3,1.6,11,29,37.9,19,2,84.2,51.8,13,100.0,65.9,15,1,6.7,0,8.0,32,2018-2019
Keylor Navas,cr CRC,32-121,90,2,1,1,50.0,0.3,2,7,28.6,22,7,18.2,31.7,5,60.0,46.8,8,0,0.0,2,27.5,32,2018-2019
