player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Cucho,9,co COL,FW,20-003,74,2,1,1,1,0,1,3,33.3,2,1,0,1,0,2,0,0,34,2018-2019
   Juanpi,20,ve VEN,FW,25-089,16,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,34,2018-2019
Enric Gallego,22,es ESP,FW,32-223,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,34,2018-2019
Ezequiel Ávila,19,ar ARG,LM,25-076,86,2,2,1,0,1,0,0,,0,1,0,1,1,3,1,0,34,2018-2019
   Gonzalo Melero,8,es ESP,LM,25-111,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,34,2018-2019
Yangel Herrera,21,ve VEN,CM,21-099,90,2,0,1,0,1,0,0,,0,2,0,2,0,2,1,0,34,2018-2019
Damián Musto,23,ar ARG,CM,31-318,90,0,0,0,0,0,0,0,,0,1,0,1,2,2,2,0,34,2018-2019
David Ferreiro,7,es ESP,RM,31-022,90,0,0,0,0,0,0,0,,0,3,0,3,1,1,1,0,34,2018-2019
Javi Galán,12,es ESP,LB,24-155,90,4,3,3,1,0,3,4,75.0,1,0,0,0,1,5,3,0,34,2018-2019
Martín Mantovani,2,ar ARG,CB,34-290,90,1,0,1,0,0,0,0,,0,0,0,0,2,3,4,0,34,2018-2019
Xabier Etxeita,3,es ESP,CB,31-174,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,8,0,34,2018-2019
Jorge Miramón,24,es ESP,RB,29-325,90,3,2,3,0,0,1,1,100.0,0,0,0,0,0,3,6,0,34,2018-2019
Roberto Santamaría,13,es ESP,GK,34-055,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,34,2018-2019
Kiké,17,es ESP,FW,29-149,39,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,34,2018-2019
   Marc Cardona,7,es ESP,"FW,LM",23-289,51,3,1,1,0,2,0,0,,0,0,0,0,0,3,0,0,34,2018-2019
Charles,19,br BRA,FW,35-019,90,1,1,0,1,0,0,0,,0,2,0,2,0,1,0,0,34,2018-2019
Pere Milla,22,es ESP,LM,26-212,69,3,2,1,2,0,0,0,,0,1,0,1,0,3,1,0,34,2018-2019
   Sergi Enrich,9,es ESP,"FW,LM",29-056,21,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,34,2018-2019
Papakouli Diop,8,sn SEN,CM,33-035,42,0,0,0,0,0,0,0,,0,1,0,1,2,2,2,0,34,2018-2019
   Miguel Marí,29,es ESP,CM,21-297,48,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,1,0,34,2018-2019
Gonzalo Escalante,5,ar ARG,CM,26-027,90,3,1,1,2,0,1,2,50.0,1,2,0,2,0,3,2,0,34,2018-2019
Pedro León,21,es ESP,RM,32-150,90,2,1,1,1,0,1,1,100.0,0,0,0,0,2,4,1,0,34,2018-2019
Marc Cucurella,20,es ESP,LB,20-275,90,4,1,3,1,0,1,1,100.0,0,1,0,1,0,4,2,0,34,2018-2019
Sergio Álvarez,6,es ESP,CB,27-090,90,2,1,2,0,0,0,1,0.0,1,2,2,0,0,2,2,0,34,2018-2019
Paulo Oliveira,12,pt POR,CB,27-105,90,1,1,1,0,0,1,1,100.0,0,2,2,0,2,3,7,0,34,2018-2019
Pablo de Blasis,16,ar ARG,RB,31-078,90,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,5,0,34,2018-2019
