player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Aritz Elustondo,15,es ESP,CB,24-213,90,24,35,68.6,453,136,5,7,71.4,18,22,81.8,1,4,25.0,0,0.0,0.0,0,0,0,0,0,10,2018-2019
Andoni Gorosabel,18,es ESP,RB,22-084,90,48,60,80.0,642,202,34,37,91.9,11,16,68.8,2,2,100.0,0,0.0,0.0,0,1,1,0,3,10,2018-2019
Miguel Ángel Moyá,13,es ESP,GK,34-208,90,33,42,78.6,992,648,5,5,100.0,15,15,100.0,13,22,59.1,0,0.0,0.0,0,0,0,0,0,10,2018-2019
Jorge Molina,19,es ESP,FW,36-189,89,23,31,74.2,376,109,13,16,81.3,7,8,87.5,2,2,100.0,0,0.1,0.2,2,1,2,0,7,10,2018-2019
   Robert Ibáñez,17,es ESP,FW,25-220,1,2,2,100.0,14,5,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,10,2018-2019
Ángel Rodríguez,9,es ESP,FW,31-185,70,6,13,46.2,137,50,2,4,50.0,2,3,66.7,2,3,66.7,1,0.8,0.5,1,1,1,1,0,10,2018-2019
   Jaime Mata,7,es ESP,"FW,LW",30-004,20,4,6,66.7,59,0,2,4,50.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,10,2018-2019
Amath,11,sn SEN,LM,22-104,83,7,10,70.0,125,40,3,3,100.0,3,5,60.0,1,1,100.0,0,0.0,0.1,0,1,3,0,4,10,2018-2019
   Sebastián Cristóforo,15,uy URU,"CM,LM",25-066,7,2,4,50.0,24,3,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,10,2018-2019
Nemanja Maksimović,20,rs SRB,CM,23-275,90,8,9,88.9,104,19,5,5,100.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,10,2018-2019
Mauro Arambarri,18,uy URU,CM,23-028,90,19,28,67.9,470,161,9,10,90.0,3,3,100.0,7,12,58.3,1,0.1,0.0,3,7,0,0,5,10,2018-2019
Dimitri Foulquier,24,fr FRA,"RM,RW",25-219,90,13,19,68.4,243,87,4,7,57.1,6,6,100.0,3,3,100.0,0,0.0,0.0,1,1,0,0,2,10,2018-2019
Vitorino Antunes,3,pt POR,LB,31-210,90,28,45,62.2,651,356,8,11,72.7,11,16,68.8,7,15,46.7,0,0.3,0.4,2,3,2,2,2,10,2018-2019
